solar_646,diesel_646,wind_646,battery_646
0.0,0.0,0.0,0.0
0.0,0.0,0.009,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.002,0.0
0.0,0.0,0.007,0.0
0.0,0.0,0.03,24.732
0.0,0.0,0.034,30.844
7.638,0.0,0.021,16.993
23.16,0.0,0.008,1.484
32.692,0.0,0.026,-8.066
100.46,0.0,0.065,-75.873
23.037,0.0,0.023,1.592
53.835,0.0,0.029,-29.212
80.539,0.0,0.101,-55.988
86.711,0.0,0.162,-52.4
43.325,0.0,0.182,0.0
2.872,0.0,0.117,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.289,0.0
0.0,0.0,0.463,0.0
0.0,0.0,0.307,0.0
0.0,0.0,0.611,0.0
0.0,0.0,0.979,0.0
0.0,0.0,0.559,0.0
0.0,0.0,0.59,0.0
0.0,0.0,0.734,0.0
0.0,0.0,0.507,0.0
0.0,0.0,0.254,0.0
0.0,0.0,0.898,0.0
0.0,0.0,0.869,47.104
0.0,0.0,0.331,27.196
20.043,0.0,0.44,54.798
50.901999999999994,0.0,0.538,16.05
71.251,0.0,0.483,-9.466000000000001
2.811,0.0,0.501,60.833
152.951,0.0,0.588,-96.897
54.691,0.0,0.641,6.085
198.598,0.0,0.66,-11.987
136.574,0.0,0.553,0.0
72.106,0.0,0.751,0.0
6.172,0.0,0.342,2.377
0.0,0.0,0.546,0.0
0.0,0.0,0.962,0.0
0.0,0.0,0.853,0.0
0.0,0.0,0.964,0.0
0.0,0.0,0.995,0.0
0.0,0.0,0.918,0.0
0.0,0.0,0.749,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.756,0.0
0.0,0.0,0.938,0.0
0.0,0.0,0.208,0.0
0.0,0.0,0.531,0.0
0.0,0.0,0.65,47.448
0.0,0.0,0.152,21.239
58.785,0.0,0.441,4.955
137.063,0.0,0.614,0.0
182.099,0.0,0.464,0.0
77.178,0.0,0.335,0.0
137.247,0.0,0.388,0.0
136.88,0.0,0.4,0.0
111.826,0.0,0.364,0.0
97.099,0.0,0.318,0.0
50.963,0.0,0.333,10.513
4.033,0.0,0.273,0.0
0.0,0.0,0.406,0.0
0.0,0.0,0.328,0.0
0.0,0.0,0.429,0.0
0.0,0.0,0.237,0.0
0.0,0.0,0.373,0.0
0.0,0.0,0.163,0.0
0.0,0.0,0.229,0.0
0.0,0.0,0.158,0.0
0.0,0.0,0.083,0.0
0.0,0.0,0.074,0.0
0.0,0.0,0.058,0.0
0.0,0.0,0.048,0.0
0.0,0.0,0.053,3.044
0.0,0.0,0.036,2.178
89.461,0.0,0.027,0.0
204.953,0.0,0.0,0.0
290.993,0.0,0.0,-58.775
344.70500000000004,0.0,0.0,-109.554
365.17699999999996,0.0,0.0,-51.439
355.521,0.0,0.0,0.0
312.746,0.0,0.0,0.0
239.723,0.0,0.002,0.0
130.647,0.0,0.0,0.0
25.665000000000003,0.0,0.01,0.0
0.0,0.0,0.012,0.0
0.0,0.0,0.054,0.0
0.0,0.0,0.124,0.0
0.0,0.0,0.221,0.0
0.0,0.0,0.262,0.0
0.0,0.0,0.277,0.0
0.0,0.0,0.161,0.0
0.0,0.0,0.136,0.0
0.0,0.0,0.144,0.0
0.0,0.0,0.276,0.0
0.0,0.0,0.261,0.0
0.0,0.0,0.295,0.0
0.0,0.0,0.261,0.0
0.0,0.0,0.207,61.268
97.283,0.0,0.134,109.554
217.05300000000003,0.0,0.082,26.652
305.414,0.0,0.03,-57.431
358.943,0.0,0.034,-109.554
378.49799999999993,0.0,0.054,-52.782000000000004
365.11499999999995,0.0,0.094,0.0
319.285,0.0,0.259,0.0
243.39,0.0,0.215,0.0
131.869,0.0,0.162,0.0
25.054,0.0,0.072,0.0
0.0,0.0,0.103,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.116,0.0
0.0,0.0,0.133,0.0
0.0,0.0,0.048,0.0
0.0,0.0,0.027,0.0
0.0,0.0,0.027,0.0
0.0,0.0,0.007,0.0
0.0,0.0,0.02,0.0
0.0,0.0,0.009,0.0
0.0,0.0,0.004,0.0
0.0,0.0,0.009,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
