Location,Recommended Upgrade,Cost Estimate ($)
mg2,Microgrid Design,100000
mg2,Microgrid Controls,100000
632645,SCADA disconnect switch,50000
645_hangar,AMI disconnect meter,5000
646_office,AMI disconnect meter,5000
