solar_ref_shape,wind_ref_shape
0.0,0.0
0.0,0.009
0.0,0.0
0.0,0.0
0.0,0.002
0.0,0.007
0.0,0.03
0.0,0.034
0.01177816686085059,0.021
0.03571106719622017,0.008
0.05041003920155004,0.026
0.1549040559764662,0.065
0.03552278388938598,0.023
0.08301201794645674,0.029
0.12418651955893428,0.101
0.1337036774787417,0.162
0.06680517022742048,0.182
0.004428680858185657,0.117
0.0,0.1
0.0,0.289
0.0,0.463
0.0,0.307
0.0,0.611
0.0,0.979
0.0,0.559
0.0,0.59
0.0,0.734
0.0,0.507
0.0,0.254
0.0,0.898
0.0,0.869
0.0,0.331
0.03090581972436611,0.44
0.0784883908053376,0.538
0.1098657234263056,0.483
0.004333734575252171,0.501
0.23584334828871395,0.588
0.08433000109429614,0.641
0.306227510605017,0.66
0.21059085554647217,0.553
0.111183706574145,0.751
0.009517157919807404,0.342
0.0,0.546
0.0,0.962
0.0,0.853
0.0,0.964
0.0,0.995
0.0,0.918
0.0,0.749
0.0,1.0
0.0,0.756
0.0,0.938
0.0,0.208
0.0,0.531
0.0,0.65
0.0,0.152
0.09064312427985659,0.441
0.211343988773809,0.614
0.28078673455594105,0.464
0.11900470547341183,0.335
0.21162721836357667,0.388
0.21106236844307408,0.4
0.17243049610237463,0.364
0.14972224189094374,0.318
0.07858333708827107,0.333
0.006218176902626955,0.273
0.0,0.406
0.0,0.328
0.0,0.429
0.0,0.237
0.0,0.373
0.0,0.163
0.0,0.229
0.0,0.158
0.0,0.083
0.0,0.074
0.0,0.058
0.0,0.048
0.0,0.053
0.0,0.036
0.13794407503009312,0.027
0.31602789811459214,0.0
0.44869521277622937,0.0
0.531517338156819,0.0
0.5630829540846213,0.0
0.5481956987724572,0.0
0.48223860805530705,0.0
0.36964036279135637,0.002
0.2014502642403332,0.0
0.03957328887487046,0.01
0.0,0.012
0.0,0.054
0.0,0.124
0.0,0.221
0.0,0.262
0.0,0.277
0.0,0.161
0.0,0.136
0.0,0.144
0.0,0.276
0.0,0.261
0.0,0.295
0.0,0.261
0.0,0.207
0.15000386222167864,0.134
0.33468403808150576,0.082
0.4709303448320255,0.03
0.5534708498818803,0.034
0.5836235363789097,0.054
0.5629880078016878,0.094
0.49232061589561704,0.259
0.3752936897734807,0.215
0.20333470656770797,0.162
0.038631872340699445,0.072
0.0,0.103
0.0,0.18
0.0,0.116
0.0,0.133
0.0,0.048
0.0,0.027
0.0,0.027
0.0,0.007
0.0,0.02
0.0,0.009
0.0,0.004
0.0,0.009
0.0,0.0
0.0,0.0
0.11853319257680993,0.0
0.28069339753204037,0.0
0.44002613436669225,0.0
0.3943280056130955,0.0
0.44577440763174997,0.0
0.45981358343364387,0.0
0.4616030794780851,0.0
0.3502310895971059,0.0
0.18957876035558188,0.0
0.03542783760645249,0.0
0.0,0.005
0.0,0.034
0.0,0.014
0.0,0.05
0.0,0.028
0.0,0.077
0.0,0.044
0.0,0.054
0.0,0.034
0.0,0.012
0.0,0.032
0.0,0.0
0.0,0.028
0.0,0.016
0.120324297880284,0.004
0.11947621837001371,0.0
0.42692837509896947,0.0
0.48968304034090543,0.0
0.4385182586529858,0.0
0.4198621186860722,0.0
0.353905027968922,0.0
0.1809096819460448,0.016
0.09554331803464414,0.055
0.010176954123243494,0.071
0.0,0.157
0.0,0.054
0.0,0.028
0.0,0.007
0.0,0.042
0.0,0.003
0.0,0.0
0.0,0.0
0.0,0.016
0.0,0.021
0.0,0.025
0.0,0.057
0.0,0.0
0.0,0.013
0.12249196979742648,0.002
0.2855919820277951,0.0
0.07537930235402411,0.0
0.0993122026893937,0.0
0.22227407612438932,0.0
0.2575136304240076,0.0
0.21096742216014058,0.0
0.13671942890615446,0.002
0.07255183423344556,0.11
0.008385848819769426,0.066
0.0,0.036
0.0,0.056
0.0,0.053
0.0,0.014
0.0,0.023
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.12588267857947488,0.0
0.28898430006887627,0.0
0.1549040559764662,0.0
0.32950061473695047,0.0
0.25808008960354295,0.0
0.1205125811871182,0.0
0.15452748936279778,0.034
0.12927499662055603,0.071
0.06699345353425469,0.063
0.031658952951702915,0.037
0.0,0.034
0.0,0.015
0.0,0.001
0.0,0.004
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05832437512471758,0.0
0.1441622519327201,0.03
0.2322627469407986,0.0
0.39809689026784506,0.0
0.23103649155782713,0.013
0.3017054927229306,0.071
0.3064157939118512,0.085
0.24724333927686337,0.095
0.13794407503009312,0.0
0.02421612992513727,0.008
0.0,0.065
0.0,0.031
0.0,0.058
0.0,0.085
