hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 2429.85, -1.87018, 2404.45, -121.612, 2375.6, 115.009, 0, 0, 21.8152, -1.8704, 22.0459, -121.611, 22.3147, 115.006, 1.09854, -137.926
2, 0.00000, 2429.38, -1.88784, 2404.54, -121.6, 2373.92, 114.965, 0, 0, 22.0796, -1.88721, 22.3077, -121.601, 22.594, 114.969, 1.1303, -138.072
3, 0.00000, 2428.83, -1.89706, 2404.47, -121.607, 2374.64, 114.983, 0, 0, 22.3625, -1.89675, 22.5893, -121.607, 22.8737, 114.982, 1.13795, -138.433
4, 0.00000, 2428.67, -1.90006, 2404.46, -121.608, 2374.76, 114.986, 0, 0, 22.4314, -1.89995, 22.6574, -121.608, 22.9408, 114.986, 1.13925, -138.565
5, 0.00000, 2427.72, -1.94131, 2403.2, -121.616, 2368.67, 114.834, 0, 0, 23.5438, -1.94128, 23.7839, -121.616, 24.13, 114.835, 1.25586, -137.594
6, 0.00000, 2427.9, -1.94027, 2402.71, -121.623, 2367.07, 114.797, 0, 0, 23.4197, -1.94033, 23.6647, -121.623, 24.0197, 114.801, 1.26175, -136.997
7, 0.00000, 2424.64, -2.10069, 2398.59, -121.617, 2341.54, 114.161, 0, 0, 26.7691, -2.10067, 27.0597, -121.617, 27.7186, 114.162, 1.75773, -133.933
8, 0.00000, 2426.33, -2.06826, 2405.49, -121.446, 2341.46, 114.159, 0, 0, 26.9455, -2.06857, 27.1801, -121.45, 27.9213, 114.16, 1.86322, -135.076
9, 0.00000, 2440.57, -2.1698, 2404.36, -121.377, 2320.15, 113.63, 0, 0, 29.2739, -2.17041, 29.7144, -121.377, 30.793, 113.63, 2.25296, -129.7
10, 0.00000, 2442.36, -2.10888, 2405.22, -121.385, 2327.19, 113.801, 0, 0, 28.9544, -2.10903, 29.4017, -121.385, 30.389, 113.798, 2.13044, -129.68
11, 0.00000, 2435.35, -2.22467, 2405.92, -121.408, 2335.14, 113.996, 0, 0, 29.2922, -2.22419, 29.6512, -121.408, 30.5514, 113.993, 2.0252, -133.542
12, 0.00000, 2432.11, -2.28723, 2405.91, -121.413, 2335.82, 114.014, 0, 0, 29.4473, -2.28697, 29.7682, -121.413, 30.6615, 114.013, 2.02108, -135.061
13, 0.00000, 2428.66, -2.35247, 2406.1, -121.413, 2336.8, 114.038, 0, 0, 29.3233, -2.35214, 29.5985, -121.413, 30.4764, 114.038, 1.99997, -136.774
14, 0.00000, 2428.62, -2.34768, 2406.41, -121.412, 2338.39, 114.077, 0, 0, 29.0281, -2.34773, 29.2966, -121.411, 30.1509, 114.073, 1.96213, -137.07
15, 0.00000, 2429.4, -2.33348, 2406.35, -121.412, 2338.08, 114.07, 0, 0, 29.1026, -2.33438, 29.3805, -121.412, 30.238, 114.071, 1.96776, -136.734
16, 0.00000, 2429.87, -2.32439, 2406.19, -121.415, 2337.74, 114.062, 0, 0, 29.1176, -2.32497, 29.4036, -121.415, 30.2641, 114.063, 1.97116, -136.397
17, 0.00000, 2429.97, -2.31081, 2406.06, -121.429, 2339.41, 114.11, 0, 0, 28.254, -2.31117, 28.535, -121.428, 29.3504, 114.104, 1.88727, -136.341
18, 0.00000, 2433.44, -2.2325, 2401.89, -121.533, 2339.8, 114.126, 0, 0, 26.6349, -2.23282, 26.9846, -121.533, 27.7008, 114.126, 1.71401, -133.487
19, 0.00000, 2433.65, -2.23913, 2397.79, -121.611, 2335.64, 114.025, 0, 0, 25.2395, -2.23915, 25.6168, -121.611, 26.2979, 114.027, 1.63102, -131.726
20, 0.00000, 2435.77, -2.19829, 2397.97, -121.603, 2335.28, 114.015, 0, 0, 25.0203, -2.20069, 25.4134, -121.603, 26.0951, 114.017, 1.62668, -130.841
21, 0.00000, 2437.85, -2.13654, 2399.13, -121.592, 2340.56, 114.146, 0, 0, 23.6248, -2.13665, 24.0062, -121.592, 24.6075, 114.144, 1.48372, -130.661
22, 0.00000, 2440.89, -2.0665, 2399.89, -121.583, 2343.61, 114.218, 0, 0, 23.4505, -2.06667, 23.8512, -121.583, 24.4243, 114.217, 1.44563, -129.791
23, 0.00000, 2447.47, -1.87591, 2401.79, -121.6, 2358.92, 114.595, 0, 0, 22.2236, -1.87612, 22.6466, -121.6, 23.0596, 114.59, 1.21164, -128.222
24, 0.00000, 2442.23, -1.95035, 2402.86, -121.625, 2369.47, 114.858, 0, 0, 22.2858, -1.95, 22.6513, -121.625, 22.9712, 114.855, 1.08829, -132.867
