solar_675,wind_675,battery_675,battery_675_existing,battery_675_2_existing
0.0,0.067,81.055,0.0,0.0
0.0,10.807999999999998,66.772,0.0,0.0
0.0,0.0,78.621,0.0,0.0
0.0,0.0,78.768,0.0,0.0
0.0,2.573,90.13,0.0,0.0
0.0,7.909,96.442,0.0,0.0
0.0,35.107,119.829,0.0,0.0
0.0,40.03,243.006,0.0,0.0
31.868,24.768,232.141,0.0,0.0
96.623,9.474,172.986,0.0,0.0
136.394,30.065,106.248,0.0,0.0
419.126,76.087,-221.392,0.0,0.0
96.113,27.053,149.037,0.0,0.0
224.605,33.561,10.66,0.0,0.0
336.014,118.48,-185.486,0.0,0.0
361.764,190.933,-279.83,0.0,0.0
180.754,213.85,-107.454,0.0,0.0
11.982,137.603,166.688,0.0,0.0
0.0,117.207,216.285,0.0,0.0
0.0,339.563,-10.231,0.0,0.0
0.0,544.905,-226.766,0.0,0.0
0.0,360.55499999999995,-57.781,0.0,0.0
0.0,718.9849999999999,-440.28,0.0,0.0
0.0,1150.984,-573.122,0.0,0.0
0.0,656.992,-397.989,0.0,0.0
0.0,693.845,-433.964,0.0,0.0
0.0,863.232,-573.122,0.0,0.0
0.0,596.609,-335.458,0.0,0.0
0.0,299.318,4.072,0.0,0.0
0.0,1055.9759999999999,-573.122,0.0,0.0
0.0,1022.261,-246.356,0.0,0.0
0.0,388.981,65.029,0.0,0.0
83.621,517.708,-72.37,0.0,0.0
212.36700000000002,632.389,0.0,0.0,0.0
297.263,567.9010000000001,0.0,0.0,0.0
11.727000000000002,589.158,0.0,0.0,0.0
638.122,691.104,0.0,0.0,0.0
228.174,753.795,0.0,0.0,0.0
828.564,775.745,0.0,0.0,0.0
569.797,650.289,0.0,0.0,0.0
300.832,883.461,0.0,0.0,0.0
25.749,402.8550000000001,65.082,0.0,0.0
0.0,642.398,-72.429,0.0,0.0
0.0,1131.946,0.0,0.0,0.0
0.0,1003.7909999999999,0.0,0.0,0.0
0.0,1134.4009999999998,0.0,0.0,0.0
0.0,1170.15,0.0,0.0,0.0
0.0,1079.2359999999999,0.0,0.0,0.0
0.0,881.376,0.0,0.0,0.0
0.0,1176.245,0.0,0.0,0.0
0.0,888.728,0.0,0.0,0.0
0.0,1103.332,0.0,0.0,0.0
0.0,245.086,77.868,0.0,0.0
0.0,624.39,-86.658,0.0,0.0
0.0,765.0810000000001,0.0,0.0,0.0
0.0,178.53499999999997,292.494,0.0,0.0
245.255,518.5540000000001,-272.754,0.0,0.0
571.837,721.7020000000001,-52.759,0.0,0.0
759.7289999999999,545.813,0.0,0.0,0.0
321.993,394.276,0.0,0.0,0.0
572.601,456.205,0.0,0.0,0.0
571.072,470.718,0.0,0.0,0.0
466.54499999999996,428.2610000000001,0.0,0.0,0.0
405.104,374.364,0.0,0.0,0.0
212.622,391.92699999999996,0.0,0.0,0.0
16.826,320.97,148.988,0.0,0.0
0.0,477.488,-68.822,0.0,0.0
0.0,385.827,20.211,0.0,0.0
0.0,504.709,-119.478,0.0,0.0
0.0,279.054,61.357,0.0,0.0
0.0,438.451,-68.283,0.0,0.0
0.0,191.756,86.082,0.0,0.0
0.0,269.348,-4.141,0.0,0.0
0.0,185.792,78.386,0.0,0.0
0.0,97.767,165.316,0.0,0.0
0.0,86.884,176.14,0.0,0.0
0.0,67.897,237.587,0.0,0.0
0.0,56.413,261.248,0.0,0.0
0.0,62.742,349.02,0.0,0.0
0.0,42.069,411.084,0.0,0.0
373.236,31.314999999999998,75.224,0.0,0.0
855.078,0.0,-359.746,0.0,0.0
1214.037,0.0,-573.122,0.0,0.0
1438.132,0.0,-573.122,0.0,0.0
1523.538,0.0,-537.685,0.0,0.0
1483.257,0.0,0.0,0.0,0.0
1304.797,0.0,0.0,0.0,0.0
1000.14,2.332,0.0,0.0,0.0
545.068,0.0,0.0,0.0,0.0
107.07600000000001,11.838,388.657,0.0,0.0
0.0,13.961,417.235,0.0,0.0
0.0,63.214,362.442,0.0,0.0
0.0,145.267,234.386,0.0,0.0
0.0,260.153,94.435,0.0,0.0
0.0,307.82699999999994,-1.004,0.0,0.0
0.0,325.956,-35.224,0.0,0.0
0.0,189.78,87.423,0.0,0.0
0.0,159.57400000000004,115.288,0.0,0.0
0.0,169.084,104.565,0.0,0.0
0.0,324.161,-53.454,0.0,0.0
