hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2429.85, -1.87018, 385.836, -76.5128
2, 0.00000, 2429.38, -1.88784, 385.762, -76.5304
3, 0.00000, 2428.83, -1.89706, 385.674, -76.5397
4, 0.00000, 2428.67, -1.90006, 385.649, -76.5427
5, 0.00000, 2427.72, -1.94131, 385.499, -76.5839
6, 0.00000, 2427.9, -1.94027, 385.526, -76.5829
7, 0.00000, 2424.64, -2.10069, 385.009, -76.7433
8, 0.00000, 2426.33, -2.06826, 385.278, -76.7109
9, 0.00000, 2440.57, -2.1698, 387.539, -76.8124
10, 0.00000, 2442.36, -2.10888, 387.823, -76.7515
11, 0.00000, 2435.35, -2.22467, 386.71, -76.8673
12, 0.00000, 2432.11, -2.28723, 386.196, -76.9298
13, 0.00000, 2428.66, -2.35247, 385.647, -76.9951
14, 0.00000, 2428.62, -2.34768, 385.64, -76.9903
15, 0.00000, 2429.4, -2.33348, 385.764, -76.9761
16, 0.00000, 2429.87, -2.32439, 385.84, -76.967
17, 0.00000, 2429.97, -2.31081, 385.856, -76.9534
18, 0.00000, 2433.44, -2.2325, 386.406, -76.8751
19, 0.00000, 2433.65, -2.23913, 386.44, -76.8817
20, 0.00000, 2435.77, -2.19829, 386.776, -76.8409
21, 0.00000, 2437.85, -2.13654, 387.107, -76.7791
22, 0.00000, 2440.89, -2.0665, 387.59, -76.7091
23, 0.00000, 2447.47, -1.87591, 388.634, -76.5185
24, 0.00000, 2442.23, -1.95035, 387.803, -76.5929
25, 0.00000, 2444.84, -1.88623, 388.216, -76.5288
26, 0.00000, 2446, -1.86006, 388.4, -76.5027
27, 0.00000, 2446.27, -1.85074, 388.444, -76.4933
28, 0.00000, 2446.47, -1.84518, 388.475, -76.4878
29, 0.00000, 2446.27, -1.94233, 388.444, -76.5849
30, 0.00000, 2446.73, -1.95494, 388.517, -76.5975
31, 0.00000, 2442.52, -2.27006, 387.849, -76.9127
32, 0.00000, 2442.65, -2.36607, 387.868, -77.0087
