hour, t(sec), V1, VAngle1, I1, IAngle1
1, 0.00000, 2404.45, -121.612, 381.803, 163.746
2, 0.00000, 2404.54, -121.6, 381.817, 163.757
3, 0.00000, 2404.47, -121.607, 381.806, 163.75
4, 0.00000, 2404.46, -121.608, 381.804, 163.749
5, 0.00000, 2403.2, -121.616, 381.604, 163.742
6, 0.00000, 2402.71, -121.623, 381.527, 163.735
7, 0.00000, 2398.59, -121.617, 380.873, 163.74
8, 0.00000, 2405.49, -121.446, 381.969, 163.912
9, 0.00000, 2404.36, -121.377, 381.789, 163.981
10, 0.00000, 2405.22, -121.385, 381.926, 163.972
11, 0.00000, 2405.92, -121.408, 382.036, 163.949
12, 0.00000, 2405.91, -121.413, 382.034, 163.944
13, 0.00000, 2406.1, -121.413, 382.065, 163.944
14, 0.00000, 2406.41, -121.412, 382.114, 163.946
15, 0.00000, 2406.35, -121.412, 382.105, 163.946
16, 0.00000, 2406.19, -121.415, 382.079, 163.942
17, 0.00000, 2406.06, -121.429, 382.059, 163.929
18, 0.00000, 2401.89, -121.533, 381.397, 163.824
19, 0.00000, 2397.79, -121.611, 380.746, 163.746
20, 0.00000, 2397.97, -121.603, 380.773, 163.755
21, 0.00000, 2399.13, -121.592, 380.958, 163.765
22, 0.00000, 2399.89, -121.583, 381.079, 163.775
23, 0.00000, 2401.79, -121.6, 381.381, 163.757
24, 0.00000, 2402.86, -121.625, 381.551, 163.732
25, 0.00000, 2402.45, -121.646, 381.486, 163.711
26, 0.00000, 2402.29, -121.652, 381.46, 163.705
27, 0.00000, 2402.26, -121.657, 381.456, 163.7
28, 0.00000, 2402.16, -121.661, 381.44, 163.696
29, 0.00000, 2397.36, -121.676, 380.676, 163.681
30, 0.00000, 2393.95, -121.728, 380.136, 163.63
31, 0.00000, 2375.95, -122.234, 377.278, 163.124
32, 0.00000, 2374.44, -122.189, 377.038, 163.169
33, 0.00000, 2363.94, -122.429, 375.37, 162.929
34, 0.00000, 2363.09, -122.433, 375.236, 162.924
35, 0.00000, 2363.83, -122.421, 375.353, 162.936
36, 0.00000, 2362.49, -122.434, 375.14, 162.923
37, 0.00000, 2365.22, -122.379, 375.574, 162.978
38, 0.00000, 2362.81, -122.422, 375.191, 162.935
39, 0.00000, 2363.46, -122.41, 375.295, 162.947
40, 0.00000, 2363.48, -122.409, 375.297, 162.949
41, 0.00000, 2362.22, -122.435, 375.098, 162.922
42, 0.00000, 2374.06, -122.138, 376.977, 163.219
43, 0.00000, 2387.14, -121.982, 379.054, 163.375
44, 0.00000, 2386.75, -121.986, 378.993, 163.371
45, 0.00000, 2393.32, -121.94, 380.035, 163.417
46, 0.00000, 2394.87, -121.943, 380.282, 163.414
47, 0.00000, 2413.15, -121.66, 383.184, 163.697
48, 0.00000, 2414.76, -121.664, 383.44, 163.693
49, 0.00000, 2415.14, -121.667, 383.501, 163.69
50, 0.00000, 2415.37, -121.668, 383.538, 163.689
51, 0.00000, 2415.45, -121.676, 383.55, 163.681
52, 0.00000, 2414.59, -121.695, 383.413, 163.662
53, 0.00000, 2409.06, -121.725, 382.535, 163.632
54, 0.00000, 2407.33, -121.734, 382.261, 163.623
55, 0.00000, 2374.31, -122.24, 377.017, 163.117
56, 0.00000, 2373.88, -122.175, 376.949, 163.182
57, 0.00000, 2364.48, -122.394, 375.455, 162.964
58, 0.00000, 2362.47, -122.43, 375.136, 162.928
59, 0.00000, 2363.55, -122.423, 375.309, 162.934
60, 0.00000, 0, 0, 0, 0
61, 0.00000, 0, 0, 0, 0
62, 0.00000, 0, 0, 0, 0
63, 0.00000, 0, 0, 0, 0
64, 0.00000, 0, 0, 0, 0
65, 0.00000, 0, 0, 0, 0
66, 0.00000, 0, 0, 0, 0
67, 0.00000, 0, 0, 0, 0
68, 0.00000, 0, 0, 0, 0
69, 0.00000, 0, 0, 0, 0
70, 0.00000, 0, 0, 0, 0
71, 0.00000, 0, 0, 0, 0
72, 0.00000, 0, 0, 0, 0
73, 0.00000, 0, 0, 0, 0
74, 0.00000, 0, 0, 0, 0
75, 0.00000, 0, 0, 0, 0
76, 0.00000, 0, 0, 0, 0
77, 0.00000, 0, 0, 0, 0
78, 0.00000, 0, 0, 0, 0
79, 0.00000, 0, 0, 0, 0
80, 0.00000, 0, 0, 0, 0
81, 0.00000, 0, 0, 0, 0
82, 0.00000, 0, 0, 0, 0
83, 0.00000, 0, 0, 0, 0
84, 0.00000, 0, 0, 0, 0
85, 0.00000, 0, 0, 0, 0
86, 0.00000, 0, 0, 0, 0
87, 0.00000, 0, 0, 0, 0
88, 0.00000, 0, 0, 0, 0
89, 0.00000, 5.70734E8, 40.3647, 9.06193E7, -34.3044
90, 0.00000, 1.43862E12, -175.892, 2.28439E11, 109.465
91, 0.00000, 2.52231E15, -32.1377, 4.00519E14, -106.78
92, 0.00000, 4.37158E18, 111.617, 6.94163E17, 36.974
93, 0.00000, 6.31857E21, -104.629, 1.00333E21, -179.272
94, 0.00000, 8.76726E24, 39.1255, 1.39215E24, -35.5171
95, 0.00000, 1.08154E28, -177.12, 1.71737E27, 108.237
96, 0.00000, 1.3351E31, -33.3656, 2.12001E30, -108.008
97, 0.00000, 1.62576E34, 110.389, 2.58155E33, 35.7462
98, 0.00000, 1.97385E37, -105.857, 3.13428E36, 179.501
99, 0.00000, 2.1892E22, 37.6095, 3.47624E21, -37.0331
100, 0.00000, 90.0767, -0.811055, 14.3033, -75.4537
101, 0.00000, 1.03109, -80.0696, 0.163727, -154.712
102, 0.00000, 0.0751989, 107.093, 0.0119408, 32.4501
