solar_646,wind_646,battery_646
0.0,0.0,0.0
0.0,0.009,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.002,0.0
0.0,0.007,0.0
0.0,0.03,0.0
0.0,0.034,5.315
8.361,0.021,16.27
25.35,0.008,-0.706
35.784,0.026,-11.158
109.961,0.065,-85.374
25.216,0.023,-0.587
58.928000000000004,0.029,-34.304
88.156,0.101,-63.605
94.912,0.162,-70.422
47.422,0.182,-22.952
3.144,0.117,0.0
0.0,0.1,0.0
0.0,0.289,0.0
0.0,0.463,0.0
0.0,0.307,0.0
0.0,0.611,0.0
0.0,0.979,0.0
0.0,0.559,0.0
0.0,0.59,0.0
0.0,0.734,0.0
0.0,0.507,0.0
0.0,0.254,0.0
0.0,0.898,0.0
0.0,0.869,80.156
0.0,0.331,60.248
21.939,0.44,85.954
55.71600000000001,0.538,44.288
77.99,0.483,16.848
3.077,0.501,93.619
167.417,0.588,-78.311
59.86299999999999,0.641,33.965
217.38100000000003,0.66,-126.818
149.492,0.553,-60.12
78.926,0.751,13.033
6.756,0.342,34.845
0.0,0.546,16.206
0.0,0.962,18.543
0.0,0.853,10.171
0.0,0.964,12.897
0.0,0.995,-65.13300000000001
0.0,0.918,-67.709
0.0,0.749,-66.649
0.0,1.0,-66.853
0.0,0.756,-12.958
0.0,0.938,0.0
0.0,0.208,0.0
0.0,0.531,0.0
0.0,0.65,80.5
0.0,0.152,54.292
64.345,0.441,32.448
150.026,0.614,0.0
199.322,0.464,0.0
84.478,0.335,12.521
150.227,0.388,0.0
149.826,0.4,0.0
122.402,0.364,0.0
106.28300000000002,0.318,0.0
55.783,0.333,38.745
4.415,0.273,30.816
0.0,0.406,7.551
0.0,0.328,11.952
0.0,0.429,2.679
0.0,0.237,6.46
0.0,0.373,0.0
0.0,0.163,0.0
0.0,0.229,0.0
0.0,0.158,0.0
0.0,0.083,0.0
0.0,0.074,0.0
0.0,0.058,0.0
0.0,0.048,0.0
0.0,0.053,36.096
0.0,0.036,35.23
97.922,0.027,0.364
224.337,0.0,0.0
318.514,0.0,-86.296
377.307,0.0,-145.026
399.714,0.0,-145.026
389.146,0.0,-47.789
342.325,0.0,0.0
262.396,0.002,0.0
143.003,0.0,0.0
28.092000000000002,0.01,13.807
0.0,0.012,10.013
0.0,0.054,9.535
0.0,0.124,0.0
0.0,0.221,0.786
0.0,0.262,0.0
0.0,0.277,0.0
0.0,0.161,0.0
0.0,0.136,0.0
0.0,0.144,0.0
0.0,0.276,0.0
0.0,0.261,0.0
0.0,0.295,0.0
0.0,0.261,71.689
0.0,0.207,145.026
106.483,0.134,124.132
237.581,0.082,6.124
334.299,0.03,-86.316
392.891,0.034,-145.026
414.295,0.054,-145.026
399.647,0.094,-47.769
349.482,0.259,0.0
266.409,0.215,0.0
144.341,0.162,0.0
27.423000000000002,0.072,25.061
0.0,0.103,12.767
0.0,0.18,12.545
0.0,0.116,0.0
0.0,0.133,0.0
0.0,0.048,0.0
0.0,0.027,0.0
0.0,0.027,0.0
0.0,0.007,0.0
0.0,0.02,0.0
0.0,0.009,0.0
0.0,0.004,0.0
0.0,0.009,0.0
0.0,0.0,0.0
0.0,0.0,7.99
84.143,0.0,132.522
199.25499999999997,0.0,49.117
312.36,0.0,-59.209
279.921,0.0,-20.905
316.44,0.0,-64.42
326.406,0.0,-58.594
