solar_646,fossil_646,battery_646
0.0,0.0,-0.9999753171743101
0.0,0.0,-0.15381349656908724
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
220.33,0.0,0.0
512.921,0.0,0.0
706.415,0.0,0.0
812.906,0.0,0.0
854.763,0.0,0.0
823.127,0.0,0.0
729.02,0.0,0.0
566.058,0.0,0.0
306.662,0.0,0.0
20.485,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
81.396,0.0,0.0
272.585,0.0,0.0
467.38,0.0,0.0
576.704,0.0,0.0
668.926,0.0,0.0
786.829,0.0,0.0
478.406,0.0,0.0
519.624,0.0,0.0
263.763,0.0,0.0
9.332,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
103.312,0.0,0.0
452.7699999999999,0.0,0.0
643.553,0.0,0.0
757.455,0.0,0.0
803.4569999999999,0.0,0.0
774.52,0.0,0.0
388.669,0.0,0.0
437.23599999999993,0.0,0.0
212.741,0.0,0.0
8.471,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
153.6,0.0,0.0
453.169,0.0,0.0
655.914,0.0,0.0
567.046,0.0,0.0
462.4189999999999,0.0,0.0
302.608,0.0,0.0
709.083,0.0,0.0
328.766,0.0,0.0
178.769,0.0,0.0
6.865,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
100.37999999999998,0.0,0.0
341.048,0.0,0.0
431.053,0.0,0.0
567.996,0.0,0.0
550.572,0.0,0.0
455.746,0.0,0.0
463.264,0.0,0.0
353.599,0.0,0.0
171.155,0.0,0.0
13.773,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
82.671,0.0,0.0
108.945,0.0,0.0
290.24,0.0,0.0
175.783,0.0,0.0
369.7,0.0,0.0
392.68799999999993,0.0,0.0
325.29,0.0,0.0
174.877,0.0,0.0
118.848,0.0,0.04197067680308042
20.707,0.0,0.01646344473515328
0.0,0.0,-0.06502443599743299
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
240.463,0.0,0.0
562.066,0.0,0.0
787.468,0.0,0.0
919.491,0.0,0.0
966.2160000000001,0.0,0.0
936.3749999999999,0.0,0.0
835.717,0.0,0.0
657.93,0.0,0.0
374.342,0.0,0.0
38.824,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
