solar_bus3001,fossil_bus3001,battery_bus3001
0.0,0.0,-0.6955671342878935
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,75.45,0.0
47.09,96.043,0.0
59.01,145.051,0.0
163.937,41.489,0.999996874858047
458.009,0.0,-0.999996874858047
482.238,0.0,-0.11289708652653183
806.4,0.0,0.0
644.612,0.0,0.0
381.804,0.0,0.0
88.124,188.436,0.0
0.0,393.025,0.0
0.0,367.93,0.0
0.0,319.745,0.0
0.0,281.788,0.0
0.0,242.487,0.0
0.0,111.69200000000001,0.999996874858047
0.0,0.0,-0.6313267861451897
0.0,0.0,-0.4815671752393891
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,5.794,0.0
67.021,58.21099999999999,0.0
8.011,287.954,0.0
277.463,121.62,0.0
62.722,385.594,0.0
172.339,206.059,0.999996874858047
494.743,0.0,-0.999996874858047
515.846,0.0,-0.11289708652653183
348.782,17.446,0.0
49.435,393.447,0.0
0.0,502.586,0.0
0.0,469.527,0.0
0.0,430.836,0.0
0.0,364.011,0.0
0.0,224.51099999999997,0.0
0.0,71.096,0.999996874858047
0.0,0.0,-0.9758478853468107
0.0,0.0,-0.13704607603776814
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,227.12299999999996,0.0
0.0,394.911,0.0
58.423,280.071,0.8985576654348036
385.517,0.0,-0.999996874858047
289.968,91.431,0.8985576654348036
540.27,0.0,-0.999996874858047
296.221,124.775,0.0
87.928,334.557,0.0
148.501,212.144,0.0
98.87,243.641,0.0
10.356,354.54,0.0
0.0,510.831,0.0
0.0,567.365,0.0
0.0,542.435,0.0
0.0,481.57500000000005,0.0
0.0,401.437,0.0
0.0,265.842,0.0
0.0,121.95700000000001,0.0
0.0,56.98100000000001,0.0
0.0,39.614,0.0
0.0,45.393,0.0
0.0,40.409,0.0
0.0,94.94,0.0
0.0,196.423,0.0
0.0,400.681,0.0
0.0,603.266,0.0
27.746,506.20700000000005,0.0
72.297,401.211,0.0
170.776,275.801,0.0
274.141,180.077,0.0
176.052,228.486,0.0
287.819,139.673,0.0
384.54,20.541,0.0
128.571,326.522,0.0
17.976000000000003,458.469,0.0
0.0,634.226,0.0
0.0,597.082,0.0
0.0,527.718,0.0
0.0,496.432,0.0
0.0,392.005,0.0
0.0,239.768,0.0
0.0,72.306,0.0
0.0,31.481,0.0
0.0,13.935999999999998,0.07341113431735158
0.0,0.0,-0.08168502208861081
0.0,18.908,0.0
0.0,81.556,0.0
0.0,185.895,0.0
0.0,443.04699999999997,0.0
0.0,584.598,0.0
227.441,256.939,0.999996874858047
594.59,0.0,-0.999996874858047
889.639,0.0,-0.11289708652653183
1060.415,0.0,0.0
1100.276,0.0,0.0
1013.911,0.0,0.0
803.664,0.0,0.0
473.64,142.206,0.0
113.525,545.093,0.0
0.0,862.71,0.0
0.0,884.184,0.6476727595469458
0.0,884.184,0.3523241153111012
0.0,846.996,0.0
0.0,740.24,0.0
0.0,562.617,0.0
0.0,308.493,0.0
0.0,223.304,0.0
0.0,189.403,0.0
0.0,158.311,0.0
0.0,148.381,0.0
0.0,189.393,0.0
0.0,289.016,0.0
0.0,455.72100000000006,0.0
0.0,575.907,0.0
239.947,281.76,0.0
612.371,0.0,-0.999996874858047
905.271,0.0,-0.11289708652653183
1070.771,0.0,0.0
1114.931,0.0,0.0
1024.462,0.0,0.0
808.94,0.0,0.0
487.904,0.0,0.0
134.823,220.227,0.0
0.0,423.31,0.0
0.0,405.853,0.0
0.0,374.404,0.0
0.0,368.011,0.0
0.0,312.389,0.0
0.0,223.125,0.0
0.0,129.261,0.0
0.0,51.6,0.0
0.0,7.516000000000001,0.45880837825340504
0.0,0.0,-0.35050789604423943
0.0,0.0,-0.11226925764415985
0.0,0.0,-0.04782710736069362
0.0,41.307,0.0
0.0,124.828,0.0
0.0,242.27,0.0
117.042,198.895,0.5286543414172872
390.792,0.0,0.4713425334407598
617.256,0.0,-0.999996874858047
723.748,0.0,-0.11289708652653183
811.285,0.0,0.0
941.81,0.0,0.0
746.2180000000001,0.0,0.0
392.551,0.0,0.0
101.215,236.25900000000001,0.0
0.0,456.3999999999999,0.0
0.0,458.48800000000006,0.0
0.0,401.257,0.0
0.0,422.165,0.0
0.0,350.346,0.0
0.0,249.93299999999996,0.0
0.0,138.051,0.0
0.0,82.219,0.0
0.0,47.182,0.0
0.0,40.316,0.0
0.0,46.592,0.0
0.0,41.917,0.0
0.0,84.957,0.0
0.0,175.079,0.0
0.0,265.444,0.0
88.319,253.719,0.0
65.262,364.033,0.0
154.558,296.93,0.0
186.213,286.877,0.0
174.88,327.364,0.0
103.951,322.992,0.0
24.62,363.439,0.0
30.091,386.384,0.0
0.0,453.994,0.0
0.0,556.068,0.0
0.0,554.777,0.0
0.0,545.873,0.0
0.0,489.7559999999999,0.0
0.0,312.013,0.0
0.0,146.143,0.4958727047734362
0.0,0.0,0.5041241700846107
0.0,0.0,-0.7865574773116604
0.0,0.0,-0.3263140616128337
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,122.774,0.0
0.0,310.703,0.0
0.0,512.357,0.0
209.269,233.71700000000004,0.0
67.998,349.807,0.0
128.18,306.53,0.0
189.73,210.312,0.999996874858047
947.085,0.0,-0.999996874858047
865.605,0.0,-0.11289708652653183
60.573,255.667,0.8985576654348036
442.181,0.0,-0.999996874858047
122.123,229.856,0.0
0.0,503.839,0.0
0.0,503.343,0.0
0.0,454.11799999999994,0.0
0.0,411.688,0.0
0.0,350.732,0.0
0.0,122.623,0.7909522794882642
0.0,0.0,0.20906701782986747
0.0,0.0,-0.999996874858047
0.0,0.0,-0.11289708652653183
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,13.705,0.0
0.0,234.25,0.0
0.0,351.222,0.0
195.005,161.613,0.0
144.593,212.266,0.8985576654348036
803.078,0.0,-0.999996874858047
376.333,102.655,0.0
395.873,60.121,0.0
368.322,19.426,0.8985576654348036
457.032,0.0,-0.999996874858047
243.464,148.707,0.0
53.929,302.678,0.0
0.0,501.53,0.0
0.0,525.05,0.0
0.0,439.676,0.0
0.0,441.667,0.0
0.0,307.764,0.0
0.0,98.042,0.8833328150372833
0.0,0.0,0.11668648228084838
0.0,0.0,-0.5659653149982502
0.0,0.0,-0.5469062239262438
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,75.098,0.0
0.0,311.557,0.0
0.0,467.245,0.0
210.442,238.099,0.0
207.706,146.053,0.999996874858047
813.239,0.0,-0.999996874858047
970.924,0.0,-0.11289708652653183
1010.003,0.0,0.0
925.787,0.0,0.0
735.667,0.0,0.0
