Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4, Node5, Magnitude5, Angle5, pu5, Node6, Magnitude6, Angle6, pu6
"EQ_SOURCE_BUS", 69, 1,    39783.7,   -0.1,   0.99866, 2,    39811.5, -120.1,   0.99936, 3,    39809.4,  119.8,    0.9993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1001", 13.8, 1,    8145.96,  -30.6,    1.0224, 2,    8150.56, -150.4,     1.023, 3,    8155.75,   89.5,    1.0236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1002", 13.8, 1,    8140.91,  -30.7,    1.0218, 2,    8143.32, -150.4,    1.0221, 3,    8149.92,   89.5,    1.0229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1003", 13.8, 1,    8140.67,  -30.7,    1.0217, 2,    8143.08, -150.4,     1.022, 3,    8149.69,   89.5,    1.0229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1004", 13.8, 1,    8140.33,  -30.7,    1.0217, 2,    8142.11, -150.4,    1.0219, 3,    8149.23,   89.5,    1.0228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1005", 13.8, 1,    8140.04,  -30.7,    1.0217, 2,    8141.43, -150.4,    1.0218, 3,    8148.86,   89.5,    1.0228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1006", 13.8, 1,    8139.45,  -30.7,    1.0216, 2,    8139.81, -150.4,    1.0216, 3,    8148.09,   89.5,    1.0227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1007", 13.8, 1,    8139.44,  -30.7,    1.0216, 2,    8139.52, -150.4,    1.0216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1008", 13.8, 1,    8139.21,  -30.7,    1.0216, 2,    8139.36, -150.4,    1.0216, 3,    8147.75,   89.5,    1.0226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1009", 13.8, 1,    8138.77,  -30.7,    1.0215, 2,    8138.45, -150.4,    1.0215, 3,    8147.09,   89.5,    1.0225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1010", 13.8, 1,    8138.76,  -30.7,    1.0215, 2,    8138.44, -150.4,    1.0215, 3,    8147.08,   89.5,    1.0225, 4,    8138.76,  -30.7,    1.0215, 5,    8138.44, -150.4,    1.0215, 6,    8147.08,   89.5,    1.0225
"BUS1011", 13.8, 1,    8138.75,  -30.7,    1.0215, 2,    8138.38, -150.4,    1.0215, 3,    8147.02,   89.5,    1.0225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1012", 13.8, 1,    8138.77,  -30.7,    1.0215, 2,    8138.29, -150.4,    1.0214, 3,    8146.95,   89.5,    1.0225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1013", 13.8, 1,    8138.86,  -30.7,    1.0215, 2,    8138.08, -150.4,    1.0214, 3,    8146.52,   89.5,    1.0225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1014", 13.8, 2,    8137.97, -150.4,    1.0214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1015", 13.8, 2,    8137.94, -150.4,    1.0214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1016", 13.8, 3,    8145.86,   89.5,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1017", 13.8, 3,    8145.82,   89.5,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2001", 13.8, 1,    8145.96,  -30.6,    1.0224, 2,    8150.56, -150.4,     1.023, 3,    8155.75,   89.5,    1.0236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2002", 13.8, 1,    8135.12,  -30.7,     1.021, 2,    8137.03, -150.4,    1.0213, 3,    8145.91,   89.5,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2003", 13.8, 1,    8127.99,  -30.8,    1.0202, 2,    8129.48, -150.5,    1.0203, 3,    8140.95,   89.4,    1.0218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2004", 13.8, 1,    8123.66,  -30.8,    1.0196, 2,    8124.88, -150.6,    1.0198, 3,    8137.97,   89.4,    1.0214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2005", 13.8, 1,    8121.94,  -30.8,    1.0194, 2,    8123.06, -150.6,    1.0195, 3,    8136.79,   89.3,    1.0213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2006", 13.8, 1,    8121.17,  -30.8,    1.0193, 2,    8122.24, -150.6,    1.0194, 3,    8136.25,   89.3,    1.0212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2007", 13.8, 1,       8121,  -30.8,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2008", 13.8, 1,    8120.93,  -30.8,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2009", 13.8, 1,    8120.98,  -30.8,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2010", 13.8, 1,    8120.31,  -30.8,    1.0192, 2,    8121.23, -150.7,    1.0193, 3,    8135.66,   89.3,    1.0211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2011", 13.8, 1,    8118.95,  -30.9,     1.019, 2,    8119.61, -150.7,    1.0191, 3,    8134.71,   89.3,     1.021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2012", 13.8, 1,     8116.5,  -30.9,    1.0187, 2,    8116.69, -150.7,    1.0187, 3,    8133.01,   89.3,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2013", 13.8, 1,     8116.5,  -30.9,    1.0187, 2,    8116.69, -150.7,    1.0187, 3,    8133.01,   89.3,    1.0208, 4,     8116.5,  -30.9,    1.0187, 5,    8116.69, -150.7,    1.0187, 6,    8133.01,   89.3,    1.0208
"BUS2014", 13.8, 1,    8116.38,  -30.9,    1.0187, 2,    8116.42, -150.7,    1.0187, 3,    8133.22,   89.3,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2015", 13.8, 2,    8116.38, -150.7,    1.0187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2016", 13.8, 1,    8116.31,  -30.9,    1.0187, 2,    8116.26, -150.7,    1.0187, 3,    8133.34,   89.3,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2017", 13.8, 1,    8116.31,  -30.9,    1.0187, 2,    8116.06, -150.7,    1.0187, 3,    8133.41,   89.3,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2018", 13.8, 1,    8116.31,  -30.9,    1.0187, 2,    8115.81, -150.7,    1.0186, 3,    8133.49,   89.3,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2019", 13.8, 1,     8116.3,  -30.9,    1.0187, 2,    8116.48, -150.7,    1.0187, 3,    8132.83,   89.3,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2020", 13.8, 2,    8116.16, -150.7,    1.0187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2021", 13.8, 1,    8116.12,  -30.9,    1.0187, 2,    8116.28, -150.7,    1.0187, 3,    8132.64,   89.3,    1.0207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2022", 13.8, 3,    8132.27,   89.3,    1.0207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2023", 13.8, 3,    8132.08,   89.3,    1.0207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2024", 13.8, 3,    8131.62,   89.3,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2025", 13.8, 3,    8131.44,   89.3,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2026", 13.8, 1,    8116.12,  -30.9,    1.0187, 2,    8116.28, -150.7,    1.0187, 3,    8132.64,   89.3,    1.0207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2027", 13.8, 1,    8114.34,  -30.9,    1.0184, 2,     8114.7, -150.7,    1.0185, 3,    8131.32,   89.3,    1.0206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2028", 13.8, 1,     8113.8,  -30.9,    1.0184, 2,    8114.54, -150.7,    1.0185, 3,    8131.07,   89.3,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2029", 13.8, 1,     8113.6,  -30.9,    1.0183, 2,    8114.45, -150.7,    1.0185, 3,    8130.95,   89.3,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2030", 13.8, 1,    8113.41,  -30.9,    1.0183, 2,    8114.41, -150.7,    1.0184, 3,    8130.87,   89.3,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2031", 13.8, 1,    8113.26,  -30.9,    1.0183, 2,    8114.46, -150.7,    1.0185, 3,    8130.87,   89.3,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2032", 13.8, 1,    8113.72,  -30.9,    1.0184, 2,    8114.07, -150.7,    1.0184, 3,    8130.86,   89.3,    1.0205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2033", 13.8, 1,    8112.54,  -30.9,    1.0182, 2,    8112.85, -150.8,    1.0183, 3,    8129.97,   89.2,    1.0204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2034", 13.8, 1,     8112.5,  -30.9,    1.0182, 2,    8112.82, -150.8,    1.0182, 3,    8129.93,   89.2,    1.0204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2035", 13.8, 1,     8111.9,  -30.9,    1.0181, 2,     8112.2, -150.8,    1.0182, 3,    8129.49,   89.2,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2036", 13.8, 1,    8111.28,  -30.9,    1.0181, 2,    8111.56, -150.8,    1.0181, 3,    8129.03,   89.2,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2037", 13.8, 1,    8110.97,  -30.9,     1.018, 2,    8111.24, -150.8,     1.018, 3,     8128.8,   89.2,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2038", 13.8, 1,    8110.24,  -31.0,    1.0179, 2,    8110.49, -150.8,     1.018, 3,    8128.27,   89.2,    1.0202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2039", 13.8, 1,    8106.94,  -31.0,    1.0175, 2,     8107.1, -150.8,    1.0175, 3,    8125.78,   89.2,    1.0199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2040", 13.8, 1,    8106.68,  -31.0,    1.0175, 2,    8106.85, -150.8,    1.0175, 3,    8125.53,   89.2,    1.0198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2041", 13.8, 1,    8106.66,  -31.0,    1.0175, 2,    8106.82, -150.8,    1.0175, 3,     8125.5,   89.2,    1.0198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2042", 13.8, 1,    8106.68,  -31.0,    1.0175, 2,    8106.79, -150.8,    1.0175, 3,    8125.56,   89.2,    1.0198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2043", 13.8, 1,    8105.55,  -31.0,    1.0173, 2,    8105.44, -150.8,    1.0173, 3,    8124.62,   89.2,    1.0197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2044", 13.8, 1,    8103.28,  -31.0,    1.0171, 2,    8102.67, -150.9,     1.017, 3,    8122.74,   89.2,    1.0195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2045", 13.8, 2,    8101.51, -150.9,    1.0168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2046", 13.8, 2,    8101.15, -150.9,    1.0168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2047", 13.8, 2,    8101.09, -150.9,    1.0168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2048", 13.8, 2,    8100.81, -150.9,    1.0167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2049", 13.8, 1,    8103.17,  -31.0,     1.017, 2,    8102.44, -150.9,    1.0169, 3,     8122.2,   89.2,    1.0194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2050", 13.8, 1,    8103.02,  -31.0,     1.017, 2,    8102.23, -150.9,    1.0169, 3,    8121.79,   89.2,    1.0194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2051", 13.8, 1,    8102.82,  -31.0,     1.017, 2,    8101.99, -150.9,    1.0169, 3,    8121.42,   89.2,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2052", 13.8, 1,    8102.59,  -31.0,     1.017, 2,    8101.76, -150.9,    1.0169, 3,    8121.19,   89.2,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2053", 13.8, 1,    8100.65,  -31.0,    1.0167, 2,     8101.4, -150.9,    1.0168, 3,    8121.52,   89.2,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2054", 13.8, 1,    8100.27,  -31.0,    1.0167, 2,    8101.53, -150.9,    1.0168, 3,    8121.52,   89.2,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2055", 13.8, 1,    8099.97,  -31.0,    1.0166, 2,    8101.63, -150.9,    1.0168, 3,    8121.52,   89.2,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2056", 13.8, 1,    8099.85,  -31.0,    1.0166, 2,    8101.67, -150.9,    1.0168, 3,    8121.52,   89.2,    1.0193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2057", 13.8, 1,    8099.39,  -31.0,    1.0166, 2,    8099.55, -150.9,    1.0166, 3,    8120.47,   89.2,    1.0192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2058", 13.8, 1,    8098.71,  -31.0,    1.0165, 2,    8098.87, -150.9,    1.0165, 3,    8119.79,   89.2,    1.0191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2059", 13.8, 1,    8099.39,  -31.0,    1.0166, 2,    8099.02, -150.9,    1.0165, 3,    8120.65,   89.2,    1.0192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2060", 13.8, 1,    8099.38,  -31.0,    1.0166, 2,     8098.9, -150.9,    1.0165, 3,    8120.69,   89.2,    1.0192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
