Element, Terminal,  I1, AmpsOver, kVAOver, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1
"Transformer.XFM1"    , 1,    42.74,    51.88,     206.11,    168.0,    123.2,     42.7,    100.0,     42.7,    100.0
"Line.671684"         , 1,   646.40,   246.40,     899.00,    161.6,    107.7,      0.0,      0.0,      0.0,      0.0
"Line.671680"         , 1,   258.11,   180.68,     800.67,    145.2,     96.8,    164.3,     63.6,    161.2,     62.5
