Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg0,mg0,Microgrid Design,100000
mg0,mg0,Microgrid Controls,100000
mg0,"['670671', '632633']",SCADA disconnect switch,50000
mg0,645_hangar,AMI disconnect meter,5000
mg0,646_office,AMI disconnect meter,5000
mg0,670a_residential2,AMI disconnect meter,5000
mg0,670b_residential2,AMI disconnect meter,5000
mg0,670c_residential2,AMI disconnect meter,5000
