Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg0,mg0,Microgrid Design,100000
mg0,mg0,Microgrid Controls,100000
mg0,cb_1,SCADA disconnect switch,50000
mg0,load_1003,AMI disconnect meter,5000
mg0,load_1004,AMI disconnect meter,5000
mg0,load_1005,AMI disconnect meter,5000
mg0,load_1006,AMI disconnect meter,5000
mg0,load_1007,AMI disconnect meter,5000
mg0,load_1008,AMI disconnect meter,5000
mg0,load_1009,AMI disconnect meter,5000
mg0,load_1010,AMI disconnect meter,5000
mg0,load_1011,AMI disconnect meter,5000
mg0,load_1012,AMI disconnect meter,5000
mg0,load_1013,AMI disconnect meter,5000
mg0,load_1014,AMI disconnect meter,5000
mg0,load_1015,AMI disconnect meter,5000
mg0,load_1016,AMI disconnect meter,5000
mg0,load_1017,AMI disconnect meter,5000
mg0,load_2002,AMI disconnect meter,5000
mg0,load_2003,AMI disconnect meter,5000
mg0,load_2005,AMI disconnect meter,5000
mg0,load_2008,AMI disconnect meter,5000
mg0,load_2009,AMI disconnect meter,5000
mg0,load_2010,AMI disconnect meter,5000
mg0,load_2011,AMI disconnect meter,5000
mg0,load_2014,AMI disconnect meter,5000
mg0,load_2015,AMI disconnect meter,5000
mg0,load_2016,AMI disconnect meter,5000
mg0,load_2017,AMI disconnect meter,5000
mg0,load_2018,AMI disconnect meter,5000
mg0,load_2020,AMI disconnect meter,5000
mg0,load_2022,AMI disconnect meter,5000
mg0,load_2023,AMI disconnect meter,5000
mg0,load_2024,AMI disconnect meter,5000
mg0,load_2025,AMI disconnect meter,5000
mg0,load_2028,AMI disconnect meter,5000
mg0,load_2029,AMI disconnect meter,5000
mg0,load_2030,AMI disconnect meter,5000
mg0,load_2031,AMI disconnect meter,5000
mg0,load_2032,AMI disconnect meter,5000
mg0,load_2034,AMI disconnect meter,5000
mg0,load_2035,AMI disconnect meter,5000
mg0,load_2037,AMI disconnect meter,5000
mg0,load_2040,AMI disconnect meter,5000
mg0,load_2041,AMI disconnect meter,5000
mg0,load_2042,AMI disconnect meter,5000
mg0,load_2043,AMI disconnect meter,5000
mg0,load_2045,AMI disconnect meter,5000
mg0,load_2046,AMI disconnect meter,5000
mg0,load_2047,AMI disconnect meter,5000
mg0,load_2048,AMI disconnect meter,5000
mg0,load_2049,AMI disconnect meter,5000
mg0,load_2050,AMI disconnect meter,5000
mg0,load_2051,AMI disconnect meter,5000
mg0,load_2052,AMI disconnect meter,5000
mg0,load_2053,AMI disconnect meter,5000
mg0,load_2054,AMI disconnect meter,5000
mg0,load_2055,AMI disconnect meter,5000
mg0,load_2056,AMI disconnect meter,5000
mg0,load_2058,AMI disconnect meter,5000
mg0,load_2059,AMI disconnect meter,5000
mg0,load_2060,AMI disconnect meter,5000
mg0,load_3002,AMI disconnect meter,5000
mg0,load_3004,AMI disconnect meter,5000
mg0,load_3006,AMI disconnect meter,5000
mg0,load_3007,AMI disconnect meter,5000
mg0,load_3009,AMI disconnect meter,5000
mg0,load_3010,AMI disconnect meter,5000
mg0,load_3011,AMI disconnect meter,5000
mg0,load_3012,AMI disconnect meter,5000
mg0,load_3013,AMI disconnect meter,5000
mg0,load_3014,AMI disconnect meter,5000
mg0,load_3016,AMI disconnect meter,5000
mg0,load_3017,AMI disconnect meter,5000
mg0,load_3018,AMI disconnect meter,5000
mg0,load_3019,AMI disconnect meter,5000
mg0,load_3020,AMI disconnect meter,5000
mg0,load_3021,AMI disconnect meter,5000
mg0,load_3023,AMI disconnect meter,5000
mg0,load_3024,AMI disconnect meter,5000
mg0,load_3025,AMI disconnect meter,5000
mg0,load_3026,AMI disconnect meter,5000
mg0,load_3027,AMI disconnect meter,5000
mg0,load_3028,AMI disconnect meter,5000
mg0,load_3029,AMI disconnect meter,5000
mg0,load_3031,AMI disconnect meter,5000
mg0,load_3032,AMI disconnect meter,5000
mg0,load_3033,AMI disconnect meter,5000
mg0,load_3034,AMI disconnect meter,5000
mg0,load_3035,AMI disconnect meter,5000
mg0,load_3036,AMI disconnect meter,5000
mg0,load_3037,AMI disconnect meter,5000
mg0,load_3038,AMI disconnect meter,5000
mg0,load_3039,AMI disconnect meter,5000
mg0,load_3041,AMI disconnect meter,5000
mg0,load_3042,AMI disconnect meter,5000
