hour,t(sec),Tap(pu),Type,Name
1,0.0,1.0,Capacitor,moncapacitor-cap_201
2,0.0,1.0,Capacitor,moncapacitor-cap_201
3,0.0,1.0,Capacitor,moncapacitor-cap_201
4,0.0,1.0,Capacitor,moncapacitor-cap_201
5,0.0,1.0,Capacitor,moncapacitor-cap_201
6,0.0,1.0,Capacitor,moncapacitor-cap_201
7,0.0,1.0,Capacitor,moncapacitor-cap_201
8,0.0,1.0,Capacitor,moncapacitor-cap_201
9,0.0,1.0,Capacitor,moncapacitor-cap_201
10,0.0,1.0,Capacitor,moncapacitor-cap_201
11,0.0,1.0,Capacitor,moncapacitor-cap_201
12,0.0,1.0,Capacitor,moncapacitor-cap_201
13,0.0,1.0,Capacitor,moncapacitor-cap_201
14,0.0,1.0,Capacitor,moncapacitor-cap_201
15,0.0,1.0,Capacitor,moncapacitor-cap_201
16,0.0,1.0,Capacitor,moncapacitor-cap_201
17,0.0,1.0,Capacitor,moncapacitor-cap_201
18,0.0,1.0,Capacitor,moncapacitor-cap_201
19,0.0,1.0,Capacitor,moncapacitor-cap_201
20,0.0,1.0,Capacitor,moncapacitor-cap_201
21,0.0,1.0,Capacitor,moncapacitor-cap_201
22,0.0,1.0,Capacitor,moncapacitor-cap_201
23,0.0,1.0,Capacitor,moncapacitor-cap_201
24,0.0,1.0,Capacitor,moncapacitor-cap_201
25,0.0,1.0,Capacitor,moncapacitor-cap_201
26,0.0,1.0,Capacitor,moncapacitor-cap_201
27,0.0,1.0,Capacitor,moncapacitor-cap_201
28,0.0,1.0,Capacitor,moncapacitor-cap_201
29,0.0,1.0,Capacitor,moncapacitor-cap_201
30,0.0,1.0,Capacitor,moncapacitor-cap_201
31,0.0,1.0,Capacitor,moncapacitor-cap_201
32,0.0,1.0,Capacitor,moncapacitor-cap_201
33,0.0,1.0,Capacitor,moncapacitor-cap_201
34,0.0,1.0,Capacitor,moncapacitor-cap_201
35,0.0,1.0,Capacitor,moncapacitor-cap_201
36,0.0,1.0,Capacitor,moncapacitor-cap_201
37,0.0,1.0,Capacitor,moncapacitor-cap_201
38,0.0,1.0,Capacitor,moncapacitor-cap_201
39,0.0,1.0,Capacitor,moncapacitor-cap_201
40,0.0,1.0,Capacitor,moncapacitor-cap_201
41,0.0,1.0,Capacitor,moncapacitor-cap_201
42,0.0,1.0,Capacitor,moncapacitor-cap_201
43,0.0,1.0,Capacitor,moncapacitor-cap_201
44,0.0,1.0,Capacitor,moncapacitor-cap_201
45,0.0,1.0,Capacitor,moncapacitor-cap_201
46,0.0,1.0,Capacitor,moncapacitor-cap_201
47,0.0,1.0,Capacitor,moncapacitor-cap_201
48,0.0,1.0,Capacitor,moncapacitor-cap_201
49,0.0,1.0,Capacitor,moncapacitor-cap_201
50,0.0,1.0,Capacitor,moncapacitor-cap_201
51,0.0,1.0,Capacitor,moncapacitor-cap_201
52,0.0,1.0,Capacitor,moncapacitor-cap_201
53,0.0,1.0,Capacitor,moncapacitor-cap_201
54,0.0,1.0,Capacitor,moncapacitor-cap_201
55,0.0,1.0,Capacitor,moncapacitor-cap_201
56,0.0,1.0,Capacitor,moncapacitor-cap_201
57,0.0,1.0,Capacitor,moncapacitor-cap_201
58,0.0,1.0,Capacitor,moncapacitor-cap_201
59,0.0,1.0,Capacitor,moncapacitor-cap_201
60,0.0,1.0,Capacitor,moncapacitor-cap_201
61,0.0,1.0,Capacitor,moncapacitor-cap_201
62,0.0,1.0,Capacitor,moncapacitor-cap_201
63,0.0,1.0,Capacitor,moncapacitor-cap_201
64,0.0,1.0,Capacitor,moncapacitor-cap_201
65,0.0,1.0,Capacitor,moncapacitor-cap_201
66,0.0,1.0,Capacitor,moncapacitor-cap_201
67,0.0,1.0,Capacitor,moncapacitor-cap_201
68,0.0,1.0,Capacitor,moncapacitor-cap_201
69,0.0,1.0,Capacitor,moncapacitor-cap_201
70,0.0,1.0,Capacitor,moncapacitor-cap_201
71,0.0,1.0,Capacitor,moncapacitor-cap_201
72,0.0,1.0,Capacitor,moncapacitor-cap_201
73,0.0,1.0,Capacitor,moncapacitor-cap_201
74,0.0,1.0,Capacitor,moncapacitor-cap_201
75,0.0,1.0,Capacitor,moncapacitor-cap_201
76,0.0,1.0,Capacitor,moncapacitor-cap_201
77,0.0,1.0,Capacitor,moncapacitor-cap_201
78,0.0,1.0,Capacitor,moncapacitor-cap_201
79,0.0,1.0,Capacitor,moncapacitor-cap_201
80,0.0,1.0,Capacitor,moncapacitor-cap_201
81,0.0,1.0,Capacitor,moncapacitor-cap_201
82,0.0,1.0,Capacitor,moncapacitor-cap_201
83,0.0,1.0,Capacitor,moncapacitor-cap_201
84,0.0,1.0,Capacitor,moncapacitor-cap_201
85,0.0,1.0,Capacitor,moncapacitor-cap_201
86,0.0,1.0,Capacitor,moncapacitor-cap_201
87,0.0,1.0,Capacitor,moncapacitor-cap_201
88,0.0,1.0,Capacitor,moncapacitor-cap_201
89,0.0,1.0,Capacitor,moncapacitor-cap_201
90,0.0,1.0,Capacitor,moncapacitor-cap_201
91,0.0,1.0,Capacitor,moncapacitor-cap_201
92,0.0,1.0,Capacitor,moncapacitor-cap_201
93,0.0,1.0,Capacitor,moncapacitor-cap_201
94,0.0,1.0,Capacitor,moncapacitor-cap_201
95,0.0,1.0,Capacitor,moncapacitor-cap_201
96,0.0,1.0,Capacitor,moncapacitor-cap_201
97,0.0,1.0,Capacitor,moncapacitor-cap_201
98,0.0,1.0,Capacitor,moncapacitor-cap_201
99,0.0,1.0,Capacitor,moncapacitor-cap_201
100,0.0,1.0,Capacitor,moncapacitor-cap_201
101,0.0,1.0,Capacitor,moncapacitor-cap_201
102,0.0,1.0,Capacitor,moncapacitor-cap_201
103,0.0,1.0,Capacitor,moncapacitor-cap_201
104,0.0,1.0,Capacitor,moncapacitor-cap_201
105,0.0,1.0,Capacitor,moncapacitor-cap_201
106,0.0,1.0,Capacitor,moncapacitor-cap_201
107,0.0,1.0,Capacitor,moncapacitor-cap_201
108,0.0,1.0,Capacitor,moncapacitor-cap_201
109,0.0,1.0,Capacitor,moncapacitor-cap_201
110,0.0,1.0,Capacitor,moncapacitor-cap_201
111,0.0,1.0,Capacitor,moncapacitor-cap_201
112,0.0,1.0,Capacitor,moncapacitor-cap_201
113,0.0,1.0,Capacitor,moncapacitor-cap_201
114,0.0,1.0,Capacitor,moncapacitor-cap_201
115,0.0,1.0,Capacitor,moncapacitor-cap_201
116,0.0,1.0,Capacitor,moncapacitor-cap_201
117,0.0,1.0,Capacitor,moncapacitor-cap_201
118,0.0,1.0,Capacitor,moncapacitor-cap_201
119,0.0,1.0,Capacitor,moncapacitor-cap_201
120,0.0,1.0,Capacitor,moncapacitor-cap_201
121,0.0,1.0,Capacitor,moncapacitor-cap_201
122,0.0,1.0,Capacitor,moncapacitor-cap_201
123,0.0,1.0,Capacitor,moncapacitor-cap_201
124,0.0,1.0,Capacitor,moncapacitor-cap_201
125,0.0,1.0,Capacitor,moncapacitor-cap_201
126,0.0,1.0,Capacitor,moncapacitor-cap_201
