solar_bus_fault,fossil_bus_fault,battery_bus_fault
0.0,0.0,-0.69555704634941
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
81.352,0.0,0.0
101.943,0.0,0.0
283.213,0.0,0.0
791.242,0.0,0.0
833.099,0.0,0.0
1393.112,0.0,0.0
1113.612,0.0,0.0
659.593,0.0,0.0
152.24,67.851,0.0
0.0,368.275,0.0
0.0,334.4289999999999,0.0
0.0,272.934,0.0
0.0,224.762,0.0
0.0,117.589,0.4067789647538497
0.0,0.0,0.593220943200275
0.0,0.0,-0.9999999079541247
0.0,0.0,-0.11288942268383832
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
115.78300000000002,0.0,0.0
13.84,245.114,0.4512175745440875
479.336,0.0,-0.5021572623902337
108.357,369.11500000000007,0.0
297.728,31.09,0.9999999079541247
854.703,0.0,-0.9999999079541247
891.159,0.0,-0.11288942268383832
602.545,0.0,0.0
85.403,334.3310000000001,0.0
0.0,520.07,0.0
0.0,460.907,0.0
0.0,380.845,0.0
0.0,294.904,0.0
0.0,36.507,0.9999999079541247
0.0,0.0,-0.011709714585006902
0.0,0.0,-0.9999999079541247
0.0,0.0,-0.10118942570429616
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,231.91,0.0
0.0,592.288,0.0
100.931,556.801,0.0
666.007,6.107,0.0
500.93999999999994,167.34300000000002,0.8985578245077454
933.3550000000001,0.0,-0.9999999079541247
511.74199999999996,239.202,0.0
151.902,671.214,0.0
256.546,498.992,0.0
170.806,547.118,0.0
17.891,661.43,0.0
0.0,740.513,0.0
0.0,723.639,0.0
0.0,687.923,0.0
0.0,616.451,0.0
0.0,501.921,0.0
0.0,313.836,0.0
0.0,98.558,0.0
0.0,20.91,0.0
0.0,1.284,0.0
0.0,9.344,0.0
0.0,24.788,0.0
0.0,90.097,0.0
0.0,220.75,0.0
0.0,517.113,0.0
0.0,954.899,0.0
47.934,884.664,0.0
124.897,765.187,0.0
295.028,616.104,0.0
473.5969999999999,434.544,0.0
304.142,514.487,0.0
497.227,350.55,0.0
664.319,168.473,0.0
222.115,668.717,0.0
31.055999999999997,827.002,0.0
0.0,901.703,0.0
0.0,795.0420000000001,0.0
0.0,669.139,0.0
0.0,588.864,0.0
0.0,443.894,0.0
0.0,159.638,0.6911258182574903
0.0,0.0,0.3088740896966343
0.0,0.0,-0.2899247590403991
0.0,0.0,-0.43530013679284996
0.0,0.0,-0.38766443480471396
0.0,0.0,0.0
0.0,51.976000000000006,0.0
0.0,197.90400000000002,0.0
0.0,549.456,0.0
0.0,913.504,0.0
392.92,477.385,0.9999999079541247
1027.196,0.0,-0.8548966231546865
1536.913,0.0,-0.2579927074832765
1831.94,0.0,0.0
1900.8030000000003,0.0,0.0
1751.601,0.0,0.0
1388.386,0.0,0.0
818.246,345.233,0.0
196.123,951.688,0.0
0.0,1226.592,0.5850775898208261
0.0,1226.592,0.4149223181332985
0.0,1210.894,0.0
0.0,1105.509,0.0
0.0,956.755,0.0
0.0,715.787,0.0
0.0,311.30100000000004,0.0
0.0,184.092,0.0
0.0,157.397,0.0
0.0,141.696,0.0
0.0,149.824,0.0
0.0,199.34,0.0
0.0,314.474,0.0
0.0,594.669,0.0
0.0,938.212,0.0
414.524,470.728,0.0
1057.914,0.0,-0.9999999079541247
1563.917,0.0,-0.11288942268383832
1849.831,0.0,0.0
1926.1199999999997,0.0,0.0
1769.829,0.0,0.0
1397.5,0.0,0.0
842.888,0.0,0.0
232.91700000000003,413.86,0.0
0.0,640.732,0.0
0.0,552.515,0.0
0.0,520.605,0.0
0.0,465.076,0.0
0.0,360.76900000000006,0.0
0.0,206.88999999999996,0.5943676206451138
0.0,0.0,0.40563228730901085
0.0,0.0,-0.644277242311998
0.0,0.0,-0.46861208832596496
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,72.808,0.0
0.0,280.628,0.0
202.199,114.744,0.9999999079541247
675.121,0.0,-0.9999999079541247
1066.353,0.0,-0.11288942268383832
1250.324,0.0,0.0
1401.551,0.0,0.0
1627.041,0.0,0.0
1289.143,0.0,0.0
678.159,0.0,0.0
174.856,209.459,0.0
0.0,558.673,0.0
0.0,585.694,0.0
0.0,533.884,0.0
0.0,526.13,0.0
0.0,408.071,0.0
0.0,256.492,0.0
0.0,120.233,0.0
0.0,54.765,0.0
0.0,10.225,0.0
0.0,3.0730000000000004,0.0
0.0,23.415,0.0
0.0,16.835,0.0
0.0,73.883,0.0
0.0,174.753,0.0
0.0,267.752,0.0
152.577,206.929,0.0
112.74500000000002,339.776,0.0
267.01,257.558,0.0
321.695,204.454,0.0
302.117,285.77,0.0
179.582,289.686,0.0
42.533,368.863,0.0
51.984,375.957,0.0
0.0,499.24499999999995,0.0
0.0,639.159,0.0
0.0,632.971,0.0
0.0,605.41,0.0
0.0,511.55,0.0
0.0,305.028,0.0
0.0,14.52,0.9999999079541247
0.0,0.0,-0.5296580858554367
0.0,0.0,-0.5832312447825263
0.0,0.0,0.0
