Hour,Load (kW)
1,295.858
2,299.385
3,303.155
4,304.067
5,319.019
6,317.358
7,362.262
8,364.899
9,398.759
10,394.702
11,398.166
12,399.737
13,397.489
14,393.483
15,394.605
16,394.888
17,383.201
18,361.753
19,342.832
20,340.133
21,321.454
22,319.48
23,303.584
24,303.782
25,306.104
26,306.512
27,305.739
28,304.429
29,370.234
30,378.142
31,511.652
32,582.335
33,595.037
34,615.612
35,628.089
36,643.392
37,633.345
38,649.39
39,649.337
40,650.045
41,648.305
42,652.309
43,504.729
44,501.713
45,419.618
46,398.158
47,340.564
48,338.842
49,336.09
50,332.584
51,326.996
52,325.819
53,391.356
54,400.47
55,531.234
56,604.614
57,615.554
58,631.658
59,632.741
60,626.963
61,606.273
62,623.787
63,625.201
64,626.147
65,629.477
66,634.049
67,480.113
68,476.019
69,394.675
70,377.347
71,321.931
72,321.392
73,314.913
74,314.805
75,314.936
76,315.307
77,381.041
78,381.892
79,519.598
80,593.03
81,605.854
82,622.575
83,631.312
84,641.384
85,631.1
86,651.422
87,661.942
88,669.209
89,671.771
90,679.776
91,526.665
92,521.332
93,438.004
94,419.402
95,366.12
96,366.428
97,360.267
98,358.932
99,358.187
100,353.467
101,412.492
102,420.427
103,560.373
104,634.683
105,646.691
106,664.956
107,671.91
108,668.127
109,641.299
110,654.338
111,654.717
112,653.299
113,637.535
114,635.593
115,479.772
116,475.82
117,395.146
118,376.548
119,321.85
120,321.939
121,316.031
122,315.905
123,315.723
124,317.083
125,384.612
126,387.093
127,524.82
128,598.257
129,611.037
130,625.433
131,627.355
132,628.759
133,609.094
134,626.225
135,627.28
136,627.965
137,631.814
138,636.95
139,481.661
140,477.867
141,396.832
142,378.016
143,324.045
144,324.514
145,319.726
146,323.055
147,324.177
148,323.772
149,338.183
150,337.091
151,382.193
152,448.097
153,444.568
154,501.295
155,504.546
156,504.838
157,489.408
158,486.179
159,486.197
160,442.785
161,446.106
162,430.385
163,405.285
164,401.677
165,336.658
166,336.337
167,321.32
168,321.744
169,307.439
170,307.446
171,306.651
172,306.76
173,323.127
174,323.657
175,370.574
176,371.911
177,405.579
178,401.837
179,405.235
180,405.534
181,404.703
182,401.034
183,401.011
184,400.844
185,388.378
