Hour,Load (kW)
1,103.528
2,109.858
3,95.774
4,92.884
5,93.772
6,101.536
7,152.586
8,162.879
9,225.067
10,193.316
11,136.596
12,128.019
13,127.578
14,127.78
15,127.427
16,126.71
17,132.857
18,160.672
19,220.611
20,231.593
21,244.4
22,237.426
23,182.486
24,117.128
25,95.425
26,91.247
27,86.528
28,86.964
29,90.382
30,108.682
31,169.622
32,178.169
33,157.326
34,158.973
35,128.491
36,132.937
37,135.017
38,129.719
39,125.287
40,126.513
41,132.241
42,161.864
43,198.34
44,210.504
45,230.671
46,216.251
47,157.705
48,108.118
49,96.588
50,94.034
51,91.441
52,94.258
53,100.502
54,122.576
55,182.593
56,183.922
57,161.323
58,159.768
59,126.685
60,132.449
61,138.537
62,141.008
63,142.84
64,143.543
65,145.787
66,166.654
67,197.979
68,208.934
69,229.05
70,214.457
71,157.829
72,108.348
73,94.974
74,90.549
75,85.587
76,85.93
77,89.526
78,106.959
79,167.251
80,178.892
81,157.553
82,153.909
83,117.986
84,120.753
85,126.436
86,133.226
87,134.978
88,134.618
89,140.905
90,172.907
91,211.96
92,227.716
93,251.888
94,237.293
95,175.815
96,122.756
97,111.424
98,106.378
99,99.856
100,98.938
101,101.193
102,121.078
103,196.418
104,218.3
105,203.281
106,217.052
107,187.995
108,178.533
109,180.613
110,184.806
111,186.881
112,183.234
113,190.8
114,216.515
115,246.882
116,260.114
117,281.691
118,268.163
119,208.229
120,151.213
121,132.303
122,125.633
123,117.562
124,114.429
125,116.623
126,136.653
127,211.147
128,232.858
129,225.222
130,226.757
131,195.879
132,199.621
133,203.211
134,206.122
135,204.572
136,198.097
137,193.532
138,219.307
139,255.486
140,269.292
141,292.348
142,264.097
143,189.579
144,129.424
145,118.163
146,116.123
147,99.678
148,97.915
149,99.378
150,106.29
151,156.742
152,166.437
153,232.832
154,207.65
155,162.653
156,160.226
157,163.729
158,162.39
159,163.77
160,168.76
161,170.155
162,186.824
163,243.109
164,252.022
165,265.26
166,261.211
167,208.659
168,142.461
169,120.647
170,117.732
171,101.269
172,100.434
173,103.107
174,110.207
175,159.497
176,170.693
177,253.524
178,247.555
179,202.801
180,195.024
181,196.407
182,203.567
183,210.303
184,205.781
185,201.533
186,212.712
187,258.981
188,260.387
189,267.627
190,258.512
191,202.92
192,135.232
193,107.856
194,97.189
195,87.725
196,85.928
197,88.334
198,105.749
199,170.011
200,185.853
201,169.599
202,179.89
203,158.287
204,173.899
205,186.708
206,194.094
207,199.271
208,187
209,185.172
210,208.564
211,237.894
212,247.411
213,267.543
214,254.854
215,195.833
216,140.343
217,124.098
218,117.83
219,109.301
220,108.088
221,110.616
222,129.184
223,202.357
224,223.966
225,208.882
226,212.731
227,182.271
228,185.968
229,181.237
230,181.316
231,181.249
232,175.681
233,178.108
234,209.795
235,242.801
236,255.342
237,276.581
238,261.321
239,199.497
240,141.717
241,123.066
242,112.892
243,102.771
244,99.604
245,99.805
246,117.397
247,189.451
248,207.258
249,181.181
250,177.026
251,138.928
252,147.741
253,169.612
254,190.224
255,199.462
256,195.766
257,192.556
258,213.766
259,247.078
260,252.445
261,265
262,249.109
263,188.591
264,131.015
265,112.81
266,104.61
267,95.32
268,92.491
269,93.418
270,110.498
271,179.452
272,188.531
273,156.116
274,150.548
275,114.492
276,114.322
277,113.214
278,113.895
279,114.267
280,114.163
281,120.44
282,152.613
283,190.847
284,203.025
285,222.75
286,209.196
287,155.54
288,109.963
289,99.396
290,98.633
291,97.531
292,102.806
293,112.236
294,134.17
295,186.996
296,188.678
297,163.57
298,154.351
299,119.939
300,121.372
301,119.704
302,121.552
303,122.789
304,122.208
305,127.771
306,154.438
307,203.092
308,218.704
309,242.613
310,230.473
311,172.211
312,119.748
313,110.396
314,110.658
315,96.032
316,93.475
317,94.331
318,102.025
319,154.846
320,169.296
321,244.205
322,233.869
323,189.678
324,190.634
325,195.944
326,195.355
327,196.647
328,192.402
329,186.078
330,196.106
331,259.033
332,267.223
333,278.37
334,272.54
335,221.397
336,157.835
337,136.626
338,133.144
339,116.361
340,113.299
341,111.998
342,117.654
343,167.984
344,180.534
345,266.005
346,259.142
347,213.108
348,206.859
349,210.331
350,214.8
351,216.203
352,214.551
353,212.943
354,218.014
355,270.866
356,272.939
357,283.051
358,278.32
359,225.885
360,157.965
361,134.144
362,128.398
363,108.361
364,104.274
365,104.122
366,110.714
367,160.789
368,172.011
369,251.985
370,244.57
371,204.475
372,207.029
373,215.671
374,219.289
375,214.002
376,210.126
377,208.567
378,214.294
379,273.661
380,279.789
381,288.675
382,280.378
383,221.237
384,150.664
385,122.986
386,113.426
387,104.632
388,101.277
389,101.153
390,118.096
391,187.474
392,204.829
393,189.108
394,201.16
395,175.09
396,189.457
397,196.483
398,198.267
399,191.059
400,178.829
401,180.136
402,201.007
403,242.074
404,254.296
405,273.813
406,259.606
407,200.66
408,144.393
409,127.165
410,118.726
411,105.827
412,99.707
413,99.154
414,116.22
415,187.675
416,206.038
417,192.603
418,209.17
419,177.734
420,179.99
421,181.894
422,192.646
423,185.558
424,180.534
425,183.979
426,205.678
427,243.658
428,254.175
429,273.013
430,258.529
431,200.034
432,144.416
433,125.624
434,116.466
435,109.125
436,107.446
437,108.448
438,127.401
439,202.153
440,216.993
441,193.795
442,207.509
443,177.601
444,191.342
445,198.944
446,204.868
447,195.57
448,187.133
449,187.865
450,210.161
451,251.165
452,263.881
453,284.661
454,269.425
455,208.264
456,150.567
457,130.47
458,120.915
459,111.567
460,108.337
461,109.04
462,125.96
463,197.672
464,217.666
465,205.931
466,223.516
467,195.723
468,193.574
469,196.641
470,199.263
471,192.94
472,188.434
473,193.284
474,213.502
475,253.197
476,265.18
477,284.846
478,271.5
479,211.787
480,154.044
481,138.968
482,135.769
483,118.684
484,116.4
485,118.002
486,125.594
487,177.35
488,189.511
489,269.871
490,253.503
491,195.382
492,187.094
493,187.739
494,172.293
495,166.474
496,165.387
497,161.776
498,181.543
499,251.019
500,263.906
501,278.886
502,276.495
503,224.855
504,158.276
505,138.22
506,135.629
507,117.882
508,115.907
509,118.001
510,127.342
511,180.732
512,193.011
513,271.791
514,256.939
515,206.598
516,200.949
517,204.129
518,211.879
519,211.877
520,205.938
521,202.737
522,209.131
523,270.533
524,279.072
525,290.453
