Hour,Load (kW)
1,98.065
2,98.065
3,98.065
4,98.065
5,98.065
6,98.065
7,98.065
8,59.874
9,52.236
10,52.236
11,52.236
12,52.236
13,52.236
14,52.236
15,52.236
16,52.236
17,52.236
18,75.15
19,98.065
20,98.065
21,98.065
22,98.065
23,98.065
24,98.065
25,111.86
26,111.86
27,111.86
28,111.86
29,111.86
30,149.992
31,589.034
32,487.085
33,568.883
34,488.453
35,470.867
36,477.187
37,482.706
38,468
39,457.068
40,452.695
41,462.077
42,463.445
43,405.162
44,411.902
45,380.373
46,388.397
47,122.688
48,111.86
49,111.86
50,111.86
51,111.86
52,131.788
53,141.214
54,152.147
55,589.457
56,466.604
57,531.501
58,479.825
59,468.616
60,477.65
61,492.67
62,481.693
63,463.441
64,466.395
65,469.322
66,441.756
67,375.02
68,386.107
69,352.967
70,363.327
71,122.688
72,111.86
73,111.86
74,111.86
75,111.86
76,111.86
77,111.86
78,122.688
79,437.902
80,401.837
81,535.133
82,488.99
83,469.982
84,467.817
85,468.18
86,467.504
87,458.303
88,459.909
89,469.636
90,463.331
91,384.917
92,383.447
93,339.329
94,354.546
95,122.688
96,111.86
97,111.86
98,111.86
99,111.86
100,111.86
101,111.86
102,122.688
103,303.872
104,329.236
105,519.227
106,508.946
107,523.176
108,518.716
109,520.407
110,533.654
111,525.809
112,521.285
113,533.871
114,499.187
115,394.498
116,394.01
117,343.354
118,342.238
119,122.688
120,111.86
121,111.86
122,111.86
123,111.86
124,111.86
125,111.86
126,122.688
127,285.048
128,309.977
129,536.243
130,524.387
131,540.483
132,559.387
133,563.045
134,581.318
135,567.736
136,559.851
137,552.382
138,503.136
139,396.387
140,390.645
141,339.857
142,319.996
143,122.688
144,111.86
145,98.065
146,98.065
147,98.065
148,98.065
149,98.065
150,98.065
151,297.087
152,257.282
153,326.684
154,319.868
155,301.152
156,305.332
157,305.443
158,297.345
159,198.675
160,201.205
161,203.979
162,204.806
163,98.065
164,98.065
165,98.065
166,98.065
167,98.065
168,98.065
169,98.065
170,98.065
171,98.065
172,98.065
173,98.065
174,98.065
175,98.065
176,59.874
177,97.946
178,129.653
179,156.285
180,136.978
181,159.484
182,141.832
183,168.123
184,143.185
185,157.769
186,134.308
187,98.065
188,98.065
189,98.065
190,98.065
191,98.065
192,98.065
193,111.86
194,111.86
195,111.86
196,111.86
197,111.86
198,122.688
199,385.932
200,356.233
201,489.25
202,462.755
203,472.366
204,498.763
205,518.146
206,534.644
207,537.776
208,519.438
209,513.861
210,468.475
211,375.705
212,373.518
213,324.417
214,327.394
215,122.688
216,111.86
217,111.86
218,111.86
219,111.86
220,111.86
221,111.86
222,122.688
223,285.061
224,307.41
225,517.152
226,497.358
227,506.771
228,523.491
229,515.989
230,524.881
231,516.351
232,510.954
233,514.53
234,476.907
235,379.398
236,377.054
237,326.65
238,324.77
239,122.688
240,111.86
241,111.86
242,111.86
243,111.86
244,111.86
245,111.86
246,122.688
247,294.063
248,311.189
249,500.04
250,468.37
251,460.616
252,468.735
253,492.244
254,530.323
255,542.465
256,548.851
257,542.712
258,487.334
259,383.745
260,378.34
261,326.467
262,321.709
263,122.688
264,111.86
265,111.86
266,111.86
267,111.86
268,111.86
269,111.86
270,122.688
271,326.255
272,353.466
273,563.008
274,542.631
275,542.184
276,523.639
277,488.351
278,474.614
279,461
280,461.787
281,477.918
282,468.546
283,412.694
284,412.931
285,373.025
286,379.012
287,122.688
288,111.86
289,111.86
290,111.86
291,111.86
292,132.305
293,141.921
294,152.507
295,562.764
296,472.543
297,569.925
298,481.414
299,462.121
300,466.741
301,472.453
302,468.219
303,460.599
304,466.382
305,482.184
306,465.192
307,393.837
308,391.402
309,347.976
310,353.579
311,122.688
312,111.86
313,98.065
314,98.065
315,98.065
316,98.065
317,98.065
318,98.065
319,326.173
320,297.4
321,350.171
322,340.959
323,345.114
324,364.492
325,365
326,348.719
327,244.669
328,234.364
329,225.939
330,220.773
331,98.065
332,98.065
333,98.065
334,98.065
335,98.065
336,98.065
337,98.065
338,98.065
339,98.065
340,98.065
341,98.065
342,98.065
343,98.065
344,59.874
345,105.364
346,141.066
347,166.977
348,145.706
349,172.003
350,151.187
351,176.721
352,151.276
353,168.809
354,141.721
355,98.065
356,98.065
357,98.065
358,98.065
359,98.065
360,98.065
361,98.065
362,98.065
363,98.065
364,98.065
365,98.065
366,98.065
367,98.065
368,59.874
369,74.817
370,135.906
371,151.588
372,152.162
373,168.55
374,163.721
375,167.139
376,157.063
377,159.042
378,134.964
379,106.397
380,98.065
381,98.065
382,98.065
383,98.065
384,98.065
385,111.86
386,111.86
387,111.86
388,111.86
389,111.86
390,122.688
391,308.489
392,305.166
393,488.672
394,478.397
395,495.077
396,522.915
397,534.314
398,546.54
399,528.978
400,513.747
401,516.234
402,471.518
403,375.037
404,373.519
405,322.142
406,320.761
407,122.688
408,111.86
409,111.86
410,111.86
411,111.86
412,111.86
413,111.86
414,122.688
415,298.282
416,304.62
417,499.174
418,492.538
419,498.498
420,512.939
421,515.132
422,539.345
423,523.993
424,520.14
425,525.539
426,480.585
427,373.825
428,372.295
429,323.244
430,323.641
431,122.688
432,111.86
433,111.86
434,111.86
435,111.86
436,111.86
437,111.86
438,122.688
439,280.405
440,312.258
441,517.932
442,493.606
443,505.642
444,537.59
445,547.018
446,569.422
447,549.956
448,538.6
449,539.242
450,495.001
451,386.271
452,383.137
453,331.734
454,328.772
455,122.688
456,111.86
457,111.86
458,111.86
459,111.86
460,111.86
461,111.86
462,122.688
463,280.057
464,300.617
465,509.892
466,516.583
467,536.578
468,543.846
469,548.003
470,567.594
471,548.978
472,546.451
473,550.186
474,492.606
475,385.957
476,377.372
477,324.431
478,325.082
479,122.688
480,111.86
481,98.065
482,98.065
483,98.065
484,98.065
485,98.065
486,98.065
487,271.963
488,237.594
489,326.814
490,340.178
491,336.264
492,343.886
493,343.206
494,328.772
495,232.229
496,228.03
497,240.604
498,227.63
499,98.065
500,98.065
501,98.065
502,98.065
503,98.065
504,98.065
505,98.065
506,98.065
507,98.065
508,98.065
509,98.065
510,98.065
511,98.065
512,59.874
513,121.481
514,141.896
515,165.125
516,145.835
517,169.386
518,153.085
519,174.271
520,148.736
521,166.52
522,59.874
523,98.065
524,98.065
525,98.065
526,98.065
527,98.065
528,98.065
529,111.86
530,111.86
531,111.86
532,111.86
533,111.86
534,122.688
535,277.015
536,304.674
537,530.808
538,545.038
539,561.382
540,572.838
541,567.861
542,583.013
543,573.086
544,583.883
545,585.56
546,511.061
547,390.557
548,378.402
549,325.958
550,326.487
551,122.688
552,111.86
553,111.86
554,111.86
555,111.86
556,111.86
557,111.86
558,122.688
559,279.602
560,292.564
561,524.029
562,540.559
563,553.316
564,561.38
565,557.307
566,582.047
567,567.849
568,547.346
569,541.847
570,492.198
571,385.864
572,375.213
573,323.921
574,324.749
575,122.688
576,111.86
577,111.86
578,111.86
579,111.86
580,111.86
581,111.86
582,122.688
583,274.577
584,296.678
585,524.663
586,538.922
587,544.093
588,557.802
589,560.251
590,576.922
591,572.888
592,577.116
593,576.916
594,498.069
595,379.422
596,366.748
597,312.916
598,312.924
599,122.688
600,111.86
601,111.86
602,111.86
603,111.86
604,111.86
605,111.86
606,122.688
607,267.17
608,285.989
609,519.254
610,528.298
611,538.166
612,559.898
613,563.668
614,581.926
615,563.773
616,554.1
617,563.772
618,500.041
619,388.781
620,380.071
621,327.511
622,327.684
623,122.688
624,111.86
625,111.86
626,111.86
627,111.86
628,111.86
629,111.86
630,122.688
631,277.706
632,306.087
633,515.227
634,495.603
635,503.657
636,531.792
637,549.207
638,579.07
639,566.602
640,551.028
641,539.47
642,481.005
643,378.997
644,373.356
645,322.444
646,322.483
647,122.688
648,111.86
649,98.065
650,98.065
651,98.065
652,98.065
653,98.065
654,98.065
655,283.437
656,257.674
657,338.408
658,329.713
659,321.286
660,338.889
661,341.661
662,350.017
663,244.058
664,225.869
665,213.519
666,182.4
667,98.065
668,98.065
669,98.065
670,98.065
671,98.065
672,98.065
673,98.065
674,98.065
675,98.065
676,98.065
677,98.065
678,98.065
679,98.065
680,59.874
681,52.236
682,52.236
683,72.991
684,104.579
685,127.424
686,115.084
687,133.39
688,118.011
689,107.972
690,73.414
691,98.065
692,98.065
693,98.065
694,98.065
695,98.065
696,98.065
697,111.86
698,111.86
699,111.86
700,111.86
701,111.86
702,122.688
