Hour,Load (kW)
1,116.251
2,122.326
3,124.177
4,124.918
5,132.862
6,131.937
7,169.048
8,171.602
9,200.948
10,181.082
11,224.647
12,247.548
13,273.276
14,273.513
15,267.634
16,263.701
17,261.986
18,230.199
19,230.366
20,216.352
21,201.964
22,177.909
23,114.161
24,143.371
25,118.624
26,107.982
27,104.476
28,102.411
29,107.897
30,106.92
31,157.01
32,150.712
33,234.765
34,278.504
35,272.106
36,303.941
37,290.466
38,290.057
39,286.868
40,284.05
41,283.638
42,290.47
43,281.82
44,267.46
45,233.288
46,159.921
47,100.322
48,131.978
49,103.731
50,96.478
51,96.003
52,95.625
53,116.584
54,115.949
55,166.817
56,152.281
57,228.56
58,269.373
59,262.239
60,294.293
61,279.623
62,277.642
63,273.428
64,270.894
65,271.911
66,277.302
67,269.812
68,249.798
69,219.926
70,148.407
71,91.533
72,124.318
73,97.03
74,89.89
75,91.096
76,92.364
77,100.135
78,101.134
79,154.211
80,148.538
81,235.175
82,281.655
83,276.6
84,310.763
85,302.736
86,305.873
87,305.066
88,303.57
89,304.434
90,312.701
91,304.69
92,295.762
93,268.123
94,189.137
95,127.381
96,157.025
97,137.782
98,128.35
99,128.442
100,128.487
101,136.402
102,136.456
103,190.881
104,194.156
105,281.961
106,334.235
107,334.6
108,349.689
109,344.112
110,348.888
111,343.09
112,337.672
113,338.446
114,342.802
115,328.695
116,318.853
117,290.568
118,202.215
119,134.031
120,161.314
121,143.013
122,133.781
123,132.737
124,132.241
125,159.211
126,159.286
127,216.953
128,212.385
129,289.825
130,343.445
131,343.235
132,362.973
133,364.755
134,367.63
135,358.224
136,351.166
137,346.131
138,348.558
139,333.797
140,314.902
141,288.199
142,191.158
143,126.09
144,153.843
145,130.271
146,121.18
147,120.994
148,120.883
149,128.117
150,127.592
151,164.527
152,164.719
153,233.154
154,270.518
155,307.15
156,332.531
157,322.621
158,322.634
159,317.967
160,316.777
161,317.749
162,323.234
163,293.272
164,246.363
165,232.3
166,171.06
167,125.197
168,153.956
169,133.055
170,123.267
171,123.133
172,123.387
173,131.222
174,130.768
175,167.041
176,167.123
177,202.763
178,188.599
179,236.926
180,261.136
181,291.748
182,293.349
183,287.259
184,284.46
185,282.134
186,248.003
187,244.555
188,228.709
189,211.523
190,185.456
191,119.518
192,146.277
193,119.603
194,104.235
195,98.43
196,95.177
197,100.686
198,100.47
199,154.58
200,150.862
201,241.109
202,296.858
203,302.117
204,338.923
205,336.324
206,343.507
207,345.26
208,338.875
209,330.929
210,333.8
211,319.759
212,306.7
213,276.874
214,193.397
215,129.712
216,158.74
217,140.479
218,130.799
219,130.302
220,130.588
221,157.267
222,156.726
223,211.837
224,206.403
225,283.337
226,335.978
227,335.738
228,351.787
229,343.769
230,349.258
231,343.325
232,335.15
233,333.318
234,338.324
235,323.886
236,305.178
237,276.857
238,191.004
239,130.259
240,158.285
241,138.439
242,126.889
243,125.733
244,124.778
245,131.186
246,130.241
247,183.334
248,183.57
249,266.902
250,312.154
251,308.996
252,331.824
253,327.518
254,336.5
255,339.027
256,339.191
257,335.39
258,339.292
259,326.337
260,312.461
261,277.249
262,189.836
263,126.226
264,154.475
265,133.255
266,123.323
267,122.37
268,121.397
269,127.845
270,126.412
271,177.155
272,170.56
273,248.041
274,286.768
275,276.034
276,300.761
277,283.008
278,282.31
279,278.792
280,277.377
281,277.623
282,284.082
283,273.807
284,258.63
285,226.185
286,155.627
287,97.399
288,126.924
289,94.212
290,84.897
291,83.898
292,83.87
293,105.579
294,105.036
295,158.779
296,144.519
297,223.435
298,267.781
299,265.118
300,300.809
301,290.536
302,294.182
303,297.137
304,299.96
305,301.11
306,305.457
307,302.615
308,286.125
309,257.578
310,179.965
311,125.741
312,156.7
313,134.965
314,125.776
315,125.819
316,125.97
317,133.685
318,132.697
319,170.37
320,174.286
321,242.997
322,285.608
323,327.05
324,349.627
325,345.82
326,348.865
327,344.955
328,338.051
329,332.028
330,333.954
331,306.817
332,259.955
333,244.741
334,178.391
335,130.509
336,158.777
337,140.489
338,130.304
339,129.897
340,129.454
341,136.147
342,134.83
343,171.659
344,174.111
345,209.709
346,195.566
347,244.09
348,266.578
349,297.136
350,302.395
351,297.234
352,294.04
353,291.705
354,252.273
355,252.761
356,238.188
357,223.242
358,196.903
359,129.863
360,156.748
361,138.019
362,126.811
363,125.297
364,124.336
365,130.449
366,129.247
367,165.923
368,167.81
369,202.961
370,187.424
371,238.857
372,263.67
373,296.545
374,306.024
375,298.04
376,293.714
377,291.705
378,253.871
379,255.899
380,244.759
381,227.827
382,197.932
383,128.314
384,154.532
385,136.593
386,126.424
387,126.109
388,125.116
389,149.121
390,148.341
391,200.496
392,190.558
393,265.797
394,316.231
395,318.403
396,345.868
397,342.112
398,350.956
399,341.173
400,335.019
401,331.582
402,332.039
403,322.402
404,303.749
405,274.147
406,190.293
407,130.705
408,159.326
409,140.789
410,129.971
411,127.075
412,124.717
413,131.037
414,130.022
415,183.003
416,181.778
417,272.197
418,328.179
419,328.169
420,346.115
421,339.38
422,343.984
423,337.458
424,334.614
425,333.997
426,333.984
427,323.523
428,311.789
429,281.078
430,195.49
431,130.934
432,159.604
433,140.595
434,129.11
435,129.109
436,128.957
437,136.379
438,135.912
439,191.003
440,192.721
441,279.42
442,331.292
443,332.254
444,353.153
445,352.252
446,355.735
447,348.304
448,342.526
449,341.31
450,340.691
451,329.363
452,318.766
453,290.04
454,201.515
455,132.718
456,160.359
457,141.4
458,130.887
459,129.755
460,128.823
461,154.509
462,153.735
463,208.081
464,202.405
465,279.141
466,332.87
467,335.031
468,352.911
469,352.807
470,358.771
471,351.658
472,347.606
473,345.296
474,342.191
475,331.452
476,312.047
477,282.342
478,198.183
479,133.735
480,161.437
481,140.915
482,130.634
483,130.05
484,129.799
485,137.918
486,137.239
487,176.963
488,178.741
489,250.063
490,293.267
491,333.14
492,352.28
493,344.085
494,342.71
495,336.327
496,329.567
497,327.189
498,330.354
499,303.35
500,258.198
501,245.248
502,179.987
503,131.354
504,158.763
505,140.896
506,130.256
507,129.823
508,129.75
509,137.904
510,137.79
511,177.764
512,181.255
513,214.05
514,197.434
515,244.965
516,267.163
517,298.499
518,302.014
519,296.529
520,292.911
521,290.602
522,252.366
