Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg1,mg1,Microgrid Design,100000
mg1,mg1,Microgrid Controls,100000
mg1,632645,SCADA disconnect switch,50000
mg1,645_hangar,AMI disconnect meter,300
mg1,646_office,AMI disconnect meter,300
