solar_670,fossil_670,fossil_675_existing,wind_670,battery_670
0.0,0.0,0.0,0.022,-0.1670681208123514
0.0,0.0,0.0,0.025,-0.16890549349196002
0.0,0.0,0.0,0.01,-0.1722120399896263
0.0,0.0,0.0,0.001,-0.17296050980654967
0.0,0.0,0.0,0.019,-0.1307238751538115
0.0,0.0,0.0,0.034,-0.09965272007643493
0.0,0.0,0.0,0.079,0.04690853496159849
0.0,0.0,0.0,0.066,0.016276804099318847
59.27,0.0,0.0,0.04,0.01788963583385048
179.706,0.0,0.0,0.028,-0.17084910059719652
253.675,0.0,0.0,0.044,-0.30543846019260257
779.516,0.0,0.0,0.091,-0.941602795505378
178.758,0.0,0.0,0.049,-0.22170641744775682
417.733,0.0,0.0,0.073,-0.5204569376633345
624.94,0.0,0.0,0.112,-0.34618419125840466
672.83,0.0,0.0,0.191,0.0
336.178,0.0,0.0,0.205,0.0
22.285,0.0,0.0,0.167,0.05584912764568626
0.0,0.0,0.0,0.134,0.13281355459428626
0.0,0.0,0.0,0.494,0.12716019305775061
0.0,0.0,0.0,0.787,0.09665763359935935
0.0,0.0,0.0,0.427,0.05547368552784244
0.0,0.0,0.0,0.966,-0.0444108187499623
0.0,0.0,0.0,1.0,-0.11340283493894637
0.0,0.0,0.0,0.839,-0.14035378439509807
0.0,0.0,0.0,0.95,-0.14134369608844832
0.0,0.0,0.0,0.977,-0.08127175002405573
0.0,0.0,0.0,0.871,0.0
0.0,0.0,0.0,0.414,0.0
0.0,0.0,0.0,0.998,0.05547368552784244
0.0,0.0,0.0,1.0,0.3797627202224745
0.0,0.0,0.0,0.593,0.5096451704369384
155.524,0.0,0.0,0.737,0.3484440872217604
394.974,0.0,0.0,0.638,0.09037048713720311
552.868,0.0,0.0,0.559,-0.11770050033934502
21.811,0.0,0.0,0.575,0.5589029348561705
1186.818,0.0,0.0,0.668,-0.8792999265028011
424.37199999999996,0.0,0.0,0.737,0.0700302162576197
1541.014,0.0,0.0,0.764,-1.00000034215675
