Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg0,mg0,Microgrid Design,100000
mg0,mg0,Microgrid Controls,100000
mg0,cb_1,SCADA disconnect switch,50000
mg0,load_1003,3-phase relay,20000
mg0,load_1004,3-phase relay,20000
mg0,load_1005,3-phase relay,20000
mg0,load_1006,3-phase relay,20000
mg0,load_1007,3-phase relay,20000
mg0,load_1008,3-phase relay,20000
mg0,load_1009,3-phase relay,20000
mg0,load_1010,3-phase relay,20000
mg0,load_1011,3-phase relay,20000
mg0,load_1012,3-phase relay,20000
mg0,load_1013,3-phase relay,20000
mg0,load_1014,3-phase relay,20000
mg0,load_1015,3-phase relay,20000
mg0,load_1016,3-phase relay,20000
mg0,load_1017,3-phase relay,20000
mg0,load_2002,3-phase relay,20000
mg0,load_2003,3-phase relay,20000
mg0,load_2005,3-phase relay,20000
mg0,load_2008,3-phase relay,20000
mg0,load_2009,3-phase relay,20000
mg0,load_2010,3-phase relay,20000
mg0,load_2011,3-phase relay,20000
mg0,load_2014,3-phase relay,20000
mg0,load_2015,3-phase relay,20000
mg0,load_2016,3-phase relay,20000
mg0,load_2017,3-phase relay,20000
mg0,load_2018,3-phase relay,20000
mg0,load_2020,3-phase relay,20000
mg0,load_2022,3-phase relay,20000
mg0,load_2023,3-phase relay,20000
mg0,load_2024,3-phase relay,20000
mg0,load_2025,3-phase relay,20000
mg0,load_2028,3-phase relay,20000
mg0,load_2029,3-phase relay,20000
mg0,load_2030,3-phase relay,20000
mg0,load_2031,3-phase relay,20000
mg0,load_2032,3-phase relay,20000
mg0,load_2034,3-phase relay,20000
mg0,load_2035,3-phase relay,20000
mg0,load_2037,3-phase relay,20000
mg0,load_2040,3-phase relay,20000
mg0,load_2041,3-phase relay,20000
mg0,load_2042,3-phase relay,20000
mg0,load_2043,3-phase relay,20000
mg0,load_2045,3-phase relay,20000
mg0,load_2046,3-phase relay,20000
mg0,load_2047,3-phase relay,20000
mg0,load_2048,3-phase relay,20000
mg0,load_2049,3-phase relay,20000
mg0,load_2050,3-phase relay,20000
mg0,load_2051,3-phase relay,20000
mg0,load_2052,3-phase relay,20000
mg0,load_2053,3-phase relay,20000
mg0,load_2054,3-phase relay,20000
mg0,load_2055,3-phase relay,20000
mg0,load_2056,3-phase relay,20000
mg0,load_2058,3-phase relay,20000
mg0,load_2059,3-phase relay,20000
mg0,load_2060,3-phase relay,20000
mg0,load_3002,3-phase relay,20000
mg0,load_3004,3-phase relay,20000
mg0,load_3006,3-phase relay,20000
mg0,load_3007,3-phase relay,20000
mg0,load_3009,3-phase relay,20000
mg0,load_3010,3-phase relay,20000
mg0,load_3011,3-phase relay,20000
mg0,load_3012,3-phase relay,20000
mg0,load_3013,3-phase relay,20000
mg0,load_3014,3-phase relay,20000
mg0,load_3016,3-phase relay,20000
mg0,load_3017,3-phase relay,20000
mg0,load_3018,3-phase relay,20000
mg0,load_3019,3-phase relay,20000
mg0,load_3020,3-phase relay,20000
mg0,load_3021,3-phase relay,20000
mg0,load_3023,3-phase relay,20000
mg0,load_3024,3-phase relay,20000
mg0,load_3025,3-phase relay,20000
mg0,load_3026,3-phase relay,20000
mg0,load_3027,3-phase relay,20000
mg0,load_3028,3-phase relay,20000
mg0,load_3029,3-phase relay,20000
mg0,load_3031,3-phase relay,20000
mg0,load_3032,3-phase relay,20000
mg0,load_3033,3-phase relay,20000
mg0,load_3034,3-phase relay,20000
mg0,load_3035,3-phase relay,20000
mg0,load_3036,3-phase relay,20000
mg0,load_3037,3-phase relay,20000
mg0,load_3038,3-phase relay,20000
mg0,load_3039,3-phase relay,20000
mg0,load_3041,3-phase relay,20000
mg0,load_3042,3-phase relay,20000
mg0,load_3043,3-phase relay,20000
mg0,load_3044,3-phase relay,20000
mg0,load_3045,3-phase relay,20000
mg0,load_3047,3-phase relay,20000
mg0,load_3048,3-phase relay,20000
mg0,load_3049,3-phase relay,20000
mg0,load_3050,3-phase relay,20000
mg0,load_3051,3-phase relay,20000
mg0,load_3052,3-phase relay,20000
mg0,load_3054,3-phase relay,20000
mg0,load_3056,3-phase relay,20000
mg0,load_3057,3-phase relay,20000
mg0,load_3058,3-phase relay,20000
mg0,load_3059,3-phase relay,20000
mg0,load_3060,3-phase relay,20000
