Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4, Node5, Magnitude5, Angle5, pu5, Node6, Magnitude6, Angle6, pu6
"BUS2012", 12.47, 1,    8102.85,  -31.7,    1.1255, 2,    8110.99, -151.5,    1.1266, 3,    8120.09,   88.4,    1.1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2013", 12.47, 1,    8102.85,  -31.7,    1.1255, 2,    8110.99, -151.5,    1.1266, 3,    8120.09,   88.4,    1.1279, 4,    8102.85,  -31.7,    1.1255, 5,    8110.99, -151.5,    1.1266, 6,    8120.09,   88.4,    1.1279
"BUS2014", 12.47, 1,    8102.82,  -31.7,    1.1255, 2,    8110.73, -151.5,    1.1266, 3,    8120.21,   88.4,    1.1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2015", 12.47, 2,    8110.71, -151.5,    1.1266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2016", 12.47, 1,    8102.79,  -31.7,    1.1255, 2,    8110.56, -151.5,    1.1265, 3,    8120.29,   88.4,    1.1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2017", 12.47, 1,    8102.82,  -31.7,    1.1255, 2,    8110.38, -151.5,    1.1265, 3,    8120.33,   88.4,    1.1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2018", 12.47, 1,    8102.83,  -31.7,    1.1255, 2,    8110.22, -151.5,    1.1265, 3,    8120.37,   88.4,    1.1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2019", 12.47, 1,    8102.68,  -31.7,    1.1254, 2,     8110.8, -151.5,    1.1266, 3,    8119.93,   88.4,    1.1278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2020", 12.47, 2,    8110.54, -151.5,    1.1265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2021", 12.47, 1,    8102.52,  -31.7,    1.1254, 2,    8110.63, -151.5,    1.1265, 3,    8119.78,   88.4,    1.1278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
