pv_production_factor_series,wind_production_factor_series
0.0,5.687193270082957e-05
0.0,0.009179735283951928
0.0,0.0
0.0,0.0
0.0,0.00220410615901838
0.0,0.006723579766307409
0.0,0.029846852815914204
0.0,0.03405594135553166
0.149635,0.02107791835837787
0.348345,0.008054642880564714
0.479754,0.025582365499525424
0.552076,0.06468643305041788
0.580503,0.022999444231209636
0.559018,0.028532435952938088
0.495106,0.10072695536545814
0.384432,0.16232450504977486
0.20826599999999998,0.18180783494740593
0.013912,0.11698473042682508
0.0,0.09960697351378417
0.0,0.2886839299177925
0.0,0.4632580650002483
0.0,0.3065309694603338
0.0,0.611254324309253
0.0,0.9785240643884426
0.0,0.5585501583475707
0.0,0.589881250839375
0.0,0.7338876863657106
0.0,0.5072146964692956
0.0,0.25446913155623246
0.0,0.8977515530700048
0.0,0.8690884258305509
0.0,0.33069726059697563
0.055279,0.4401360390440203
0.18512299999999998,0.5376339720270805
0.317416,0.48280818900009603
0.39166199999999995,0.5008803328534682
0.454294,0.5875511888571395
0.534366,0.6408488662044604
0.32490399999999997,0.6595097727626232
0.352897,0.5528517112090576
0.179132,0.75080910952473
0.006338,0.34249224541612033
0.0,0.5461429050226568
0.0,0.9623380690884807
0.0,0.8533856425338127
0.0,0.9644251219739681
0.0,0.9948182410602312
0.0,0.9175260611455669
0.0,0.7493127781787925
0.0,1.0
0.0,0.7555632955581364
0.0,0.9380113412375681
0.0,0.2083632849200353
0.0,0.5308339547835028
0.0,0.650443569854784
0.0,0.15178368004439136
0.070163,0.4408559214768846
0.30749400000000005,0.6135645257170383
0.437062,0.46402981059047854
0.514417,0.33519858821362697
0.545659,0.3878486861342628
0.526007,0.40018693310649395
0.26396,0.36409130640071785
0.29694400000000004,0.3182705090044899
0.144481,0.333327941546901
0.005753,0.2727919566012723
0.0,0.40594280041010633
0.0,0.3280154862056712
0.0,0.4290844669556334
0.0,0.2372414879574842
0.0,0.37275469962782815
0.0,0.16302360455563178
0.0,0.2291497696990459
0.0,0.15795357479353755
0.0,0.08311765004241113
0.0,0.07382083090505505
0.0,0.05768305170755018
0.0,0.04796006952102401
0.0,0.05334129931769461
0.0,0.03573000180131809
0.104316,0.026622833517215925
0.307765,0.0
0.445457,0.0
0.38510300000000003,0.0
0.314047,0.0
0.205513,0.0
0.481566,0.0
0.223278,0.001982547028677345
0.121409,0.0
0.004662,0.010073643772627918
0.0,0.011869121838013115
0.0,0.0537422273244875
0.0,0.12350068997023948
0.0,0.22124950431195328
0.0,0.261784647700222
0.0,0.27728337899573635
0.0,0.16134370200741097
0.0,0.13575188325389445
0.0,0.14374932661436832
0.0,0.27558958754208845
0.0,0.260592437600567
0.0,0.2951521643928435
0.0,0.26121148718118753
0.0,0.20724527155230033
0.068172,0.13380263393874303
0.231619,0.082354704383989
0.292745,0.02973880872564149
0.385748,0.034019786306010984
0.373915,0.0544667039611838
0.309515,0.09396589955116065
0.314621,0.25903875354261935
0.240143,0.21510797020095163
0.116238,0.1621452160027227
0.009354,0.07161587886593956
0.0,0.1029985123778651
0.0,0.18037460471084454
0.0,0.1164120792939687
0.0,0.13330280573986472
0.0,0.047896841915216544
0.0,0.027028828451278585
0.0,0.02696069037635439
0.0,0.006911623885585556
0.0,0.019957508299047206
0.0,0.009466867473587043
0.0,0.004184619632419768
0.0,0.008511942799149992
0.0,0.0
0.0,0.0
0.056145,0.0
0.073989,0.0
0.197113,0.0
0.119381,0.0
0.251078,0.0
0.26669,0.0
0.220917,0.0
0.11876600000000001,0.0
0.080714,0.0
0.014063,0.0
0.0,0.004642085472929239
0.0,0.033728699296216816
0.0,0.013663211635591877
0.0,0.04969341474204772
0.0,0.02842523358374072
0.0,0.07709117778346364
0.0,0.043800186826955655
0.0,0.0542808313277492
0.0,0.03400996601090786
0.0,0.011922003523745573
0.0,0.03226068518597702
0.0,0.0
0.0,0.028390662721902275
0.0,0.015725134657657704
0.16330799999999998,0.003789175187805554
0.381721,0.0
