solar_675,fossil_675,wind_675,battery_675_existing,battery_675_2_existing
0.0,0.0,0.055,0.0,0.0
0.0,0.0,8.86,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.127,0.0,0.0
0.0,0.0,6.489,0.0,0.0
0.0,0.0,28.806,0.0,0.0
0.0,0.0,32.869,0.2628926628926629,0.2628926628926629
163.74600000000004,0.0,20.343,0.581018981018981,0.581018981018981
381.194,0.0,7.773999999999999,-0.6098623598623598,-0.6098623598623598
524.995,0.0,24.69,-1.0000166500166499,-1.0000166500166499
604.1370000000001,0.0,62.431000000000004,-0.8946053946053946,-0.8946053946053946
635.2449999999999,0.0,22.198,0.0,0.0
611.734,0.0,27.538,0.0,0.0
541.7950000000001,0.0,97.215,0.0,0.0
420.684,0.0,156.665,0.0,0.0
227.906,0.0,175.469,0.0,0.0
15.224,0.0,112.906,0.9689477189477189,0.9689477189477189
0.0,0.0,96.134,1.0000222000221999,1.0000222000221999
0.0,0.0,278.619,0.28146298146298143,0.28146298146298143
0.0,0.0,447.106,-0.7157675657675658,-0.7157675657675658
0.0,0.0,295.843,0.03846708846708847,0.03846708846708847
0.0,0.0,589.942,-1.0000222000221999,-1.0000222000221999
0.0,0.0,944.407,-0.8315073815073815,-0.8315073815073815
0.0,0.0,539.076,0.0,0.0
0.0,0.0,569.314,0.0,0.0
0.0,0.0,708.3,0.0,0.0
0.0,0.0,489.53,0.0,0.0
0.0,0.0,245.597,0.32075147075147076,0.32075147075147076
0.0,0.0,866.45,-0.35696525696525694,-0.35696525696525694
0.0,0.0,838.787,0.0,0.0
0.0,0.0,319.167,0.7483793983793983,0.7483793983793983
60.49199999999999,0.0,424.79,-0.03668553668553669,-0.03668553668553669
202.57999999999998,0.0,518.889,-0.7961815961815962,-0.7961815961815962
347.349,0.0,465.974,0.0,0.0
428.596,0.0,483.4169999999999,0.0,0.0
497.134,0.0,567.065,0.0,0.0
584.7570000000001,0.0,618.505,0.0,0.0
355.543,0.0,636.515,0.0,0.0
386.176,0.0,533.576,0.0,0.0
196.024,0.0,724.6310000000001,0.0,0.0
6.936,0.0,330.551,0.8669053169053169,0.8669053169053169
0.0,0.0,527.101,-0.5833499833499833,-0.5833499833499833
0.0,0.0,928.785,-0.3814185814185814,-0.3814185814185814
0.0,0.0,823.631,0.0,0.0
0.0,0.0,930.799,0.0,0.0
0.0,0.0,960.133,0.0,0.0
0.0,0.0,885.5350000000001,0.0,0.0
0.0,0.0,723.187,0.0,0.0
0.0,0.0,965.134,0.0,0.0
0.0,0.0,729.22,0.0,0.0
0.0,0.0,905.3059999999999,0.0,0.0
0.0,0.0,201.098,0.6763014763014763,0.6763014763014763
0.0,0.0,512.326,-0.7526473526473526,-0.7526473526473526
0.0,0.0,627.765,0.0,0.0
0.0,0.0,146.492,1.0000222000221999,1.0000222000221999
76.779,0.0,425.485,-0.062210012210012204,-0.062210012210012204
336.491,0.0,592.172,-1.0000222000221999,-1.0000222000221999
478.277,0.0,447.851,-0.05068265068265068,-0.05068265068265068
562.927,0.0,323.511,0.0,0.0
597.115,0.0,374.326,0.0,0.0
575.61,0.0,386.234,0.0,0.0
288.852,0.0,351.397,0.0,0.0
324.94599999999997,0.0,307.174,0.0,0.0
158.106,0.0,321.706,-0.0,-0.0
6.296,0.0,263.281,0.0,0.0
0.0,0.0,391.789,0.0,0.0
0.0,0.0,316.579,0.2557220557220557,0.2557220557220557
0.0,0.0,414.124,-0.28459318459318456,-0.28459318459318456
0.0,0.0,228.97,0.3288378288378288,0.3288378288378288
0.0,0.0,359.75800000000004,-0.36596181596181593,-0.36596181596181593
0.0,0.0,157.34,0.0,0.0
0.0,0.0,221.16,0.0,0.0
0.0,0.0,152.446,0.0,0.0
0.0,0.0,80.22,0.0,0.0
0.0,0.0,71.247,0.0,0.0
0.0,0.0,55.672,0.0,0.0
0.0,0.0,46.288,0.0,0.0
0.0,0.0,51.481,0.0,0.0
0.0,0.0,34.484,0.0,0.0
114.153,0.0,25.695,0.0,0.0
336.788,0.0,0.0,0.0,0.0
487.464,0.0,0.0,-0.0,-0.0
421.419,0.0,0.0,-0.0,-0.0
343.66200000000003,0.0,0.0,-0.0,-0.0
224.893,0.0,0.0,0.1128038628038628,0.1128038628038628
526.978,0.0,0.0,-0.12554112554112554,-0.12554112554112554
244.333,0.0,1.913,0.0,0.0
132.858,0.0,0.0,0.0,0.0
5.102,0.0,9.722,0.3872960372960373,0.3872960372960373
0.0,0.0,11.455,-0.017893217893217895,-0.017893217893217895
0.0,0.0,51.867999999999995,-0.22774447774447773,-0.22774447774447773
0.0,0.0,119.195,0.0,0.0
0.0,0.0,213.535,0.0,0.0
0.0,0.0,252.65699999999998,0.0,0.0
0.0,0.0,267.616,0.0,0.0
0.0,0.0,155.718,0.0,0.0
0.0,0.0,131.019,0.0,0.0
0.0,0.0,138.737,0.0,0.0
0.0,0.0,265.981,0.0,0.0
0.0,0.0,251.507,0.0,0.0
0.0,0.0,284.861,0.0,0.0
0.0,0.0,252.10399999999998,0.0,0.0
0.0,0.0,200.019,0.0,0.0
74.601,0.0,129.137,0.0,0.0
253.461,0.0,79.483,0.0,0.0
320.35100000000006,0.0,28.702,0.0,0.0
422.124,0.0,32.834,0.0,0.0
409.176,0.0,52.568,0.0,0.0
338.703,0.0,90.69,0.0,0.0
344.2900000000001,0.0,250.007,-0.18538128538128537,-0.18538128538128537
262.789,0.0,207.608,0.0,0.0
127.19900000000001,0.0,156.492,0.0,0.0
10.236,0.0,69.119,0.15333555333555332,0.15333555333555332
0.0,0.0,99.407,-0.07112332112332112,-0.07112332112332112
0.0,0.0,174.086,0.0,0.0
0.0,0.0,112.353,0.0,0.0
0.0,0.0,128.655,0.0,0.0
0.0,0.0,46.227,0.0,0.0
