hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,Name,V3,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,121.071,-32.572,121.154,-152.346,116.604,-32.5732,116.683,-152.347,monload-load_1003,121.202,87.5738,116.73,87.5728,0.0,0.0,0.340492,64.0676,0.12,1.008925,1.0096166666666666,1.0100166666666666
2,0.0,121.149,-32.4718,121.226,-152.288,113.709,-32.4718,113.781,-152.288,monload-load_1003,121.247,87.6267,113.801,87.6267,0.0,0.0,0.270886,71.4423,0.12,1.0095750000000001,1.0102166666666668,1.0103916666666666
3,0.0,121.141,-32.4448,121.207,-152.278,120.349,-32.4459,120.414,-152.279,monload-load_1003,121.224,87.6401,120.431,87.6394,0.0,0.0,0.261327,74.5392,0.12,1.0095083333333335,1.0100583333333333,1.0102
4,0.0,121.14,-32.4542,121.202,-152.281,120.232,-32.4544,120.294,-152.281,monload-load_1003,121.222,87.6517,120.314,87.651,0.0,0.0,0.279815,68.2809,0.12,1.0095,1.0100166666666666,1.0101833333333332
5,0.0,121.161,-32.4468,121.236,-152.248,116.704,-32.4468,116.777,-152.248,monload-load_1003,121.263,87.6746,116.803,87.6744,0.0,0.0,0.307512,67.1139,0.12,1.009675,1.0103,1.0105250000000001
6,0.0,121.118,-32.4828,121.184,-152.298,120.645,-32.483,120.711,-152.298,monload-load_1003,121.227,87.6507,120.754,87.6503,0.0,0.0,0.298039,58.8128,0.12,1.0093166666666666,1.0098666666666667,1.010225
7,0.0,121.026,-32.5967,121.118,-152.373,122.306,-32.5967,122.4,-152.373,monload-load_1003,121.167,87.5566,122.449,87.5562,0.0,0.0,0.359339,59.4883,0.12,1.00855,1.0093166666666666,1.009725
8,0.0,120.939,-32.737,121.07,-152.471,116.833,-32.737,116.96,-152.471,monload-load_1003,121.123,87.4492,117.011,87.4492,0.0,0.0,0.416816,55.8113,0.12,1.007825,1.0089166666666667,1.0093583333333334
9,0.0,121.208,-32.4246,121.256,-152.31,103.972,-32.4271,104.012,-152.313,monload-load_1003,121.255,87.6205,104.012,87.6184,0.0,0.0,0.160748,82.8286,0.12,1.0100666666666667,1.0104666666666666,1.0104583333333332
10,0.0,121.104,-32.5503,121.142,-152.412,108.288,-32.5503,108.323,-152.412,monload-load_1003,121.155,87.5113,108.335,87.5113,0.0,0.0,0.198075,83.1585,0.12,1.0092,1.0095166666666666,1.009625
11,0.0,121.1,-32.4081,121.226,-152.152,119.323,-32.408,119.447,-152.152,monload-load_1003,121.199,87.6525,119.42,87.6526,0.0,0.0,0.428176,92.1906,0.12,1.0091666666666665,1.0102166666666668,1.0099916666666666
12,0.0,121.456,-31.6932,121.63,-151.263,132.816,-31.6934,133.006,-151.263,monload-load_1003,121.662,88.5102,133.042,88.5101,0.0,0.0,0.745777,77.9259,0.12,1.0121333333333333,1.0135833333333333,1.0138500000000001
13,0.0,121.598,-31.516,121.693,-151.166,131.913,-31.5157,132.017,-151.166,monload-load_1003,121.741,88.647,132.068,88.6473,0.0,0.0,0.598117,82.6565,0.12,1.0133166666666666,1.0141083333333334,1.0145083333333333
14,0.0,122.57,-29.9003,122.584,-149.59,122.223,-29.9002,122.236,-149.59,monload-load_1003,122.702,90.307,122.354,90.3071,0.0,0.0,0.464959,74.9148,0.12,1.0214166666666666,1.0215333333333334,1.0225166666666667
15,0.0,122.281,-30.4476,122.389,-150.147,115.649,-30.4478,115.751,-150.147,monload-load_1003,122.398,89.6558,115.76,89.6555,0.0,0.0,0.466171,90.5274,0.12,1.0190083333333333,1.0199083333333332,1.0199833333333332
16,0.0,121.819,-31.4024,121.933,-151.157,99.9125,-31.4024,100.006,-151.157,monload-load_1003,121.887,88.6276,99.9679,88.6276,0.0,0.0,0.370369,101.333,0.12,1.0151583333333334,1.0161083333333334,1.015725
17,0.0,121.385,-33.2344,121.489,-153.01,107.177,-33.237,107.268,-153.012,monload-load_1003,121.448,86.7958,107.233,86.7931,0.0,0.0,0.362077,98.7839,0.12,1.0115416666666668,1.0124083333333334,1.0120666666666667
18,0.0,121.378,-33.1564,121.494,-152.97,112.327,-33.1561,112.434,-152.969,monload-load_1003,121.383,86.8014,112.331,86.8026,0.0,0.0,0.404944,111.997,0.12,1.0114833333333333,1.01245,1.011525
19,0.0,121.346,-33.1973,121.487,-152.919,114.635,-33.1974,114.768,-152.919,monload-load_1003,121.469,86.8889,114.751,86.8889,0.0,0.0,0.432773,85.7288,0.12,1.0112166666666667,1.0123916666666666,1.0122416666666667
20,0.0,121.381,-33.1728,121.468,-152.912,117.138,-33.1728,117.221,-152.912,monload-load_1003,121.559,87.0251,117.31,87.025,0.0,0.0,0.393012,54.6967,0.12,1.0115083333333332,1.0122333333333333,1.0129916666666667
21,0.0,121.473,-33.0498,121.549,-152.839,115.048,-33.0523,115.12,-152.841,monload-load_1003,121.602,87.0751,115.17,87.0738,0.0,0.0,0.299694,66.8202,0.12,1.012275,1.0129083333333333,1.01335
22,0.0,121.541,-32.9728,121.653,-152.699,112.224,-32.9728,112.327,-152.699,monload-load_1003,121.705,87.1774,112.376,87.1773,0.0,0.0,0.381449,69.5432,0.12,1.0128416666666666,1.013775,1.0142083333333334
23,0.0,121.577,-32.8877,121.717,-152.582,117.328,-32.8884,117.463,-152.583,monload-load_1003,121.754,87.2738,117.499,87.273,0.0,0.0,0.458259,70.0796,0.12,1.0131416666666666,1.0143083333333334,1.0146166666666667
24,0.0,121.842,-32.5287,121.874,-152.38,119.725,-32.5287,119.755,-152.38,monload-load_1003,121.901,87.5395,119.782,87.5395,0.0,0.0,0.227628,84.1775,0.12,1.01535,1.0156166666666666,1.0158416666666665
25,0.0,107.484,-0.847092,107.476,-120.841,104.702,-0.847091,104.694,-120.841,monload-load_1003,107.485,119.158,104.703,119.158,0.0,0.0,0.00600766,144.519,0.12,0.8956999999999999,0.8956333333333333,0.8957083333333333
26,0.0,107.428,-0.892342,107.422,-120.888,110.628,-0.892342,110.622,-120.888,monload-load_1003,107.43,119.112,110.631,119.112,0.0,0.0,0.00218098,124.807,0.12,0.8952333333333333,0.8951833333333333,0.8952500000000001
27,0.0,107.501,-0.831629,107.499,-120.826,102.822,-0.831766,102.82,-120.826,monload-load_1003,107.504,119.174,102.825,119.174,0.0,0.0,0.0057169,82.3651,0.12,0.8958416666666668,0.895825,0.8958666666666667
28,0.0,107.481,-0.848847,107.479,-120.844,105.233,-0.848827,105.231,-120.844,monload-load_1003,107.485,119.157,105.237,119.157,0.0,0.0,0.00527079,61.1398,0.12,0.895675,0.8956583333333333,0.8957083333333333
29,0.0,107.492,-0.841223,107.489,-120.836,104.364,-0.841258,104.361,-120.836,monload-load_1003,107.495,119.164,104.366,119.164,0.0,0.0,0.00458031,92.3827,0.12,0.8957666666666667,0.8957416666666667,0.8957916666666667
30,0.0,107.507,-0.829576,107.501,-120.825,102.963,-0.82961,102.958,-120.825,monload-load_1003,107.507,119.174,102.963,119.174,0.0,0.0,0.00546464,144.261,0.12,0.8958916666666668,0.8958416666666668,0.8958916666666668
31,0.0,107.495,-0.839198,107.488,-120.832,103.75,-0.839198,103.743,-120.832,monload-load_1003,107.499,119.168,103.754,119.168,0.0,0.0,0.00327809,103.301,0.12,0.8957916666666667,0.8957333333333334,0.895825
32,0.0,107.463,-0.86741,107.45,-120.856,106.603,-0.867409,106.59,-120.856,monload-load_1003,107.465,119.143,106.606,119.143,0.0,0.0,0.0101622,130.614,0.12,0.8955249999999999,0.8954166666666666,0.8955416666666667
33,0.0,107.391,-0.92282,107.381,-120.908,113.276,-0.92282,113.265,-120.908,monload-load_1003,107.402,119.093,113.288,119.093,0.0,0.0,0.0103606,75.5415,0.12,0.8949250000000001,0.8948416666666666,0.8950166666666667
34,0.0,107.125,-1.14263,107.098,-121.129,140.714,-1.14263,140.679,-121.129,monload-load_1003,107.128,118.87,140.719,118.87,0.0,0.0,0.0177008,-173.15,0.12,0.8927083333333333,0.8924833333333333,0.8927333333333334
35,0.0,107.138,-1.1312,107.097,-121.116,139.699,-1.1312,139.645,-121.116,monload-load_1003,107.128,118.878,139.686,118.878,0.0,0.0,0.0480345,-174.442,0.12,0.8928166666666667,0.8924749999999999,0.8927333333333334
36,0.0,106.832,-1.38376,106.771,-121.376,171.613,-1.38376,171.515,-121.376,monload-load_1003,106.809,118.614,171.577,118.614,0.0,0.0,0.100951,-155.046,0.12,0.8902666666666667,0.8897583333333333,0.890075
37,0.0,106.42,-1.70677,106.375,-121.702,213.01,-1.7082,212.92,-121.703,monload-load_1003,106.413,118.295,212.996,118.294,0.0,0.0,0.0823462,-142.018,0.12,0.8868333333333334,0.8864583333333333,0.886775
38,0.0,106.805,-1.39505,106.758,-121.387,175.262,-1.39392,175.185,-121.386,monload-load_1003,106.785,118.604,175.229,118.606,0.0,0.0,0.0813902,-162.314,0.12,0.8900416666666667,0.8896499999999999,0.889875
39,0.0,107.203,-1.0723,107.162,-121.065,134.065,-1.07309,134.014,-121.066,monload-load_1003,107.196,118.932,134.056,118.931,0.0,0.0,0.0439511,-148.675,0.12,0.8933583333333334,0.8930166666666667,0.8933
40,0.0,107.128,-1.13488,107.092,-121.128,141.602,-1.13473,141.555,-121.128,monload-load_1003,107.118,118.867,141.589,118.867,0.0,0.0,0.0448065,-155.446,0.12,0.8927333333333334,0.8924333333333333,0.8926499999999999
41,0.0,107.264,-1.02854,107.248,-121.026,127.181,-1.02825,127.163,-121.026,monload-load_1003,107.265,118.974,127.183,118.975,0.0,0.0,0.0144196,-128.122,0.12,0.8938666666666666,0.8937333333333334,0.893875
42,0.0,107.23,-1.05201,107.205,-121.051,130.512,-1.05195,130.482,-121.051,monload-load_1003,107.228,118.948,130.509,118.948,0.0,0.0,0.0295873,-129.922,0.12,0.8935833333333334,0.893375,0.8935666666666666
