Microgrid,Location,Recommended Upgrade,Component Count,Cost Estimate ($)
mg0,mg0,Microgrid Design,1,100000
mg0,mg0,Microgrid Controls,1,100000
mg0,l_3003_3002,SCADA disconnect switch,1,50000
mg0,load_3002,3-phase relay(s),1,20000
