solar_bus3005,fossil_bus3005,battery_bus3005
0.0,0.0,-0.9999962834950014
0.0,0.0,-0.2182034414836288
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
138.2,0.0,0.0
127.353,0.0,0.0
287.269,0.0,0.0
493.751,0.0,0.0
527.873,0.0,0.0
1507.046,0.0,-0.07409781841156576
1206.634,0.0,0.0
696.737,0.0,0.0
84.724,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
11.768,0.0,0.0
64.52,0.0,0.0
499.12200000000007,0.0,0.0
212.745,0.0,0.0
466.15900000000005,0.0,0.0
997.5450000000001,0.0,0.0
1208.313,0.0,0.0
526.238,0.0,0.0
38.09,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.042921916229977326
93.833,0.0,-0.009832013974058796
473.812,0.0,-0.03793622477422232
367.557,0.0,0.0
367.805,0.0,0.0
476.80100000000004,0.0,0.0
99.775,0.0,0.2864533392797413
253.302,0.0,-0.12441743784145388
135.975,0.0,0.023709443639201695
4.899,0.0,0.19554762701155834
0.0,205.866,-0.06418961608503364
0.0,0.0,0.2870052402720482
0.0,0.0,0.22063589400527744
0.0,0.0,0.087822871371762
0.0,0.0,-0.12500278737874904
0.0,0.0,-0.47451220871892075
0.0,0.0,-0.43736388300442264
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.7167447132716394
35.241,0.0,0.6098171479540639
34.944,0.0,0.5313691604415208
396.65,0.0,-0.10166127773441855
689.56,0.0,-0.6515200505444679
287.388,0.0,-0.07051882409781841
285.474,0.0,-0.012799643215520125
614.5319999999999,0.0,-0.6521165495967592
267.117,205.866,-0.28122979150406957
19.138,0.0,0.5012264466495708
0.0,205.866,0.23534396253762963
0.0,0.0,0.4196919017356079
0.0,0.0,0.18573047905749435
0.0,0.0,0.03655925967220426
0.0,0.0,-0.23283160515850895
0.0,0.0,-0.6288902516073884
0.0,0.0,-0.9702902590403986
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.6398223510610622
387.839,0.0,0.030072100196974764
1095.633,0.0,-0.7455197532240682
1646.314,0.0,0.0
1953.8090000000002,0.0,0.0
2022.7830000000001,0.0,0.0
1873.9350000000002,0.0,0.0
1485.026,0.0,0.0
859.95,0.0,0.0
116.998,0.0,0.8578120935072657
0.0,686.219,0.05833240420708366
0.0,686.219,0.02579626119597131
0.0,641.704,0.0
0.0,371.68499999999995,0.30593154197792394
0.0,205.866,0.3376426208793251
0.0,0.0,0.2724160998996544
0.0,0.0,-0.47922287880477205
0.0,0.0,-0.7156093209945368
0.0,0.0,-0.7652153714646747
0.0,0.0,-0.10762812650983015
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.04734827368342811
0.0,0.0,0.6857360538149924
413.684,0.0,-0.18140632549150779
1136.953,0.0,-0.634437135317947
1691.955,0.0,0.0
1981.107,0.0,0.0
2050.879,0.0,0.0
1903.6230000000003,0.0,0.0
1513.916,0.0,0.0
896.434,0.0,0.0
144.67,0.0,0.0
0.0,0.0,0.13294310030846992
