pv_production_factor_series,wind_production_factor_series
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.039494,1.0
0.036393999999999996,1.0
0.082094,1.0
0.141101,1.0
0.150852,1.0
0.430674,1.0
0.344824,1.0
0.199109,1.0
0.024212,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.003363,1.0
0.018438,1.0
0.14263599999999999,1.0
0.060797,1.0
0.133216,1.0
0.285072,1.0
0.345304,1.0
0.150385,1.0
0.010885,1.0
0.0,0.7325568956426509
0.0,0.928819365313831
0.0,0.5067511788974423
0.0,0.5323114199388072
0.0,0.4139661292468036
0.0,0.20686019705685327
0.0,0.07447215602171478
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.07260601271088647
0.0,0.11760000356467981
0.0,0.16428742206888444
0.0,0.30665200973956896
0.0,0.4554430219061519
0.026815000000000002,0.5845887454619888
0.135403,0.6432310526211255
0.10503799999999999,0.7291535559038426
0.105109,0.7651473138797432
0.13625700000000002,0.8010284437397281
0.028513,0.9158923103549741
0.072387,0.9482062054313184
0.038858,0.8363655778758603
0.0014,0.5616699412539333
0.0,0.5594637864592018
0.0,0.5418145481013493
0.0,0.43619335134083964
0.0,0.2920107629665225
0.0,0.3301279989735258
0.0,0.5456260256097928
0.0,0.6723469469491229
0.0,0.9563789908767503
0.0,0.9976403868303128
0.0,1.0
0.0,0.9906741771238672
0.0,0.9821308979871805
0.0,1.0
0.0,1.0
0.0,1.0
0.010071,0.991873350425064
0.009986,0.9689834587934872
0.11335200000000001,0.4151990525119382
0.19705799999999998,0.3542074590858116
0.082128,0.30304591133553915
0.081581,0.20582666988737264
0.175617,0.12925237405312645
0.076335,0.08550872417649151
0.005469,0.20586028459544287
0.0,0.3209270664553516
0.0,0.5692187863411968
0.0,0.4850263942164843
0.0,0.5132980491213737
0.0,0.5186667144070596
0.0,0.4957195499529203
0.0,0.3989975234009571
0.0,0.5320928818567341
0.0,0.8186569462645521
0.0,0.7904599796806583
0.0,0.663851979165806
0.0,0.633733112157581
0.0,0.7913227036930357
0.0,0.7757904444091578
0.0,0.29815038496117335
0.110834,0.3939104182853505
0.313103,0.33536700558321364
0.47047300000000003,0.19277808000693847
0.5583469999999999,0.12374299989488889
0.578058,0.0816345572178718
0.5355209999999999,0.13703592443304166
