Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"EQ_SOURCE_BUS", 115, 1,    39441.2,   -0.8,   0.59404, 2,    39503.8, -120.7,   0.59498, 3,    39491.2,  119.2,   0.59479
"BUS1001", 12.47, 1,    8102.48,  -33.4,    1.1254, 2,    8120.11, -152.9,    1.1279, 3,    8130.06,   87.0,    1.1292
"BUS1002", 12.47, 1,    8088.48,  -33.5,    1.1235, 2,    8100.51, -152.9,    1.1251, 3,    8114.06,   86.9,     1.127
"BUS1003", 12.47, 1,    8087.84,  -33.5,    1.1234, 2,    8099.87, -152.9,    1.1251, 3,    8113.42,   86.9,    1.1269
"BUS1004", 12.47, 1,    8086.82,  -33.5,    1.1232, 2,    8097.22, -153.0,    1.1247, 3,    8112.11,   86.9,    1.1268
"BUS1005", 12.47, 1,    8085.96,  -33.6,    1.1231, 2,    8095.35, -153.0,    1.1244, 3,    8111.07,   86.8,    1.1266
"BUS1006", 12.47, 1,    8084.22,  -33.6,    1.1229, 2,    8090.93, -153.0,    1.1238, 3,    8108.86,   86.8,    1.1263
"BUS1007", 12.47, 1,    8084.15,  -33.6,    1.1229, 2,    8090.17, -153.0,    1.1237, 0, 0, 0, 0
"BUS1008", 12.47, 1,    8083.53,  -33.6,    1.1228, 2,    8089.71, -153.0,    1.1236, 3,    8107.91,   86.8,    1.1262
"BUS1009", 12.47, 1,    8082.29,  -33.6,    1.1226, 2,    8087.19, -153.0,    1.1233, 3,    8106.03,   86.8,    1.1259
"BUS1010", 12.47, 1,    8082.25,  -33.6,    1.1226, 2,    8087.15, -153.0,    1.1233, 3,    8105.99,   86.8,    1.1259
"BUS1011", 12.47, 1,    8082.22,  -33.6,    1.1226, 2,    8086.99, -153.0,    1.1233, 3,    8105.84,   86.8,    1.1259
"BUS1012", 12.47, 1,    8082.27,  -33.6,    1.1226, 2,    8086.75, -153.0,    1.1232, 3,    8105.65,   86.8,    1.1259
"BUS1013", 12.47, 1,    8082.51,  -33.6,    1.1226, 2,    8086.17, -153.0,    1.1231, 3,    8104.47,   86.8,    1.1257
"BUS1014", 12.47, 2,    8085.87, -153.0,    1.1231, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1015", 12.47, 2,    8085.77, -153.0,    1.1231, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1016", 12.47, 3,    8102.68,   86.8,    1.1254, 0, 0, 0, 0, 0, 0, 0, 0
"BUS1017", 12.47, 3,    8102.55,   86.8,    1.1254, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2001", 12.47, 1,    8102.48,  -33.4,    1.1254, 2,    8120.11, -152.9,    1.1279, 3,    8130.06,   87.0,    1.1292
"BUS2002", 12.47, 1,    8072.54,  -33.5,    1.1213, 2,     8082.6, -153.0,    1.1227, 3,    8102.16,   86.8,    1.1254
"BUS2003", 12.47, 1,     8051.6,  -33.7,    1.1183, 2,    8059.85, -153.3,    1.1195, 3,    8086.64,   86.6,    1.1232
"BUS2004", 12.47, 1,    8038.88,  -33.8,    1.1166, 2,    8046.04, -153.4,    1.1176, 3,     8077.3,   86.5,    1.1219
"BUS2005", 12.47, 1,    8033.83,  -33.9,    1.1159, 2,    8040.57, -153.5,    1.1168, 3,     8073.6,   86.5,    1.1214
"BUS2006", 12.47, 1,    8031.55,  -33.9,    1.1156, 2,     8038.1, -153.5,    1.1165, 3,    8071.93,   86.4,    1.1212
"BUS2007", 12.47, 1,    8031.09,  -33.9,    1.1155, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2008", 12.47, 1,    8030.88,  -33.9,    1.1155, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2009", 12.47, 1,    8031.04,  -33.9,    1.1155, 0, 0, 0, 0, 0, 0, 0, 0
"BUS2010", 12.47, 1,    8029.04,  -33.9,    1.1152, 2,    8035.08, -153.6,    1.1161, 3,    8070.05,   86.4,    1.1209
"BUS2011", 12.47, 1,    8025.03,  -34.0,    1.1147, 2,    8030.24, -153.6,    1.1154, 3,    8067.05,   86.4,    1.1205
"BUS2012", 12.47, 1,    8017.82,  -34.0,    1.1137, 2,    8021.54, -153.7,    1.1142, 3,    8061.69,   86.3,    1.1197
"BUS2013", 12.47, 1,    8017.82,  -34.0,    1.1137, 2,    8021.54, -153.7,    1.1142, 3,    8061.69,   86.3,    1.1197
"BUS2014", 12.47, 1,     8017.5,  -34.0,    1.1136, 2,    8020.78, -153.7,    1.1141, 3,    8062.23,   86.3,    1.1198
