Microgrid,Location,Recommended Upgrade,Component Count,Cost Estimate ($)
mg1,mg1,Microgrid Design,1,100000
mg1,mg1,Microgrid Controls,1,100000
mg1,l_3003_3004,SCADA disconnect switch,1,50000
mg1,load_3004,3-phase relay(s),1,20000
