solar_670,solar_634_existing,solar_675_existing,fossil_670,fossil_684_existing,fossil_646_existing,battery_670,battery_634_existing,battery_684_existing
0.0,0.0,0.0,66.77373153790289,7.796167015176393,13.956101446920703,0.0,0.0,0.0
0.0,0.0,0.0,70.3211284543202,8.210343341593203,14.6975282040866,0.0,0.0,0.0
0.0,0.0,0.0,69.67169006498672,8.134518162549004,14.561791772464264,0.0,0.0,0.0
0.0,0.0,0.0,69.74636416550243,8.143236737142937,14.57739909735464,0.0,0.0,0.0
0.0,0.0,0.0,97.82231739171644,11.421244651641453,20.445437956642106,0.0,0.0,0.0
0.0,0.0,0.0,111.23348413079778,12.987065422147703,23.24845044705453,0.0,0.0,0.0
0.0,0.0,0.0,216.4153489844499,25.267574036546723,45.23207697900339,0.0,0.0,0.0
0.0,0.0,0.0,178.39567184815098,20.82858663849455,37.285741513354445,0.0,0.0,0.0
34.39727097697059,5.1823232017201155,9.422405821309301,201.93988774205903,23.577491561474424,42.20662069646656,0.0,0.0,0.0
104.2924806769607,15.712797179142985,28.568722143896334,92.3733709056015,10.785052905514505,19.306576188883987,0.0,0.0,0.0
147.21992668581052,22.18028407922853,40.32778923496097,16.180897012754368,1.8892006281721077,3.3819023590735258,0.273556603408231,0.0,0.0
452.39269449435005,68.15788259877903,123.92342290687095,0.0,0.0,0.0,-1.0000012817564186,0.0,0.0
103.74214680393621,15.629883392151662,28.417969803912115,8.407247720686192,0.9815882063027369,1.7571640730110722,1.0000012817564186,0.0,0.0
242.43189845786745,36.52500377301476,66.40909776911774,0.0,0.0,0.0,-0.3898086685765303,0.0,0.0
362.6847634090084,54.64240653228734,99.34983005870424,0.0,0.0,0.0,-0.7230851233192928,0.0,0.0
390.4773259532147,58.829658532730264,106.96301551405503,0.0,0.0,0.0,0.0,0.0,0.0
195.10107950835126,29.394100819617307,53.443819672031466,18.381142984514785,2.1460903462579752,3.8417666692272396,0.0,0.0,0.0
12.933547972545673,1.9485797516773424,3.542872275776986,235.09895979024543,27.448979013230623,49.13706119652396,0.0,0.0,0.0
0.0,0.0,0.0,287.60390385890184,33.5791937496856,60.110902391412495,0.0,0.0,0.0
0.0,0.0,0.0,278.0063962330261,32.45863674834018,58.104967018633666,0.0,0.0,0.0
0.0,0.0,0.0,251.9458894368923,29.415942281467803,52.658168281639895,0.0,0.0,0.0
0.0,0.0,0.0,219.35554740677492,25.610856902881554,45.84659569034352,0.0,0.0,0.0
0.0,0.0,0.0,131.70701049743917,15.377451989855865,27.527537512704942,0.0,0.0,0.0
0.0,0.0,0.0,111.0615074144586,12.966986280658649,23.212506304882766,0.0,0.0,0.0
0.0,0.0,0.0,87.88915345544184,10.261498097828358,18.369348446729777,0.0,0.0,0.0
0.0,0.0,0.0,82.17620762406942,9.594483108187507,17.17530926774307,0.0,0.0,0.0
