Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg3,mg3,Microgrid Design,100000
mg3,mg3,Microgrid Controls,100000
mg3,632645,SCADA disconnect switch,50000
mg3,645_hangar,AMI disconnect meter,500
mg3,646_office,AMI disconnect meter,500
