hour,t(sec),Tap(pu),Type,Name
118,0.0,1.0,Capacitor,moncapacitor-cap1
119,0.0,1.0,Capacitor,moncapacitor-cap1
120,0.0,1.0,Capacitor,moncapacitor-cap1
121,0.0,1.0,Capacitor,moncapacitor-cap1
122,0.0,1.0,Capacitor,moncapacitor-cap1
123,0.0,1.0,Capacitor,moncapacitor-cap1
124,0.0,1.0,Capacitor,moncapacitor-cap1
125,0.0,1.0,Capacitor,moncapacitor-cap1
126,0.0,1.0,Capacitor,moncapacitor-cap1
127,0.0,1.0,Capacitor,moncapacitor-cap1
128,0.0,1.0,Capacitor,moncapacitor-cap1
129,0.0,1.0,Capacitor,moncapacitor-cap1
130,0.0,1.0,Capacitor,moncapacitor-cap1
131,0.0,1.0,Capacitor,moncapacitor-cap1
132,0.0,1.0,Capacitor,moncapacitor-cap1
133,0.0,1.0,Capacitor,moncapacitor-cap1
134,0.0,1.0,Capacitor,moncapacitor-cap1
135,0.0,1.0,Capacitor,moncapacitor-cap1
136,0.0,1.0,Capacitor,moncapacitor-cap1
137,0.0,1.0,Capacitor,moncapacitor-cap1
138,0.0,1.0,Capacitor,moncapacitor-cap1
139,0.0,1.0,Capacitor,moncapacitor-cap1
140,0.0,1.0,Capacitor,moncapacitor-cap1
141,0.0,1.0,Capacitor,moncapacitor-cap1
142,0.0,1.0,Capacitor,moncapacitor-cap1
143,0.0,1.0,Capacitor,moncapacitor-cap1
144,0.0,1.0,Capacitor,moncapacitor-cap1
145,0.0,1.0,Capacitor,moncapacitor-cap1
146,0.0,1.0,Capacitor,moncapacitor-cap1
147,0.0,1.0,Capacitor,moncapacitor-cap1
148,0.0,1.0,Capacitor,moncapacitor-cap1
149,0.0,1.0,Capacitor,moncapacitor-cap1
150,0.0,1.0,Capacitor,moncapacitor-cap1
151,0.0,1.0,Capacitor,moncapacitor-cap1
152,0.0,1.0,Capacitor,moncapacitor-cap1
153,0.0,1.0,Capacitor,moncapacitor-cap1
154,0.0,1.0,Capacitor,moncapacitor-cap1
155,0.0,1.0,Capacitor,moncapacitor-cap1
156,0.0,1.0,Capacitor,moncapacitor-cap1
157,0.0,1.0,Capacitor,moncapacitor-cap1
158,0.0,1.0,Capacitor,moncapacitor-cap1
159,0.0,1.0,Capacitor,moncapacitor-cap1
160,0.0,1.0,Capacitor,moncapacitor-cap1
161,0.0,1.0,Capacitor,moncapacitor-cap1
162,0.0,1.0,Capacitor,moncapacitor-cap1
163,0.0,1.0,Capacitor,moncapacitor-cap1
164,0.0,1.0,Capacitor,moncapacitor-cap1
165,0.0,1.0,Capacitor,moncapacitor-cap1
166,0.0,1.0,Capacitor,moncapacitor-cap1
167,0.0,1.0,Capacitor,moncapacitor-cap1
168,0.0,1.0,Capacitor,moncapacitor-cap1
169,0.0,1.0,Capacitor,moncapacitor-cap1
170,0.0,1.0,Capacitor,moncapacitor-cap1
171,0.0,1.0,Capacitor,moncapacitor-cap1
172,0.0,1.0,Capacitor,moncapacitor-cap1
173,0.0,1.0,Capacitor,moncapacitor-cap1
174,0.0,1.0,Capacitor,moncapacitor-cap1
175,0.0,1.0,Capacitor,moncapacitor-cap1
176,0.0,1.0,Capacitor,moncapacitor-cap1
177,0.0,1.0,Capacitor,moncapacitor-cap1
178,0.0,1.0,Capacitor,moncapacitor-cap1
179,0.0,1.0,Capacitor,moncapacitor-cap1
180,0.0,1.0,Capacitor,moncapacitor-cap1
181,0.0,1.0,Capacitor,moncapacitor-cap1
182,0.0,1.0,Capacitor,moncapacitor-cap1
183,0.0,1.0,Capacitor,moncapacitor-cap1
184,0.0,1.0,Capacitor,moncapacitor-cap1
185,0.0,1.0,Capacitor,moncapacitor-cap1
186,0.0,1.0,Capacitor,moncapacitor-cap1
187,0.0,1.0,Capacitor,moncapacitor-cap1
188,0.0,1.0,Capacitor,moncapacitor-cap1
189,0.0,1.0,Capacitor,moncapacitor-cap1
190,0.0,1.0,Capacitor,moncapacitor-cap1
191,0.0,1.0,Capacitor,moncapacitor-cap1
192,0.0,1.0,Capacitor,moncapacitor-cap1
193,0.0,1.0,Capacitor,moncapacitor-cap1
194,0.0,1.0,Capacitor,moncapacitor-cap1
