solar_646,diesel_646,battery_646
0.0,62.817,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,30.878,0.0
6.505,18.147,0.0
19.723,4.897,0.032
27.841,0.0,-0.086
85.553,0.0,-0.01
19.619,4.947,0.086
45.847,0.0,-0.086
68.589,0.0,-0.01
73.844,0.0,0.0
36.896,0.0,0.0
2.446,40.885,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.047,0.0
0.0,63.531,0.0
0.0,64.309,0.0
0.0,68.859,0.0
0.0,69.554,0.0
0.0,69.922,0.0
0.0,70.551,0.0
0.0,70.668,0.0
0.0,82.807,0.0
0.0,218.185,0.0
0.0,197.739,0.0
17.069,228.425,0.0
43.349,194.353,0.0
60.678,171.802,0.0
2.394,231.963,0.0
130.255,96.599,0.0
46.575,185.054,0.0
169.129,59.254,0.0
116.309,110.776,0.0
61.407,168.464,0.0
5.256,173.847,0.0
0.0,153.912,0.0
0.0,156.66499999999996,0.0
0.0,148.184,0.0
0.0,151.022,0.0
0.0,73.022,0.0
0.0,70.369,0.0
0.0,71.26,0.0
0.0,71.307,0.0
0.0,72.448,0.0
0.0,77.848,0.0
0.0,81.877,0.0
0.0,84.199,0.0
0.0,218.311,0.0
0.0,191.604,0.0
50.06199999999999,184.332,0.0
116.725,118.415,0.0
155.078,76.734,0.0
65.726,168.768,0.0
116.881,112.932,0.0
116.569,119.126,0.0
95.23299999999999,135.043,0.0
82.691,148.462,0.0
43.401,188.621,0.0
3.435,169.229,0.0
0.0,145.117,0.0
0.0,149.44,0.0
0.0,140.268,0.0
0.0,143.857,0.0
0.0,73.072,0.0
0.0,69.711,0.0
0.0,70.003,0.0
0.0,69.936,0.0
0.0,69.936,0.0
0.0,69.784,0.0
0.0,70.325,0.0
0.0,73.211,0.0
0.0,173.309,0.0
0.0,172.42600000000002,0.0
76.186,159.286,0.0
174.541,63.235,0.086
247.813,0.0,-0.086
293.55600000000004,0.0,-0.01
310.989,0.0,0.0
302.767,0.0,0.0
266.339,0.0,0.0
204.151,25.075,0.0
111.261,120.854,0.0
21.857,157.213,0.0
0.0,147.185,0.0
0.0,146.749,0.0
0.0,133.649,0.0
0.0,138.167,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,133.512,0.0
0.0,150.869,0.0
82.847,147.902,0.0
184.845,58.857,0.086
260.094,0.0,-0.086
305.681,0.0,-0.01
322.333,0.0,0.0
310.937,0.0,0.0
271.907,0.0,0.0
207.274,40.177,0.0
112.30200000000002,138.88700000000003,0.0
21.336,168.38,0.0
0.0,150.03,0.0
0.0,149.885,0.0
0.0,134.844,0.0
0.0,134.513,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,127.923,0.0
0.0,145.15,0.0
65.466,170.336,0.0
155.026,93.346,0.0
243.025,10.126000000000001,0.0
217.786,41.23,0.0
246.2,5.821,0.0
253.953,13.859,0.0
254.942,8.766,0.0
193.431,67.316,0.0
104.704,152.3,0.0
19.567,167.363,0.0
0.0,150.591,0.0
0.0,148.886,0.0
0.0,133.80599999999998,0.0
0.0,127.908,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,121.106,0.0
0.0,99.886,0.0
66.455,52.273,0.0
65.986,64.745,0.086
235.792,0.0,-0.086
270.45,0.0,-0.01
242.192,0.0,0.0
231.889,0.0,0.0
195.461,0.0,0.0
99.91599999999998,0.0,0.0
52.768,16.941,0.0
5.62,72.251,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,30.793,0.086
67.652,0.0,-0.086
157.732,0.0,-0.01
41.63199999999999,13.83,0.086
54.85,0.0,-0.086
122.762,0.0,-0.01
142.224,0.0,0.0
116.517,0.0,0.0
75.51,0.0,0.0
40.07099999999999,15.917,0.0
4.632,52.307,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,66.147,0.0
0.0,67.442,0.0
0.0,68.264,0.0
0.0,68.825,0.0
0.0,69.312,0.0
0.0,72.636,0.0
0.0,157.878,0.0
0.0,158.885,0.0
69.525,152.323,0.0
159.606,70.466,0.0
85.553,147.372,0.0
181.983,58.781,0.0
142.537,94.841,0.0
66.559,184.859,0.0
85.345,167.631,0.0
71.398,175.73800000000003,0.0
37.0,208.246,0.0
17.485,159.153,0.0
0.0,144.45,0.0
0.0,143.801,0.0
0.0,129.221,0.0
0.0,130.105,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,127.927,0.0
0.0,144.388,0.0
32.213,197.92100000000002,0.0
79.621,160.726,0.0
128.278,114.864,0.0
219.867,28.239,0.0
127.601,109.136,0.0
166.631,81.888,0.0
169.233,76.753,0.0
136.552,107.831,0.0
76.186,169.259,0.0
13.374,165.768,0.0
0.0,145.547,0.0
0.0,144.851,0.0
0.0,129.884,0.0
0.0,129.326,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,130.599,0.0
0.0,145.51,0.0
83.888,141.164,0.0
185.677,45.976,0.086
259.886,0.0,-0.086
304.588,0.0,-0.01
321.03200000000004,0.0,0.0
310.989,0.0,0.0
274.665,0.0,0.0
213.831,42.153,0.0
126.925,126.889,0.0
31.276,150.962,0.0
0.0,146.837,0.0
0.0,145.232,0.0
0.0,129.83,0.0
0.0,128.417,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.347,0.0
0.0,69.904,0.0
0.0,140.158,0.0
0.0,158.063,0.0
77.487,166.262,0.0
175.998,77.791,0.0
246.98,6.591,0.086
299.488,0.0,-0.086
317.806,0.0,-0.01
310.72900000000004,0.0,0.0
275.342,0.0,0.0
208.47099999999998,21.314,0.0
123.958,110.616,0.0
30.807,147.773,0.0
0.0,157.787,0.0
0.0,159.162,0.0
0.0,146.79,0.0
0.0,150.33,0.0
0.0,73.138,0.0
0.0,71.516,0.0
0.0,70.699,0.0
0.0,72.857,0.0
0.0,71.652,0.0
0.0,79.515,0.0
0.0,80.916,0.0
0.0,85.68,0.0
0.0,210.358,0.0
0.0,193.327,0.0
75.822,169.954,0.0
174.021,61.51500000000001,0.077
245.055,0.0,-0.086
226.06000000000003,5.118,0.077
250.935,0.0,-0.086
228.194,3.5,0.0
205.921,23.511,0.0
164.289,66.86,0.0
97.47,138.37,0.0
23.574,152.09,0.0
0.0,149.834,0.0
0.0,149.111,0.0
0.0,136.216,0.0
0.0,137.88,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,129.743,0.0
0.0,111.79799999999999,0.0
31.588,94.114,0.0
74.833,62.247,0.0
135.615,2.613,0.086
172.876,0.0,-0.086
198.06300000000002,0.0,-0.01
181.774,0.0,0.0
107.514,0.0,0.0
87.531,1.592,0.0
49.38600000000001,26.844,0.0
8.066,74.546,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,30.878,0.0
16.653,23.775,0.0
44.702,6.24,0.086
207.638,0.0,-0.086
258.845,0.0,-0.01
298.968,0.0,0.0
296.574,0.0,0.0
264.934,0.0,0.0
206.858,0.0,0.0
120.576,0.0,0.0
30.494999999999997,28.645,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,30.793,0.086
68.953,0.0,-0.086
160.23,0.0,-0.01
226.008,0.0,0.0
191.142,0.0,0.0
224.655,0.0,0.0
292.515,0.0,0.0
176.779,0.0,0.0
80.766,0.0,0.0
45.222,11.143,0.0
8.17,48.963,0.0
0.0,64.485,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,134.883,0.0
0.0,143.722,0.0
71.294,150.382,0.0
171.471,63.160000000000004,0.086
250.311,0.0,-0.086
305.057,0.0,-0.01
316.661,0.0,0.0
308.543,0.0,0.0
273.989,0.0,0.0
215.6,29.612,0.0
126.248,119.703,0.0
32.889,144.653,0.0
0.0,144.252,0.0
0.0,143.801,0.0
0.0,128.546,0.0
0.0,128.136,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,131.852,0.0
0.0,143.56,0.0
77.851,146.944,0.0
175.374,63.456,0.086
253.746,0.0,-0.086
300.529,0.0,-0.01
319.26300000000003,0.0,0.0
311.249,0.0,0.0
279.349,0.0,0.0
218.723,28.388,0.0
128.486,120.228,0.0
33.93,146.304,0.0
0.0,143.892,0.0
0.0,143.438,0.0
0.0,128.873,0.0
0.0,128.991,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,126.544,0.0
0.0,145.82699999999997,0.0
82.119,148.246,0.0
184.116,55.03,0.086
258.221,0.0,-0.086
302.351,0.0,-0.01
331.232,0.0,0.0
322.75,0.0,0.0
286.842,0.0,0.0
219.399,33.46,0.0
134.991,117.792,0.0
37.0,147.515,0.0
0.0,147.587,0.0
0.0,146.657,0.0
0.0,131.394,0.0
0.0,130.514,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,126.441,0.0
0.0,142.371,0.0
80.609,147.368,0.0
179.797,66.258,0.0
251.403,0.503,0.086
294.3879999999999,0.0,-0.086
310.469,0.0,-0.01
301.153,0.0,0.0
268.472,0.0,0.0
211.697,43.729,0.0
128.278,127.983,0.0
34.502,145.343,0.0
0.0,147.494,0.0
0.0,144.945,0.0
0.0,129.225,0.0
0.0,129.419,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,113.646,0.0
0.0,94.04,0.0
20.763999999999996,98.002,0.0
51.988,84.86,0.0
78.736,56.95,0.0
44.962,92.91,0.077
130.36,0.0,-0.086
34.762,82.392,0.0
36.272,52.217,0.0
0.52,86.721,0.0
0.0,80.584,0.0
0.0,80.69,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,30.878,0.0
19.151000000000003,25.977,0.086
56.25500000000001,0.0,-0.086
158.981,0.0,-0.01
169.805,0.0,0.0
320.564,0.0,0.0
313.643,0.0,0.0
148.209,0.0,0.0
128.59,0.0,0.0
74.781,0.0,0.0
16.601,14.278,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,62.011,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,125.537,0.0
0.0,143.576,0.0
21.648,212.539,0.0
56.15100000000001,198.353,0.0
65.258,194.428,0.0
162.416,101.87,0.086
342.681,0.0,-0.086
336.905,0.0,-0.01
300.685,0.0,0.0
237.353,31.513,0.0
143.213,125.305,0.0
40.591,144.73399999999998,0.0
0.0,148.86,0.0
0.0,145.251,0.0
0.0,129.679,0.0
0.0,129.836,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,126.306,0.0
0.0,139.98000000000002,0.0
85.865,146.31,0.0
189.06,64.028,0.086
263.477,0.0,-0.086
308.075,0.0,-0.01
326.653,0.0,0.0
318.743,0.0,0.0
285.489,0.0,0.0
226.32,29.484,0.0
141.756,111.807,0.0
41.52799999999999,138.196,0.0
0.0,147.467,0.0
0.0,144.304,0.0
0.0,129.074,0.0
0.0,129.32,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,124.814,0.0
0.0,141.201,0.0
81.806,150.557,0.0
180.68199999999996,72.006,0.0
251.351,2.786,0.086
294.597,0.0,-0.086
312.342,0.0,-0.01
303.807,0.0,0.0
272.792,0.0,0.0
217.682,48.808,0.0
136.084,129.336,0.0
40.12299999999999,141.345,0.0
0.0,145.554,0.0
0.0,141.79,0.0
0.0,125.806,0.0
0.0,125.809,0.0
0.0,69.322,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,66.107,0.0
0.0,69.322,0.0
0.0,122.614,0.0
