solar_670,solar_634_existing,solar_675_existing,fossil_670,fossil_684_existing,battery_670,battery_634_existing,battery_684_existing
0.0,0.0,0.0,0.0,0.0,-0.11704158310580616,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3061686036678184,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.17400149805494478,0.0,0.0
298.65623800685967,63.01643167498529,114.57533031815508,0.0,0.0,-0.0,0.0,0.0
695.260218514537,146.69982568839012,266.72695579707295,0.0,0.0,-0.3253412907434702,0.0,0.0
957.5388765409244,202.04059219515585,367.34653126391976,0.0,0.0,-0.7875516466523305,0.0,0.0
1101.8865487136054,232.49793432743036,422.7235169589643,0.0,0.0,0.0,0.0,0.0
1158.6236334544772,244.4694526451856,444.48991390033746,0.0,0.0,0.0,0.0,0.0
1115.741747942838,235.42137976221878,428.0388722949432,0.0,0.0,0.0,0.0,0.0
988.1803513638972,208.5059398386171,379.1017087974856,0.0,0.0,0.0,0.0,0.0
767.2860584472566,161.89726958323152,294.3586719695118,0.0,0.0,0.0,0.0,0.0
415.67729835673634,87.70786187341616,159.4688397698476,0.0,0.0,0.0,0.0,0.0
27.766837669591748,5.858799536596476,10.652362793811774,130.09140290037828,7.001597099621689,0.0,0.0,0.0
0.0,0.0,0.0,229.26482976040356,12.33917023959647,0.0,0.0,0.0
0.0,0.0,0.0,215.69136191677177,11.608638083228248,0.0,0.0,0.0
0.0,0.0,0.0,91.39411412358135,4.918885876418663,0.23138666731099136,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3394906613187716,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03475004228380892,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.051105419576195424,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.13703095174813348,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.15537970860415107,0.0,0.0
