hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3,Name,P1(kW),P2(kW),P3(kW)
44,0.0,465.95300000000003,-97.9983,,,,,88.0963,60.0,,,,,monisource-isource_newdiesel675_1_shape,41.04873527390001,,
45,0.0,418.296,-97.9983,,,,,79.0645,60.0,,,,,monisource-isource_newdiesel675_1_shape,33.072364091999994,,
46,0.0,390.793,-97.9983,,,,,73.8522,60.0,,,,,monisource-isource_newdiesel675_1_shape,28.8609227946,,
47,0.0,338.583,-97.9983,,,,,63.9575,60.0,,,,,monisource-isource_newdiesel675_1_shape,21.6549222225,,
48,0.0,323.126,-97.9983,,,,,61.028,60.0,,,,,monisource-isource_newdiesel675_1_shape,19.719733527999995,,
49,0.0,313.649,-97.9983,,,,,59.232,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.578057568,,
50,0.0,312.024,-97.9983,,,,,58.9241,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.3857333784,,
51,0.0,311.055,-97.9983,,,,,58.7404,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.271495122,,
52,0.0,310.822,-97.9983,,,,,58.6963,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.244101358600002,,
53,0.0,358.966,-97.9983,,,,,67.8204,60.0,,,,,monisource-isource_newdiesel675_1_shape,24.345217706400003,,
54,0.0,378.795,-97.9983,,,,,71.5783,60.0,,,,,monisource-isource_newdiesel675_1_shape,27.1135021485,,
55,0.0,479.49800000000005,-97.9983,,,,,90.6633,60.0,,,,,monisource-isource_newdiesel675_1_shape,43.47287102340001,,
56,0.0,523.044,-97.9983,,,,,98.916,60.0,,,,,monisource-isource_newdiesel675_1_shape,51.737420304,,
57,0.0,416.205,-97.9983,,,,,78.6682,60.0,,,,,monisource-isource_newdiesel675_1_shape,32.742098180999996,,
58,0.0,259.08799999999997,-97.9983,,,,,48.8918,60.0,,,,,monisource-isource_newdiesel675_1_shape,12.6672786784,,
59,0.0,151.245,-97.9983,,,,,28.4536,60.0,,,,,monisource-isource_newdiesel675_1_shape,4.303464732,,
60,0.0,382.23800000000006,-97.9983,,,,,72.2308,60.0,,,,,monisource-isource_newdiesel675_1_shape,27.609356530400003,,
61,0.0,231.28,-97.9983,,,,,43.6216,60.0,,,,,monisource-isource_newdiesel675_1_shape,10.088803648,,
62,0.0,255.127,-97.9983,,,,,48.141000000000005,60.0,,,,,monisource-isource_newdiesel675_1_shape,12.282068907000003,,
63,0.0,313.222,-97.9983,,,,,59.1511,60.0,,,,,monisource-isource_newdiesel675_1_shape,18.5274258442,,
64,0.0,352.74800000000005,-97.9983,,,,,66.642,60.0,,,,,monisource-isource_newdiesel675_1_shape,23.507832216000004,,
65,0.0,473.37699999999995,-97.9983,,,,,89.5033,60.0,,,,,monisource-isource_newdiesel675_1_shape,42.36880364409999,,
66,0.0,531.649,-97.9983,,,,,100.54700000000001,60.0,,,,,monisource-isource_newdiesel675_1_shape,53.45571200300001,,
