solar_646,fossil_646,battery_646,battery_646_existing
0.0,62.817,0.0,0.0
0.0,62.010999999999996,0.0,0.0
0.0,62.010999999999996,0.0,0.0
0.0,62.010999999999996,0.0,0.0
0.0,62.010999999999996,0.0,0.0
0.0,62.010999999999996,0.0,0.0
0.0,62.010999999999996,0.0,0.0
0.0,5.998,0.5455163341372506,0.0
82.928,0.0,-1.0000657750493314,0.0
193.053,0.0,-0.6188335891251919,0.0
265.879,0.0,0.0,0.0
305.9599999999999,0.0,0.0,0.0
321.71500000000003,0.0,0.0,0.0
309.808,0.0,0.0,0.0
274.38800000000003,0.0,0.0,0.0
213.05200000000002,0.0,0.0,0.0
115.421,0.0,0.0,0.0
7.71,35.621,0.0,0.0
0.0,62.010999999999996,-0.0,0.0
0.0,62.010999999999996,0.0,0.0
0.0,62.010999999999996,0.0,0.0
0.0,62.047,0.0,0.0
0.0,63.531,-0.0,0.0
0.0,64.309,-0.0,0.0
0.0,68.859,-0.0,0.0
0.0,69.554,0.0,0.0
0.0,69.922,0.0,0.0
0.0,70.551,0.0,0.0
0.0,70.668,0.0,0.0
0.0,82.807,0.0,0.0
0.0,218.185,-0.0,0.0
0.0,197.739,0.0,0.0
30.636,214.858,0.0,0.0
102.59499999999998,134.644,0.010151282613461961,0.0
175.912,10.955,1.0000657750493314,0.0
217.059,0.0,0.3792589344442008,0.0
251.76999999999998,0.0,-0.5462617846963385,0.0
296.145,0.0,-1.0000657750493314,0.0
180.062,48.321,0.0,0.0
195.575,31.509,-0.0,0.0
99.275,130.596,0.0,0.0
3.513,175.591,0.0,0.0
0.0,153.912,0.0,0.0
0.0,156.66500000000002,0.0,0.0
0.0,148.184,0.0,0.0
0.0,151.022,-0.0,0.0
0.0,73.022,0.0,0.0
0.0,70.369,0.0,0.0
0.0,71.26,0.0,0.0
0.0,71.307,0.0,0.0
0.0,72.448,0.0,0.0
0.0,77.848,-0.0,0.0
0.0,81.877,-0.0,0.0
0.0,84.199,0.0,0.0
0.0,218.311,-0.0,0.0
0.0,191.604,0.0,0.0
38.884,174.774,0.45461521596141197,0.0
170.41300000000004,19.114,1.0000657750493314,0.0
242.22,0.0,-0.22819557114667835,0.0
285.09000000000003,0.0,-1.0000657750493314,0.0
302.404,0.0,-0.39065994299495727,0.0
291.513,0.0,0.0,0.0
146.287,83.989,-0.0,0.0
164.566,66.586,-0.0,0.0
80.071,151.95,0.0,0.0
3.188,169.47500000000002,0.0,0.0
0.0,145.117,-0.0,0.0
0.0,149.44,0.0,0.0
0.0,140.268,0.0,0.0
0.0,143.857,-0.0,0.0
0.0,73.072,0.0,0.0
0.0,69.711,0.0,0.0
0.0,70.003,0.0,0.0
0.0,69.936,0.0,0.0
0.0,69.936,0.0,0.0
0.0,69.784,0.0,0.0
0.0,70.325,0.0,0.0
0.0,73.211,0.0,0.0
0.0,173.309,0.0,0.0
0.0,172.426,0.0,0.0
57.812,177.65999999999997,0.0,0.0
170.56299999999996,54.13,0.2887086165314624,0.0
246.87199999999999,0.0,-0.32128919096689323,0.0
213.424,18.151,0.0,0.0
174.045,48.496,-0.0,0.0
113.895,83.321,0.75128261346196,0.0
266.884,0.0,-0.8360885770664328,0.0
123.741,105.486,-0.0,0.0
67.285,164.83,0.0,0.0
2.5840000000000005,176.486,0.0,0.0
0.0,147.185,-0.0,0.0
0.0,146.749,-0.0,0.0
0.0,133.649,-0.0,0.0
0.0,138.167,-0.0,0.0
0.0,69.322,-0.0,0.0
0.0,66.107,0.0,0.0
0.0,66.107,-0.0,0.0
0.0,66.107,0.0,0.0
0.0,66.107,-0.0,0.0
0.0,66.107,0.0,0.0
0.0,66.107,-0.0,0.0
0.0,69.322,-0.0,0.0
0.0,133.512,0.0,0.0
0.0,150.869,-0.0,0.0
37.781,192.968,0.0,0.0
128.363,115.424,-0.0,0.0
162.239,85.773,0.0,0.0
213.781,32.907,0.0,0.0
207.224,30.825,-0.0,0.0
171.533,79.59099999999998,-0.0,0.0
174.363,74.431,-0.0,0.0
133.087,114.36400000000002,-0.0,0.0
64.419,186.769,0.0,0.0
5.184,184.532,-0.0,0.0
