Microgrid,Location,Recommended Upgrade,Component Count,Cost Estimate ($)
mg3,mg3,Microgrid Design,1,100000
mg3,mg3,Microgrid Controls,1,100000
mg3,632645,SCADA disconnect switch,1,50000
mg3,645_hangar,AMI disconnect meter(s),1,300.0
mg3,646_office,AMI disconnect meter(s),1,300.0
