solar_646,fossil_646,battery_646,battery_646_existing
0.0,44.464,0.0,0.0
0.0,43.657,0.0,0.0
0.0,43.657,0.0,0.0
0.0,43.657,0.0,0.0
0.0,43.657,0.0,0.0
0.0,43.657,0.0,0.0
0.0,41.182,0.05014443991106989,0.011730560088930109
0.0,0.0,0.2537612565196567,0.059363743480343276
6.804,0.0,0.0,0.0
20.628,0.0,0.0,0.0
29.119,0.0,-0.09050311639707039,-0.021171883602929615
89.48,0.0,-0.8104151904819377,-0.18958480951806236
20.519,0.0,0.08373614955654621,0.019588850443453796
47.951,0.0,-0.09417024513400114,-0.022029754865998844
71.736,0.0,0.0,0.0
77.233,0.0,0.0,0.0
38.589,0.0,0.0,0.0
2.5580000000000003,22.42,0.0,0.0
0.0,43.657,0.0,0.0
0.0,43.657,0.0,0.0
0.0,43.657,0.0,0.0
0.0,43.693,0.0,0.0
0.0,45.177,0.0,0.0
0.0,45.95499999999999,0.0,0.0
0.0,50.506,0.0,0.0
0.0,51.199999999999996,0.0,0.0
0.0,51.569,0.0,0.0
0.0,52.197,0.0,0.0
0.0,52.314,0.0,0.0
0.0,64.453,0.0,0.0
0.0,182.95499999999998,0.3419141688643295,0.07998583113567052
0.0,182.95499999999998,-0.07232955575051293,-0.016920444249487066
17.852,182.95499999999998,0.5334963198942596,0.12480368010574046
45.339,182.95499999999998,-0.1812290969715233,-0.0423959030284767
63.463,182.95499999999998,-0.6542481832760684,-0.15305181672393176
2.504,182.95499999999998,0.6188330394520076,0.14476696054799246
136.233,83.943,-0.2365601941016776,-0.05533980589832241
48.713,164.562,0.0,0.0
176.89099999999996,33.138,0.0,0.0
121.647,87.084,0.0,0.0
64.225,147.292,0.0,0.0
5.497,155.252,0.0,0.0
0.0,135.559,0.0,0.0
0.0,138.312,0.0,0.0
0.0,129.831,0.0,0.0
0.0,132.668,0.0,0.0
0.0,54.669000000000004,0.0,0.0
0.0,52.01499999999999,0.0,0.0
0.0,52.906,0.0,0.0
0.0,52.952999999999996,0.0,0.0
0.0,54.095,0.0,0.0
0.0,59.494,0.0,0.0
0.0,63.524,0.0,0.0
0.0,65.845,0.0,0.0
0.0,182.95499999999998,0.3444669767143476,0.08058302328565241
0.0,173.25,0.0,0.0
52.36,163.68,0.0,0.0
122.082,94.705,0.0,0.0
162.196,51.263,0.0,0.0
68.743,147.398,0.0,0.0
122.24500000000002,89.214,0.0,0.0
121.919,95.42300000000002,0.0,0.0
99.603,112.31899999999999,0.0,0.0
86.486,126.313,0.0,0.0
45.393,168.275,0.0,0.0
3.592,150.717,0.0,0.0
0.0,126.76399999999998,0.0,0.0
0.0,131.086,0.0,0.0
0.0,121.91400000000002,0.0,0.0
0.0,125.503,0.0,0.0
0.0,54.71800000000001,0.0,0.0
0.0,51.358,0.0,0.0
0.0,51.64999999999999,0.0,0.0
0.0,51.583,0.0,0.0
0.0,51.581999999999994,0.0,0.0
0.0,51.431000000000004,0.0,0.0
0.0,51.972,0.0,0.0
