hour,684_command_center,634a_data_center,634b_radar,634c_atc_tower,645_hangar,646_office,692_warehouse2,675a_hospital,675b_residential1,675c_residential1,611_runway,652_residential,670a_residential2,670b_residential2,670c_residential2
1,295.858,38.75033333,31.13513143,12.91677778,33.699,29.11833872,33.699,159.023675,10.84493911,43.37975645,48.60427995,20.7861333,2.711234778,9.941194189,18.97864344
2,299.385,40.77533333,32.76217914,13.59177778,32.89233333,29.11833872,32.89233333,160.9194375,9.918833379,39.67533352,51.57608556,19.01109731,2.479708345,9.092263929,17.35795841
3,303.155,41.39233333,33.25792651,13.79744444,32.89233333,29.11833872,32.89233333,162.9458125,9.721675371,38.88670148,44.96393543,18.63321113,2.430418843,8.911535758,17.0129319
4,304.067,41.63933333,33.45638616,13.87977778,32.89233333,29.11833872,32.89233333,163.4360125,9.653107979,38.61243191,43.6071395,18.50179029,2.413276995,8.848682315,16.89293897
5,319.019,44.28733333,35.58400213,14.76244444,32.89233333,29.11833872,32.89233333,171.4727125,10.83263123,43.33052492,44.02403735,20.76254319,2.708157808,9.929911963,18.95710465
6,317.358,43.979,35.33626236,14.65966667,32.89233333,29.11833872,32.89233333,170.579925,13.3406923,53.36276919,47.66907666,25.56966024,3.335173075,12.22896794,23.34621152
7,362.262,56.34933333,45.27558212,18.78311111,32.89233333,29.11833872,32.89233333,194.715825,16.23313389,64.93253556,71.63600823,31.11350662,4.058283473,14.88037273,28.40798431
8,364.899,57.20066667,45.95961173,19.06688889,13.1,17.77832471,13.1,196.1332125,14.76050466,59.04201863,76.46836135,28.29096726,3.690126165,13.53046261,25.83088316
9,398.759,66.98266667,53.81925653,22.32755556,9.141666667,15.51038129,9.141666667,214.3329625,13.06050068,52.2420027,105.6643563,25.03262629,3.265125169,11.97212562,22.85587618
10,394.702,60.36066667,48.49860964,20.12022222,9.141666667,15.51038129,9.141666667,212.152325,11.5579401,46.2317604,90.75791073,22.15271853,2.889485025,10.59477843,20.22639518
11,398.166,74.88233333,60.16648347,24.96077778,9.141666667,15.51038129,9.141666667,214.014225,9.910360562,39.64144225,64.12903006,18.99485774,2.477590141,9.08449718,17.34313098
12,399.737,82.516,66.29998464,27.50533333,9.141666667,15.51038129,9.141666667,214.8586375,9.96419417,39.85677668,60.10230386,19.09803883,2.491048543,9.133844658,17.4373398
13,397.489,91.092,73.19063213,30.364,9.141666667,15.51038129,9.141666667,213.6503375,9.882248645,39.52899458,59.89526338,18.94097657,2.470562162,9.058727927,17.29393513
14,393.483,91.171,73.25410708,30.39033333,9.141666667,15.51038129,9.141666667,211.4971125,9.637286106,38.54914442,59.99009825,18.47146504,2.409321527,8.834178932,16.86525069
15,394.605,89.21133333,71.67955342,29.73711111,9.141666667,15.51038129,9.141666667,212.1001875,9.553164404,38.21265761,59.82437196,18.31023177,2.388291101,8.757067371,16.71803771
16,394.888,87.90033333,70.62619068,29.30011111,9.141666667,15.51038129,9.141666667,212.2523,10.29466974,41.17867894,59.48775512,19.73145033,2.573667434,9.436780588,18.01567204
17,383.201,87.32866667,70.16686775,29.10955556,9.141666667,15.51038129,9.141666667,205.9705375,14.40771437,57.63085747,62.37364598,27.61478587,3.601928592,13.2070715,25.21350014
18,361.753,76.733,61.65345777,25.57766667,21.017,22.31421155,21.017,194.4422375,20.16282675,80.651307,75.43221996,38.64541793,5.040706688,18.48259119,35.28494681
19,342.832,76.78866667,61.69818485,25.59622222,32.89233333,29.11833872,32.89233333,184.2722,23.2655726,93.06229038,103.5723553,44.59234747,5.816393149,21.32677488,40.71475204
20,340.133,72.11733333,57.9448603,24.03911111,32.89233333,29.11833872,32.89233333,182.8214875,22.72370469,90.89481876,108.7281799,43.55376731,5.680926173,20.83006263,39.76648321
21,321.454,67.32133333,54.09136853,22.44044444,32.89233333,29.11833872,32.89233333,172.781525,22.49304783,89.97219132,114.7408046,43.11167501,5.623261958,20.61862718,39.3628337
22,319.48,59.303,47.64879526,19.76766667,32.92833333,29.11833872,32.92833333,171.7205,19.62509714,78.50038854,111.4666541,37.61476952,4.906274284,17.98967237,34.34391999
23,303.584,38.05366667,30.57537345,12.68455556,34.41233333,29.11833872,34.41233333,163.1764,16.22326974,64.89307896,85.67344709,31.09460035,4.055817435,14.8713306,28.39072205
24,303.782,47.79033333,38.3985938,15.93011111,35.19066667,29.11833872,35.19066667,163.282825,13.42511724,53.70046895,54.98920197,25.7314747,3.356279309,12.30635747,23.49395516
25,306.104,39.54133333,31.77068438,13.18044444,35.64466667,33.21447377,35.64466667,164.5309,11.76540819,47.06163276,44.80008707,22.5503657,2.941352048,10.78495751,20.58946433
26,306.512,35.994,28.92047175,11.998,36.33933333,33.21447377,36.33933333,164.7502,11.75834454,47.03337815,42.83860146,22.53682703,2.939586134,10.7784825,20.57710294
27,305.739,34.82533333,27.98147105,11.60844444,36.70766667,33.21447377,36.70766667,164.3347125,11.90582508,47.62330031,40.62312742,22.81949806,2.976456269,10.91367299,20.83519388
28,304.429,34.137,27.42840874,11.379,37.33633333,33.21447377,37.33633333,163.6305875,12.03673457,48.14693828,40.82782051,23.07040793,3.009183643,11.03367336,21.0642855
29,370.234,35.96566667,28.89770648,11.98855556,37.45333333,33.21447377,37.45333333,199.000775,13.38717685,53.5487074,42.43250164,25.65875563,3.346794213,12.27157878,23.42755949
30,378.142,35.64,28.63603971,11.88,38.26966667,44.53696897,38.26966667,203.251325,16.11456795,64.4582718,51.0239776,30.88625525,4.028641988,14.77168729,28.20049391
31,511.652,52.33666667,42.05148331,17.44555556,43.28366667,174.9012546,43.28366667,275.01295,19.13825796,76.55303184,79.63406202,36.68166108,4.78456449,17.54340313,33.49195143
32,582.335,50.23733333,40.36471022,16.74577778,53.109,144.6296438,53.109,313.0050625,17.57915247,70.31660988,83.64670383,33.69337556,4.394788118,16.1142231,30.76351682
