solar_670,solar_634_existing,solar_675_existing,fossil_670,fossil_684_existing,fossil_646_existing,wind_670,battery_670,battery_634_existing,battery_684_existing
0.0,0.0,0.0,66.85066848994937,7.805149789000445,13.972181721050179,0.022,0.0,0.0,0.0
0.0,0.0,0.0,70.39504827099229,8.218973849777097,14.712977879230605,0.025,0.0,0.0,0.0
0.0,0.0,0.0,69.75767842315632,8.144557733293531,14.57976384355015,0.01,0.0,0.0,0.0
0.0,0.0,0.0,69.83914107826435,8.154068905577823,14.596790016157831,0.001,0.0,0.0,0.0
0.0,0.0,0.0,97.90151719529369,11.430491624695625,20.461991180010685,0.019,0.0,0.0,0.0
0.0,0.0,0.0,111.30061539287753,12.994903332641238,23.262481274481228,0.034,0.0,0.0,0.0
0.0,0.0,0.0,216.44929175741154,25.271537024998505,45.23917121758992,0.079,0.0,0.0,0.0
0.0,0.0,0.0,178.4394203110794,20.83369449027686,37.294885198643755,0.066,0.0,0.0,0.0
34.39727097697059,5.1823232017201155,9.422405821309301,202.00249330107724,23.584801073507723,42.21970562541506,0.04,0.0,0.0,0.0
104.2924806769607,15.712797179142985,28.568722143896334,92.44502787074282,10.793419214468278,19.321552914788892,0.028,0.0,0.0,0.0
147.21992668581052,22.18028407922853,40.32778923496097,16.241239720241797,1.8962459409752852,3.394514338782918,0.044,0.273556603408231,0.0,0.0
452.39269449435005,68.15788259877903,123.92342290687095,0.0,0.0,0.0,0.091,-1.0000012817564186,0.0,0.0
103.74214680393621,15.629883392151662,28.417969803912115,8.463819008955657,0.988193187055716,1.7689878039886273,0.049,1.0000012817564186,0.0,0.0
242.43189845786745,36.52500377301476,66.40909776911774,0.0,0.0,0.0,0.073,-0.3894433438292517,0.0,0.0
362.6840614525378,54.642300774905976,99.34963777255632,0.0,0.0,0.0,0.112,-0.7234432848362325,0.0,0.0
390.4773259532147,58.829658532730264,106.96301551405503,0.0,0.0,0.0,0.191,0.0,0.0,0.0
195.10107950835126,29.394100819617307,53.443819672031466,18.319291709340167,2.1388689006347184,3.828839390025113,0.205,0.0,0.0,0.0
12.933547972545673,1.9485797516773424,3.542872275776986,235.06652558497095,27.445192157598918,49.13028225743016,0.167,0.0,0.0,0.0
0.0,0.0,0.0,287.59636102046596,33.57831308558521,60.10932589394883,0.134,0.0,0.0,0.0
0.0,0.0,0.0,277.72731121089674,32.42605217662549,58.04663661247773,0.494,0.0,0.0,0.0
0.0,0.0,0.0,251.44579924859025,29.357554251611475,52.55364649979832,0.787,0.0,0.0,0.0
0.0,0.0,0.0,219.1269994021663,25.58417278063952,45.7988278171942,0.427,0.0,0.0,0.0
0.0,0.0,0.0,131.07114921729038,15.30321200619238,27.394638776517226,0.966,0.0,0.0,0.0
0.0,0.0,0.0,110.40000048362765,12.889752039053812,23.07424747731855,1.0,0.0,0.0,0.0
0.0,0.0,0.0,87.34908622342935,10.19844254823992,18.256471228330717,0.839,0.0,0.0,0.0
0.0,0.0,0.0,81.55241488541812,9.521652187084658,17.04493292749723,0.95,0.0,0.0,0.0
0.0,0.0,0.0,78.40629697379222,9.15432719080898,16.38737583539879,0.977,0.0,0.0,0.0
0.0,0.0,0.0,77.64296172407624,9.065203983848782,16.22783429207498,0.871,0.0,0.0,0.0
0.0,0.0,0.0,165.68297194823668,19.344315363685087,34.62871268807824,0.414,0.0,0.0,0.0
0.0,0.0,0.0,204.36943600227167,23.861153468212365,42.714410529515966,0.998,0.0,0.0,0.0
0.0,0.0,0.0,529.3631899880723,61.80579916356697,110.64001084836062,1.0,0.0,0.0,0.0
0.0,0.0,0.0,595.1397582847455,69.48554238467085,124.38769933058363,0.593,0.0,0.0,0.0
90.25826495836607,13.598389853483003,24.724345188150913,598.3975102052232,69.86590120963241,125.06858858514444,0.737,0.0,0.0,0.0
229.22318354880957,34.53496712784176,62.79084932334865,491.188884663837,57.34875815145666,102.66135718470636,0.638,0.0,0.0,0.0
320.85728318973685,48.34064144880306,87.89207536146012,378.78248915625227,44.224749461697186,79.16776138205053,0.559,0.0,0.0,0.0
12.658381036033438,1.9071228581816833,3.4674961057848783,693.7601079829832,80.99996129813432,144.99993071888244,0.575,0.5322638303241406,0.0,0.0
688.7702183924777,103.77072895750793,188.6740526500144,0.0,0.0,0.0,0.668,-0.08434703723930766,0.0,0.0
246.28423556903874,37.10540028195399,67.46436414900725,443.11234104091426,51.735581308344884,92.61307765074085,0.737,0.4420859235890541,0.0,0.0
894.3283434447644,134.74029748734162,244.98235906789384,0.0,0.0,0.0,0.764,-1.0000012817564186,0.0,0.0
615.0226715813163,92.65985847114582,168.47246994753786,88.58158602386013,10.342343062244824,18.514070913895058,0.633,0.0,0.0,0.0
324.7103222573788,48.921143715123655,88.94753402749755,423.70009204220804,49.46910417956261,88.55580377822936,0.865,0.0,0.0,0.0
27.79326450067698,4.187357757824298,7.613377741498724,693.7601079829832,80.99996129813432,144.99993071888244,0.466,0.12847969935662185,0.0,0.0
0.0,0.0,0.0,565.2052496679187,65.99053883583446,118.13121149624688,0.876,0.0,0.0,0.0
0.0,0.0,0.0,559.1626817968961,65.28503882500625,116.86827937809761,1.0,0.0,0.0,0.0
0.0,0.0,0.0,447.25335934223915,52.219065899462954,93.47857475829788,1.0,0.0,0.0,0.0
0.0,0.0,0.0,365.98832660122997,42.730967014603436,76.49370638416664,1.0,0.0,0.0,0.0
0.0,0.0,0.0,170.48851431576688,19.905386462048153,35.63309922218496,1.0,0.0,0.0,0.0
0.0,0.0,0.0,152.18430828329858,17.768278889614226,31.807412827087198,1.0,0.0,0.0,0.0
