Microgrid,Location,Recommended Upgrade,Cost Estimate ($)
mg1,mg1,Microgrid Design,100000
mg1,mg1,Microgrid Controls,100000
mg1,cb_201,SCADA disconnect switch,50000
mg1,load_2002,AMI disconnect meter,5000
mg1,load_2003,AMI disconnect meter,5000
mg1,load_2005,AMI disconnect meter,5000
mg1,load_2008,AMI disconnect meter,5000
mg1,load_2009,AMI disconnect meter,5000
mg1,load_2010,AMI disconnect meter,5000
mg1,load_2011,AMI disconnect meter,5000
mg1,load_2014,AMI disconnect meter,5000
mg1,load_2015,AMI disconnect meter,5000
mg1,load_2016,AMI disconnect meter,5000
mg1,load_2017,AMI disconnect meter,5000
mg1,load_2018,AMI disconnect meter,5000
mg1,load_2020,AMI disconnect meter,5000
mg1,load_2022,AMI disconnect meter,5000
mg1,load_2023,AMI disconnect meter,5000
mg1,load_2024,AMI disconnect meter,5000
mg1,load_2025,AMI disconnect meter,5000
mg1,load_2028,AMI disconnect meter,5000
mg1,load_2029,AMI disconnect meter,5000
mg1,load_2030,AMI disconnect meter,5000
mg1,load_2031,AMI disconnect meter,5000
mg1,load_2032,AMI disconnect meter,5000
mg1,load_2034,AMI disconnect meter,5000
mg1,load_2035,AMI disconnect meter,5000
mg1,load_2037,AMI disconnect meter,5000
mg1,load_2040,AMI disconnect meter,5000
mg1,load_2041,AMI disconnect meter,5000
mg1,load_2042,AMI disconnect meter,5000
mg1,load_2043,AMI disconnect meter,5000
mg1,load_2045,AMI disconnect meter,5000
mg1,load_2046,AMI disconnect meter,5000
mg1,load_2047,AMI disconnect meter,5000
mg1,load_2048,AMI disconnect meter,5000
mg1,load_2049,AMI disconnect meter,5000
mg1,load_2050,AMI disconnect meter,5000
mg1,load_2051,AMI disconnect meter,5000
mg1,load_2052,AMI disconnect meter,5000
mg1,load_2053,AMI disconnect meter,5000
mg1,load_2054,AMI disconnect meter,5000
mg1,load_2055,AMI disconnect meter,5000
mg1,load_2056,AMI disconnect meter,5000
mg1,load_2058,AMI disconnect meter,5000
mg1,load_2059,AMI disconnect meter,5000
mg1,load_2060,AMI disconnect meter,5000
