hour,t(sec),Tap(pu),Type,Name,t(sec)
32,0.0,1.06875,Transformer,monregcontrol-reg2,
33,0.0,1.06875,Transformer,monregcontrol-reg2,
34,0.0,1.06875,Transformer,monregcontrol-reg2,
35,0.0,1.06875,Transformer,monregcontrol-reg2,
36,0.0,1.06875,Transformer,monregcontrol-reg2,
37,0.0,1.06875,Transformer,monregcontrol-reg2,
38,0.0,1.06875,Transformer,monregcontrol-reg2,
39,0.0,1.06875,Transformer,monregcontrol-reg2,
40,0.0,1.06875,Transformer,monregcontrol-reg2,
41,0.0,1.06875,Transformer,monregcontrol-reg2,
42,0.0,1.06875,Transformer,monregcontrol-reg2,
43,0.0,1.06875,Transformer,monregcontrol-reg2,
44,0.0,1.06875,Transformer,monregcontrol-reg2,
45,0.0,1.06875,Transformer,monregcontrol-reg2,
46,0.0,1.06875,Transformer,monregcontrol-reg2,
47,0.0,1.06875,Transformer,monregcontrol-reg2,
48,0.0,1.06875,Transformer,monregcontrol-reg2,
49,0.0,1.06875,Transformer,monregcontrol-reg2,
50,0.0,1.06875,Transformer,monregcontrol-reg2,
51,0.0,1.06875,Transformer,monregcontrol-reg2,
52,0.0,1.06875,Transformer,monregcontrol-reg2,
53,0.0,1.06875,Transformer,monregcontrol-reg2,
54,0.0,1.06875,Transformer,monregcontrol-reg2,
55,0.0,1.06875,Transformer,monregcontrol-reg2,
56,0.0,1.06875,Transformer,monregcontrol-reg2,
57,0.0,1.06875,Transformer,monregcontrol-reg2,
58,0.0,1.06875,Transformer,monregcontrol-reg2,
59,0.0,1.06875,Transformer,monregcontrol-reg2,
60,0.0,1.06875,Transformer,monregcontrol-reg2,
61,0.0,1.06875,Transformer,monregcontrol-reg2,
62,0.0,1.06875,Transformer,monregcontrol-reg2,
63,0.0,1.06875,Transformer,monregcontrol-reg2,
64,0.0,1.06875,Transformer,monregcontrol-reg2,
65,0.0,1.06875,Transformer,monregcontrol-reg2,
66,0.0,1.06875,Transformer,monregcontrol-reg2,
67,0.0,1.06875,Transformer,monregcontrol-reg2,
68,0.0,1.06875,Transformer,monregcontrol-reg2,
69,0.0,1.06875,Transformer,monregcontrol-reg2,
70,0.0,1.06875,Transformer,monregcontrol-reg2,
71,0.0,1.06875,Transformer,monregcontrol-reg2,
72,0.0,1.06875,Transformer,monregcontrol-reg2,
73,0.0,1.06875,Transformer,monregcontrol-reg2,
74,0.0,1.06875,Transformer,monregcontrol-reg2,
75,0.0,1.06875,Transformer,monregcontrol-reg2,
76,0.0,1.06875,Transformer,monregcontrol-reg2,
77,0.0,1.06875,Transformer,monregcontrol-reg2,
78,0.0,1.06875,Transformer,monregcontrol-reg2,
79,0.0,1.06875,Transformer,monregcontrol-reg2,
80,0.0,1.06875,Transformer,monregcontrol-reg2,
81,0.0,1.06875,Transformer,monregcontrol-reg2,
82,0.0,1.06875,Transformer,monregcontrol-reg2,
83,0.0,1.06875,Transformer,monregcontrol-reg2,
84,0.0,1.06875,Transformer,monregcontrol-reg2,
85,0.0,1.06875,Transformer,monregcontrol-reg2,
86,0.0,1.06875,Transformer,monregcontrol-reg2,
87,0.0,1.06875,Transformer,monregcontrol-reg2,
88,0.0,1.06875,Transformer,monregcontrol-reg2,
89,0.0,1.06875,Transformer,monregcontrol-reg2,
90,0.0,1.06875,Transformer,monregcontrol-reg2,
91,0.0,1.06875,Transformer,monregcontrol-reg2,
92,0.0,1.06875,Transformer,monregcontrol-reg2,
93,0.0,1.06875,Transformer,monregcontrol-reg2,
94,0.0,1.06875,Transformer,monregcontrol-reg2,
95,0.0,1.06875,Transformer,monregcontrol-reg2,
96,0.0,1.06875,Transformer,monregcontrol-reg2,
97,0.0,1.06875,Transformer,monregcontrol-reg2,
98,0.0,1.06875,Transformer,monregcontrol-reg2,
99,0.0,1.06875,Transformer,monregcontrol-reg2,
100,0.0,1.06875,Transformer,monregcontrol-reg2,
101,0.0,1.06875,Transformer,monregcontrol-reg2,
102,0.0,1.06875,Transformer,monregcontrol-reg2,
103,0.0,1.06875,Transformer,monregcontrol-reg2,
104,0.0,1.06875,Transformer,monregcontrol-reg2,
105,0.0,1.06875,Transformer,monregcontrol-reg2,
106,0.0,1.06875,Transformer,monregcontrol-reg2,
107,0.0,1.06875,Transformer,monregcontrol-reg2,
108,0.0,1.06875,Transformer,monregcontrol-reg2,
109,0.0,1.06875,Transformer,monregcontrol-reg2,
110,0.0,1.06875,Transformer,monregcontrol-reg2,
111,0.0,1.06875,Transformer,monregcontrol-reg2,
112,0.0,1.06875,Transformer,monregcontrol-reg2,
113,0.0,1.06875,Transformer,monregcontrol-reg2,
114,0.0,1.06875,Transformer,monregcontrol-reg2,
115,0.0,1.06875,Transformer,monregcontrol-reg2,
116,0.0,1.06875,Transformer,monregcontrol-reg2,
117,0.0,1.06875,Transformer,monregcontrol-reg2,
118,0.0,1.06875,Transformer,monregcontrol-reg2,
119,0.0,1.06875,Transformer,monregcontrol-reg2,
120,0.0,1.06875,Transformer,monregcontrol-reg2,
121,0.0,1.06875,Transformer,monregcontrol-reg2,
122,0.0,1.06875,Transformer,monregcontrol-reg2,
123,0.0,1.06875,Transformer,monregcontrol-reg2,
124,0.0,1.06875,Transformer,monregcontrol-reg2,
125,0.0,1.06875,Transformer,monregcontrol-reg2,
126,0.0,1.06875,Transformer,monregcontrol-reg2,
127,0.0,1.06875,Transformer,monregcontrol-reg2,
128,0.0,1.06875,Transformer,monregcontrol-reg2,
129,0.0,1.06875,Transformer,monregcontrol-reg2,
130,0.0,1.06875,Transformer,monregcontrol-reg2,
131,0.0,1.06875,Transformer,monregcontrol-reg2,
132,0.0,1.06875,Transformer,monregcontrol-reg2,
133,0.0,1.06875,Transformer,monregcontrol-reg2,
134,0.0,1.06875,Transformer,monregcontrol-reg2,
135,0.0,1.06875,Transformer,monregcontrol-reg2,
136,0.0,1.06875,Transformer,monregcontrol-reg2,
137,0.0,1.06875,Transformer,monregcontrol-reg2,
138,0.0,1.06875,Transformer,monregcontrol-reg2,
139,0.0,1.06875,Transformer,monregcontrol-reg2,
140,0.0,1.06875,Transformer,monregcontrol-reg2,
141,0.0,1.06875,Transformer,monregcontrol-reg2,
