Bus,BasekV,Node1,Magnitude1,Angle1,pu1,Node2,Magnitude2,Angle2,pu2,Node3,Magnitude3,Angle3,pu3,Step
611,4.16,3,2497.8,121.8,1.04,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1
611,4.16,3,2498.18,121.8,1.0401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2
611,4.16,3,2498.14,121.8,1.0401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3
611,4.16,3,2498.1,121.8,1.0401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4
611,4.16,3,2496.6,121.8,1.0395,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5
611,4.16,3,2495.27,121.8,1.0389,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6
611,4.16,3,2489.96,121.9,1.0367,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7
611,4.16,3,2507.3,122.0,1.0439,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8
611,4.16,3,2508.68,122.1,1.0445,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9
611,4.16,3,2511.21,122.1,1.0456,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10
611,4.16,3,2508.8,122.1,1.0446,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11
611,4.16,3,2507.02,122.1,1.0438,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12
611,4.16,3,2505.09,122.2,1.043,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13
611,4.16,3,2505.24,122.2,1.0431,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14
611,4.16,3,2505.74,122.2,1.0433,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15
611,4.16,3,2505.63,122.1,1.0432,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16
611,4.16,3,2503.61,122.1,1.0424,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17
611,4.16,3,2493.04,122.0,1.038,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18
611,4.16,3,2481.3,121.9,1.0331,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19
611,4.16,3,2482.69,121.9,1.0337,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20
611,4.16,3,2484.19,121.9,1.0343,0,0.0,0.0,0.0,0,0.0,0.0,0.0,21
611,4.16,3,2487.72,121.8,1.0358,0,0.0,0.0,0.0,0,0.0,0.0,0.0,22
611,4.16,3,2494.27,121.8,1.0385,0,0.0,0.0,0.0,0,0.0,0.0,0.0,23
611,4.16,3,2493.3,121.8,1.0381,0,0.0,0.0,0.0,0,0.0,0.0,0.0,24
611,4.16,3,2493.54,121.7,1.0382,0,0.0,0.0,0.0,0,0.0,0.0,0.0,25
611,4.16,3,2494.04,121.7,1.0384,0,0.0,0.0,0.0,0,0.0,0.0,0.0,26
611,4.16,3,2494.08,121.7,1.0384,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27
611,4.16,3,2493.86,121.7,1.0383,0,0.0,0.0,0.0,0,0.0,0.0,0.0,28
611,4.16,3,2491.67,121.8,1.0374,0,0.0,0.0,0.0,0,0.0,0.0,0.0,29
611,4.16,3,2482.86,121.7,1.0338,0,0.0,0.0,0.0,0,0.0,0.0,0.0,30
611,4.16,3,2391.11,121.5,0.99556,0,0.0,0.0,0.0,0,0.0,0.0,0.0,31
611,4.16,3,2405.85,121.6,1.0017,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32
611,4.16,3,2387.43,121.5,0.9940200000000001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33
611,4.16,3,2392.03,121.5,0.9959399999999999,0,0.0,0.0,0.0,0,0.0,0.0,0.0,34
611,4.16,3,2396.92,121.5,0.99798,0,0.0,0.0,0.0,0,0.0,0.0,0.0,35
611,4.16,3,2392.79,121.6,0.99626,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36
611,4.16,3,2397.84,121.6,0.99836,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37
611,4.16,3,2396.15,121.6,0.99766,0,0.0,0.0,0.0,0,0.0,0.0,0.0,38
611,4.16,3,2398.65,121.6,0.9987,0,0.0,0.0,0.0,0,0.0,0.0,0.0,39
611,4.16,3,2399.26,121.6,0.99895,0,0.0,0.0,0.0,0,0.0,0.0,0.0,40
611,4.16,3,2395.12,121.6,0.99723,0,0.0,0.0,0.0,0,0.0,0.0,0.0,41
611,4.16,3,2418.28,121.8,1.0069,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42
611,4.16,3,2434.07,121.8,1.0134,0,0.0,0.0,0.0,0,0.0,0.0,0.0,43
611,4.16,3,2433.75,121.8,1.0133,0,0.0,0.0,0.0,0,0.0,0.0,0.0,44
611,4.16,3,2442.91,121.7,1.0171,0,0.0,0.0,0.0,0,0.0,0.0,0.0,45
611,4.16,3,2448.95,121.6,1.0196,0,0.0,0.0,0.0,0,0.0,0.0,0.0,46
611,4.16,3,2489.01,121.7,1.0363,0,0.0,0.0,0.0,0,0.0,0.0,0.0,47
611,4.16,3,2489.85,121.8,1.0367,0,0.0,0.0,0.0,0,0.0,0.0,0.0,48
611,4.16,3,2492.56,121.7,1.0378,0,0.0,0.0,0.0,0,0.0,0.0,0.0,49
611,4.16,3,2493.13,121.7,1.038,0,0.0,0.0,0.0,0,0.0,0.0,0.0,50
611,4.16,3,2492.57,121.7,1.0378,0,0.0,0.0,0.0,0,0.0,0.0,0.0,51
611,4.16,3,2489.23,121.7,1.0364,0,0.0,0.0,0.0,0,0.0,0.0,0.0,52
611,4.16,3,2483.53,121.8,1.034,0,0.0,0.0,0.0,0,0.0,0.0,0.0,53
611,4.16,3,2480.34,121.8,1.0327,0,0.0,0.0,0.0,0,0.0,0.0,0.0,54
611,4.16,3,2389.06,121.5,0.99471,0,0.0,0.0,0.0,0,0.0,0.0,0.0,55
611,4.16,3,2408.7,121.6,1.0029,0,0.0,0.0,0.0,0,0.0,0.0,0.0,56
611,4.16,3,2394.62,121.5,0.99702,0,0.0,0.0,0.0,0,0.0,0.0,0.0,57
611,4.16,3,2393.98,121.5,0.9967600000000001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,58
611,4.16,3,2397.75,121.5,0.9983200000000001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,59
611,4.16,3,2393.16,121.6,0.99641,0,0.0,0.0,0.0,0,0.0,0.0,0.0,60
611,4.16,3,2396.13,121.6,0.99765,0,0.0,0.0,0.0,0,0.0,0.0,0.0,61
611,4.16,3,2393.1,121.5,0.99639,0,0.0,0.0,0.0,0,0.0,0.0,0.0,62
611,4.16,3,2396.61,121.6,0.99785,0,0.0,0.0,0.0,0,0.0,0.0,0.0,63
611,4.16,3,2395.55,121.5,0.99741,0,0.0,0.0,0.0,0,0.0,0.0,0.0,64
611,4.16,3,2393.01,121.5,0.99635,0,0.0,0.0,0.0,0,0.0,0.0,0.0,65
611,4.16,3,2423.28,121.8,1.0090000000000001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,66
611,4.16,3,2440.89,121.8,1.0163,0,0.0,0.0,0.0,0,0.0,0.0,0.0,67
611,4.16,3,2440.08,121.7,1.0159,0,0.0,0.0,0.0,0,0.0,0.0,0.0,68
611,4.16,3,2449.32,121.7,1.0198,0,0.0,0.0,0.0,0,0.0,0.0,0.0,69
611,4.16,3,2454.69,121.6,1.022,0,0.0,0.0,0.0,0,0.0,0.0,0.0,70
611,4.16,3,2490.03,121.7,1.0367,0,0.0,0.0,0.0,0,0.0,0.0,0.0,71
611,4.16,3,2491.34,121.8,1.0373,0,0.0,0.0,0.0,0,0.0,0.0,0.0,72
611,4.16,3,2494.52,121.7,1.0386,0,0.0,0.0,0.0,0,0.0,0.0,0.0,73
611,4.16,3,2495.23,121.7,1.0389,0,0.0,0.0,0.0,0,0.0,0.0,0.0,74
611,4.16,3,2495.28,121.7,1.0389,0,0.0,0.0,0.0,0,0.0,0.0,0.0,75
611,4.16,3,2495.26,121.7,1.0389,0,0.0,0.0,0.0,0,0.0,0.0,0.0,76
611,4.16,3,2492.7,121.8,1.0379,0,0.0,0.0,0.0,0,0.0,0.0,0.0,77
611,4.16,3,2489.45,121.8,1.0365,0,0.0,0.0,0.0,0,0.0,0.0,0.0,78
611,4.16,3,2420.72,121.7,1.0079,0,0.0,0.0,0.0,0,0.0,0.0,0.0,79
611,4.16,3,2422.69,121.7,1.0087,0,0.0,0.0,0.0,0,0.0,0.0,0.0,80
611,4.16,3,2394.27,121.5,0.99687,0,0.0,0.0,0.0,0,0.0,0.0,0.0,81
611,4.16,3,2391.9,121.5,0.9958899999999999,0,0.0,0.0,0.0,0,0.0,0.0,0.0,82
611,4.16,3,2397.0,121.6,0.9980100000000001,0,0.0,0.0,0.0,0,0.0,0.0,0.0,83
611,4.16,3,2394.66,121.6,0.9970399999999999,0,0.0,0.0,0.0,0,0.0,0.0,0.0,84
611,4.16,3,2400.29,121.6,0.9993799999999999,0,0.0,0.0,0.0,0,0.0,0.0,0.0,85
611,4.16,3,2395.13,121.6,0.99723,0,0.0,0.0,0.0,0,0.0,0.0,0.0,86
611,4.16,3,2396.82,121.6,0.9979399999999999,0,0.0,0.0,0.0,0,0.0,0.0,0.0,87
611,4.16,3,2396.08,121.6,0.9976299999999999,0,0.0,0.0,0.0,0,0.0,0.0,0.0,88
611,4.16,3,2391.69,121.6,0.9958,0,0.0,0.0,0.0,0,0.0,0.0,0.0,89
611,4.16,3,2416.26,121.9,1.006,0,0.0,0.0,0.0,0,0.0,0.0,0.0,90
611,4.16,3,2436.29,121.9,1.0144,0,0.0,0.0,0.0,0,0.0,0.0,0.0,91
611,4.16,3,2437.61,121.8,1.0149,0,0.0,0.0,0.0,0,0.0,0.0,0.0,92
611,4.16,3,2449.16,121.8,1.0197,0,0.0,0.0,0.0,0,0.0,0.0,0.0,93
611,4.16,3,2454.63,121.7,1.022,0,0.0,0.0,0.0,0,0.0,0.0,0.0,94
611,4.16,3,2489.22,121.8,1.0364,0,0.0,0.0,0.0,0,0.0,0.0,0.0,95
611,4.16,3,2490.79,121.8,1.0371,0,0.0,0.0,0.0,0,0.0,0.0,0.0,96
611,4.16,3,2493.54,121.8,1.0382,0,0.0,0.0,0.0,0,0.0,0.0,0.0,97
611,4.16,3,2494.5,121.8,1.0386,0,0.0,0.0,0.0,0,0.0,0.0,0.0,98
611,4.16,3,2494.62,121.8,1.0387,0,0.0,0.0,0.0,0,0.0,0.0,0.0,99
611,4.16,3,2494.72,121.8,1.0387,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100
632,4.16,1,2434.7,0.9,1.0137,2,2463.44,-118.9,1.0257,3,2486.7,121.6,1.0354,1
632,4.16,1,2434.41,0.9,1.0136,2,2462.51,-118.9,1.0253,3,2486.88,121.6,1.0354,2
632,4.16,1,2433.93,0.9,1.0134,2,2464.23,-118.9,1.026,3,2486.85,121.6,1.0354,3
632,4.16,1,2433.8,0.9,1.0133,2,2464.57,-118.9,1.0261,3,2486.82,121.6,1.0354,4
632,4.16,1,2430.35,0.9,1.0119,2,2462.94,-118.9,1.0255,3,2485.47,121.6,1.0348,5
632,4.16,1,2428.81,0.9,1.0113,2,2460.64,-118.9,1.0245,3,2484.18,121.6,1.0343,6
632,4.16,1,2417.68,0.8,1.0066,2,2448.44,-119.0,1.0194,3,2479.39,121.6,1.0323,7
632,4.16,1,2418.35,0.8,1.0069,2,2447.82,-119.0,1.0192,3,2488.52,121.6,1.0361,8
632,4.16,1,2412.67,0.7,1.0045,2,2437.54,-119.1,1.0149,3,2488.61,121.7,1.0362,9
632,4.16,1,2415.95,0.8,1.0059,2,2444.62,-119.0,1.0178,3,2491.07,121.7,1.0372,10
632,4.16,1,2413.31,0.7,1.0048,2,2448.44,-119.1,1.0194,3,2488.46,121.7,1.0361,11
632,4.16,1,2411.25,0.7,1.0039,2,2447.17,-119.1,1.0189,3,2486.61,121.7,1.0353,12
632,4.16,1,2409.58,0.7,1.0032,2,2444.64,-119.1,1.0178,3,2484.59,121.7,1.0345,13
632,4.16,1,2410.27,0.7,1.0035,2,2444.73,-119.1,1.0179,3,2484.7,121.7,1.0345,14
632,4.16,1,2410.65,0.7,1.0037,2,2445.42,-119.1,1.0182,3,2485.22,121.7,1.0347,15
632,4.16,1,2410.38,0.7,1.0036,2,2445.51,-119.1,1.0182,3,2485.13,121.7,1.0347,16
632,4.16,1,2409.06,0.7,1.003,2,2442.61,-119.1,1.0170000000000001,3,2483.07,121.7,1.0338,17
632,4.16,1,2410.05,0.8,1.0034,2,2438.93,-119.1,1.0155,3,2477.43,121.7,1.0315,18
632,4.16,1,2410.07,0.8,1.0035,2,2429.19,-119.1,1.0114,3,2470.59,121.6,1.0287,19
632,4.16,1,2411.93,0.8,1.0042,2,2429.52,-119.1,1.0115,3,2472.0,121.6,1.0292,20
632,4.16,1,2415.71,0.8,1.0058,2,2429.5,-119.1,1.0115,3,2473.36,121.6,1.0298,21
