hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2,Name,V3,VAngle3,I3,IAngle3,V4,VAngle4,I4,IAngle4,kv,V1(PU),V2(PU),V3(PU)
1,0.0,2165.18,108.95100000000001,0.0,0.0,19.1739,108.948,19.1739,-71.0519,monload-611_runway,,,,,,,,,2.4,0.9021583333333333,0.0,
2,0.0,2349.82,113.603,0.0,0.0,21.49,113.60600000000001,21.49,-66.3939,monload-611_runway,,,,,,,,,2.4,0.9790916666666667,0.0,
3,0.0,2350.86,113.62899999999999,0.0,0.0,18.735,113.62700000000001,18.735,-66.3726,monload-611_runway,,,,,,,,,2.4,0.9795250000000001,0.0,
4,0.0,2351.09,113.635,0.0,0.0,18.1696,113.634,18.1696,-66.3658,monload-611_runway,,,,,,,,,2.4,0.9796208333333334,0.0,
5,0.0,2341.24,113.399,0.0,0.0,18.3433,113.40100000000001,18.3433,-66.5992,monload-611_runway,,,,,,,,,2.4,0.9755166666666666,0.0,
6,0.0,2334.95,113.25299999999999,0.0,0.0,19.8621,113.255,19.8621,-66.7455,monload-611_runway,,,,,,,,,2.4,0.9728958333333333,0.0,
7,0.0,2297.99,112.38600000000001,0.0,0.0,29.8483,112.381,29.8483,-67.6186,monload-611_runway,,,,,,,,,2.4,0.9574958333333332,0.0,
8,0.0,2303.55,112.50299999999999,0.0,0.0,31.8618,112.50200000000001,31.8618,-67.4983,monload-611_runway,,,,,,,,,2.4,0.9598125000000001,0.0,
9,0.0,2292.88,112.24,0.0,0.0,44.0268,112.243,44.0268,-67.7571,monload-611_runway,,,,,,,,,2.4,0.9553666666666667,0.0,
10,0.0,2327.24,113.04299999999999,0.0,0.0,37.8158,113.04299999999999,37.8158,-66.957,monload-611_runway,,,,,,,,,2.4,0.9696833333333332,0.0,
11,0.0,2353.11,113.675,0.0,0.0,26.7204,113.671,26.7204,-66.3292,monload-611_runway,,,,,,,,,2.4,0.9804625,0.0,
12,0.0,2433.9,116.029,0.0,0.0,25.0426,116.029,25.0426,-63.9709,monload-611_runway,,,,,,,,,2.4,1.014125,0.0,
13,0.0,2324.75,113.34299999999999,0.0,0.0,24.9564,113.34299999999999,24.9564,-66.6568,monload-611_runway,,,,,,,,,2.4,0.9686458333333333,0.0,
