hour,t(sec),Tap(pu),Type,Name
1,0.0,1,Transformer,montransformer-reg1
2,0.0,1,Transformer,montransformer-reg1
3,0.0,1,Transformer,montransformer-reg1
4,0.0,1,Transformer,montransformer-reg1
5,0.0,1,Transformer,montransformer-reg1
6,0.0,1,Transformer,montransformer-reg1
7,0.0,1,Transformer,montransformer-reg1
8,0.0,1,Transformer,montransformer-reg1
9,0.0,1,Transformer,montransformer-reg1
10,0.0,1,Transformer,montransformer-reg1
11,0.0,1,Transformer,montransformer-reg1
12,0.0,1,Transformer,montransformer-reg1
13,0.0,1,Transformer,montransformer-reg1
14,0.0,1,Transformer,montransformer-reg1
15,0.0,1,Transformer,montransformer-reg1
16,0.0,1,Transformer,montransformer-reg1
17,0.0,1,Transformer,montransformer-reg1
18,0.0,1,Transformer,montransformer-reg1
19,0.0,1,Transformer,montransformer-reg1
20,0.0,1,Transformer,montransformer-reg1
21,0.0,1,Transformer,montransformer-reg1
22,0.0,1,Transformer,montransformer-reg1
23,0.0,1,Transformer,montransformer-reg1
24,0.0,1,Transformer,montransformer-reg1
25,0.0,1,Transformer,montransformer-reg1
26,0.0,1,Transformer,montransformer-reg1
27,0.0,1,Transformer,montransformer-reg1
28,0.0,1,Transformer,montransformer-reg1
29,0.0,1,Transformer,montransformer-reg1
30,0.0,1,Transformer,montransformer-reg1
31,0.0,1,Transformer,montransformer-reg1
32,0.0,1,Transformer,montransformer-reg1
33,0.0,1,Transformer,montransformer-reg1
34,0.0,1,Transformer,montransformer-reg1
35,0.0,1,Transformer,montransformer-reg1
36,0.0,1,Transformer,montransformer-reg1
37,0.0,1,Transformer,montransformer-reg1
38,0.0,1,Transformer,montransformer-reg1
39,0.0,1,Transformer,montransformer-reg1
40,0.0,1,Transformer,montransformer-reg1
41,0.0,1,Transformer,montransformer-reg1
42,0.0,1,Transformer,montransformer-reg1
43,0.0,1,Transformer,montransformer-reg1
44,0.0,1,Transformer,montransformer-reg1
45,0.0,1,Transformer,montransformer-reg1
46,0.0,1,Transformer,montransformer-reg1
47,0.0,1,Transformer,montransformer-reg1
48,0.0,1,Transformer,montransformer-reg1
49,0.0,1,Transformer,montransformer-reg1
50,0.0,1,Transformer,montransformer-reg1
51,0.0,1,Transformer,montransformer-reg1
52,0.0,1,Transformer,montransformer-reg1
53,0.0,1,Transformer,montransformer-reg1
54,0.0,1,Transformer,montransformer-reg1
55,0.0,1,Transformer,montransformer-reg1
56,0.0,1,Transformer,montransformer-reg1
57,0.0,1,Transformer,montransformer-reg1
58,0.0,1,Transformer,montransformer-reg1
59,0.0,1,Transformer,montransformer-reg1
60,0.0,1,Transformer,montransformer-reg1
61,0.0,1,Transformer,montransformer-reg1
62,0.0,1,Transformer,montransformer-reg1
63,0.0,1,Transformer,montransformer-reg1
64,0.0,1,Transformer,montransformer-reg1
65,0.0,1,Transformer,montransformer-reg1
66,0.0,1,Transformer,montransformer-reg1
67,0.0,1,Transformer,montransformer-reg1
68,0.0,1,Transformer,montransformer-reg1
69,0.0,1,Transformer,montransformer-reg1
70,0.0,1,Transformer,montransformer-reg1
71,0.0,1,Transformer,montransformer-reg1
72,0.0,1,Transformer,montransformer-reg1
73,0.0,1,Transformer,montransformer-reg1
74,0.0,1,Transformer,montransformer-reg1
75,0.0,1,Transformer,montransformer-reg1
76,0.0,1,Transformer,montransformer-reg1
77,0.0,1,Transformer,montransformer-reg1
78,0.0,1,Transformer,montransformer-reg1
79,0.0,1,Transformer,montransformer-reg1
80,0.0,1,Transformer,montransformer-reg1
81,0.0,1,Transformer,montransformer-reg1
82,0.0,1,Transformer,montransformer-reg1
83,0.0,1,Transformer,montransformer-reg1
84,0.0,1,Transformer,montransformer-reg1
85,0.0,1,Transformer,montransformer-reg1
86,0.0,1,Transformer,montransformer-reg1
87,0.0,1,Transformer,montransformer-reg1
88,0.0,1,Transformer,montransformer-reg1
89,0.0,1,Transformer,montransformer-reg1
90,0.0,1,Transformer,montransformer-reg1
91,0.0,1,Transformer,montransformer-reg1
92,0.0,1,Transformer,montransformer-reg1
93,0.0,1,Transformer,montransformer-reg1
94,0.0,1,Transformer,montransformer-reg1
95,0.0,1,Transformer,montransformer-reg1
96,0.0,1,Transformer,montransformer-reg1
97,0.0,1,Transformer,montransformer-reg1
98,0.0,1,Transformer,montransformer-reg1
99,0.0,1,Transformer,montransformer-reg1
100,0.0,1,Transformer,montransformer-reg1
101,0.0,1,Transformer,montransformer-reg1
102,0.0,1,Transformer,montransformer-reg1
103,0.0,1,Transformer,montransformer-reg1
104,0.0,1,Transformer,montransformer-reg1
105,0.0,1,Transformer,montransformer-reg1
106,0.0,1,Transformer,montransformer-reg1
107,0.0,1,Transformer,montransformer-reg1
108,0.0,1,Transformer,montransformer-reg1
109,0.0,1,Transformer,montransformer-reg1
110,0.0,1,Transformer,montransformer-reg1
111,0.0,1,Transformer,montransformer-reg1
112,0.0,1,Transformer,montransformer-reg1
113,0.0,1,Transformer,montransformer-reg1
114,0.0,1,Transformer,montransformer-reg1
115,0.0,1,Transformer,montransformer-reg1
116,0.0,1,Transformer,montransformer-reg1
117,0.0,1,Transformer,montransformer-reg1
118,0.0,1,Transformer,montransformer-reg1
119,0.0,1,Transformer,montransformer-reg1
120,0.0,1,Transformer,montransformer-reg1
121,0.0,1,Transformer,montransformer-reg1
122,0.0,1,Transformer,montransformer-reg1
123,0.0,1,Transformer,montransformer-reg1
124,0.0,1,Transformer,montransformer-reg1
125,0.0,1,Transformer,montransformer-reg1
126,0.0,1,Transformer,montransformer-reg1
127,0.0,1,Transformer,montransformer-reg1
128,0.0,1,Transformer,montransformer-reg1
129,0.0,1,Transformer,montransformer-reg1
130,0.0,1,Transformer,montransformer-reg1
131,0.0,1,Transformer,montransformer-reg1
132,0.0,1,Transformer,montransformer-reg1
133,0.0,1,Transformer,montransformer-reg1
134,0.0,1,Transformer,montransformer-reg1
135,0.0,1,Transformer,montransformer-reg1
136,0.0,1,Transformer,montransformer-reg1
137,0.0,1,Transformer,montransformer-reg1
138,0.0,1,Transformer,montransformer-reg1
139,0.0,1,Transformer,montransformer-reg1
140,0.0,1,Transformer,montransformer-reg1
141,0.0,1,Transformer,montransformer-reg1
142,0.0,1,Transformer,montransformer-reg1
143,0.0,1,Transformer,montransformer-reg1
144,0.0,1,Transformer,montransformer-reg1
145,0.0,1,Transformer,montransformer-reg1
146,0.0,1,Transformer,montransformer-reg1
147,0.0,1,Transformer,montransformer-reg1
148,0.0,1,Transformer,montransformer-reg1
149,0.0,1,Transformer,montransformer-reg1
150,0.0,1,Transformer,montransformer-reg1
151,0.0,1,Transformer,montransformer-reg1
152,0.0,1,Transformer,montransformer-reg1
153,0.0,1,Transformer,montransformer-reg1
154,0.0,1,Transformer,montransformer-reg1
155,0.0,1,Transformer,montransformer-reg1
156,0.0,1,Transformer,montransformer-reg1
157,0.0,1,Transformer,montransformer-reg1
158,0.0,1,Transformer,montransformer-reg1
159,0.0,1,Transformer,montransformer-reg1
160,0.0,1,Transformer,montransformer-reg1
161,0.0,1,Transformer,montransformer-reg1
162,0.0,1,Transformer,montransformer-reg1
163,0.0,1,Transformer,montransformer-reg1
164,0.0,1,Transformer,montransformer-reg1
165,0.0,1,Transformer,montransformer-reg1
166,0.0,1,Transformer,montransformer-reg1
167,0.0,1,Transformer,montransformer-reg1
168,0.0,1,Transformer,montransformer-reg1
169,0.0,1,Transformer,montransformer-reg1
170,0.0,1,Transformer,montransformer-reg1
171,0.0,1,Transformer,montransformer-reg1
172,0.0,1,Transformer,montransformer-reg1
173,0.0,1,Transformer,montransformer-reg1
174,0.0,1,Transformer,montransformer-reg1
175,0.0,1,Transformer,montransformer-reg1
176,0.0,1,Transformer,montransformer-reg1
177,0.0,1,Transformer,montransformer-reg1
178,0.0,1,Transformer,montransformer-reg1
179,0.0,1,Transformer,montransformer-reg1
180,0.0,1,Transformer,montransformer-reg1
181,0.0,1,Transformer,montransformer-reg1
182,0.0,1,Transformer,montransformer-reg1
183,0.0,1,Transformer,montransformer-reg1
184,0.0,1,Transformer,montransformer-reg1
185,0.0,1,Transformer,montransformer-reg1
186,0.0,1,Transformer,montransformer-reg1
187,0.0,1,Transformer,montransformer-reg1
188,0.0,1,Transformer,montransformer-reg1
189,0.0,1,Transformer,montransformer-reg1
190,0.0,1,Transformer,montransformer-reg1
191,0.0,1,Transformer,montransformer-reg1
192,0.0,1,Transformer,montransformer-reg1
193,0.0,1,Transformer,montransformer-reg1
194,0.0,1,Transformer,montransformer-reg1
195,0.0,1,Transformer,montransformer-reg1
196,0.0,1,Transformer,montransformer-reg1
197,0.0,1,Transformer,montransformer-reg1
198,0.0,1,Transformer,montransformer-reg1
199,0.0,1,Transformer,montransformer-reg1
200,0.0,1,Transformer,montransformer-reg1
201,0.0,1,Transformer,montransformer-reg1
202,0.0,1,Transformer,montransformer-reg1
203,0.0,1,Transformer,montransformer-reg1
204,0.0,1,Transformer,montransformer-reg1
205,0.0,1,Transformer,montransformer-reg1
206,0.0,1,Transformer,montransformer-reg1
207,0.0,1,Transformer,montransformer-reg1
208,0.0,1,Transformer,montransformer-reg1
209,0.0,1,Transformer,montransformer-reg1
210,0.0,1,Transformer,montransformer-reg1
211,0.0,1,Transformer,montransformer-reg1
212,0.0,1,Transformer,montransformer-reg1
213,0.0,1,Transformer,montransformer-reg1
214,0.0,1,Transformer,montransformer-reg1
215,0.0,1,Transformer,montransformer-reg1
216,0.0,1,Transformer,montransformer-reg1
217,0.0,1,Transformer,montransformer-reg1
218,0.0,1,Transformer,montransformer-reg1
219,0.0,1,Transformer,montransformer-reg1
220,0.0,1,Transformer,montransformer-reg1
221,0.0,1,Transformer,montransformer-reg1
222,0.0,1,Transformer,montransformer-reg1
223,0.0,1,Transformer,montransformer-reg1
224,0.0,1,Transformer,montransformer-reg1
225,0.0,1,Transformer,montransformer-reg1
226,0.0,1,Transformer,montransformer-reg1
227,0.0,1,Transformer,montransformer-reg1
228,0.0,1,Transformer,montransformer-reg1
229,0.0,1,Transformer,montransformer-reg1
230,0.0,1,Transformer,montransformer-reg1
231,0.0,1,Transformer,montransformer-reg1
232,0.0,1,Transformer,montransformer-reg1
233,0.0,1,Transformer,montransformer-reg1
234,0.0,1,Transformer,montransformer-reg1
235,0.0,1,Transformer,montransformer-reg1
236,0.0,1,Transformer,montransformer-reg1
237,0.0,1,Transformer,montransformer-reg1
238,0.0,1,Transformer,montransformer-reg1
239,0.0,1,Transformer,montransformer-reg1
240,0.0,1,Transformer,montransformer-reg1
1,0.0,1,Transformer,montransformer-reg2
2,0.0,1,Transformer,montransformer-reg2
3,0.0,1,Transformer,montransformer-reg2
4,0.0,1,Transformer,montransformer-reg2
5,0.0,1,Transformer,montransformer-reg2
6,0.0,1,Transformer,montransformer-reg2
7,0.0,1,Transformer,montransformer-reg2
8,0.0,1,Transformer,montransformer-reg2
9,0.0,1,Transformer,montransformer-reg2
10,0.0,1,Transformer,montransformer-reg2
11,0.0,1,Transformer,montransformer-reg2
12,0.0,1,Transformer,montransformer-reg2
13,0.0,1,Transformer,montransformer-reg2
